unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356656274, E, 2, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356656484, 4, 9, 563, 85, 404, 321, 2, 4
1758356656484, 7, 8, 563, 82, 407, 323, 2, 3
1758356656484, 1, 8, 571, 86, 403, 327, 2, 4
1758356656484, 3, 8, 564, 83, 405, 324, 2, 7
1758356656484, 4, 6, 568, 83, 404, 322, 9, 12
1758356656484, 3, 5, 561, 84, 403, 323, 1, 2
1758356656484, 8, 5, 561, 85, 403, 327, 2, 5
1758356656484, 4, 4, 560, 82, 406, 327, 2, 3
1758356656484, 1, 3, 575, 83, 403, 325, 8, 4
1758356656484, 2, 4, 561, 86, 403, 324, 2, 2
1758356656484, 3, 4, 565, 83, 407, 327, 2, 3
1758356656484, 11, 4, 561, 81, 403, 327, 1, 5
1758356656484, 3, 5, 556, 83, 403, 324, 2, 3
1758356656484, 4, 5, 559, 81, 403, 327, 2, 4
1758356656484, 5, 6, 567, 84, 408, 323, 2, 2
1758356656484, 4, 8, 562, 84, 403, 331, 2, 3
1758356656484, 4, 7, 567, 83, 404, 323, 2, 4
1758356656484, 6, 8, 569, 82, 407, 327, 2, 3
1758356656484, 4, 8, 561, 84, 407, 323, 5, 1
1758356656484, 13, 24, 564, 81, 405, 324, 2, 2
1758356656484, 6, 11, 561, 86, 403, 323, 2, 4
1758356656484, 5, 8, 566, 81, 408, 327, 2, 11
1758356656484, 3, 8, 559, 83, 414, 327, 2, 3
1758356656484, 5, 7, 559, 82, 408, 327, 2, 3
1758356656484, 4, 19, 576, 84, 409, 326, 1, 2
1758356656484, 4, 22, 564, 86, 407, 326, 3, 4
1758356656484, 4, 7, 563, 83, 403, 322, 1, 3
1758356656484, 4, 4, 571, 82, 402, 324, 2, 3
1758356656484, 5, 5, 563, 83, 403, 335, 2, 4
1758356656484, 3, 20, 561, 83, 407, 323, 2, 3
1758356656484, 3, 6, 566, 83, 403, 328, 2, 2
1758356656484, 5, 5, 563, 84, 407, 323, 3, 3
1758356656484, 6, 5, 563, 83, 406, 327, 3, 3
1758356656484, 3, 4, 571, 85, 403, 324, 1, 3
1758356656484, 8, 5, 571, 84, 407, 330, 1, 2
1758356656484, 3, 22, 570, 84, 407, 322, 2, 3
1758356656484, 11, 9, 567, 95, 406, 327, 2, 3
1758356656484, 2, 7, 574, 85, 403, 322, 11, 4
1758356656484, 12, 8, 574, 85, 406, 332, 2, 3
1758356656484, 4, 9, 572, 84, 404, 327, 2, 3
1758356656484, 7, 9, 573, 84, 407, 323, 2, 4
1758356656484, 3, 7, 571, 85, 404, 321, 1, 3
1758356656484, 12, 8, 579, 84, 403, 324, 1, 7
1758356656484, 3, 7, 567, 81, 407, 324, 2, 2
1758356656484, 1, 20, 574, 85, 407, 322, 2, 4
1758356656484, 3, 7, 574, 85, 407, 323, 2, 2
1758356656484, 9, 5, 567, 85, 406, 326, 1, 3
1758356656484, 3, 4, 567, 84, 407, 324, 3, 7
1758356656484, 4, 5, 570, 87, 407, 323, 1, 8
1758356656484, 2, 10, 566, 87, 403, 324, 2, 3
1758356656484, 4, 5, 569, 84, 409, 323, 1, 7
1758356656484, 6, 4, 572, 84, 407, 324, 2, 3
1758356656484, 4, 15, 568, 84, 407, 323, 1, 1
1758356656484, 3, 21, 569, 85, 404, 325, 2, 8
1758356656484, 4, 7, 572, 87, 409, 327, 1, 11
1758356656484, 4, 6, 572, 85, 411, 324, 2, 2
1758356656484, 2, 6, 567, 86, 407, 323, 2, 4
1758356656484, 6, 8, 570, 82, 403, 323, 2, 3
1758356656484, 3, 23, 567, 81, 407, 323, 2, 4
1758356656484, 4, 11, 566, 84, 406, 323, 4, 4
1758356656484, 5, 9, 566, 84, 415, 321, 3, 3
1758356656484, 4, 9, 568, 84, 406, 325, 2, 4
1758356656484, 6, 8, 569, 85, 403, 323, 1, 3
1758356656484, 4, 22, 568, 85, 403, 321, 3, 3
1758356656484, 3, 7, 571, 84, 411, 324, 1, 3
1758356656484, 4, 6, 574, 86, 407, 323, 2, 3
1758356656484, 5, 20, 568, 85, 406, 322, 1, 4
1758356656484, 1, 12, 565, 83, 405, 326, 2, 4
1758356656484, 3, 5, 565, 84, 409, 327, 2, 3
1758356656484, 4, 4, 568, 86, 406, 323, 1, 3
1758356656484, 5, 4, 570, 83, 411, 323, 1, 3
1758356656484, 3, 5, 577, 84, 411, 322, 2, 4
1758356656484, 3, 19, 565, 82, 404, 323, 11, 3
1758356656484, 4, 7, 568, 86, 407, 323, 2, 3
1758356656484, 2, 11, 570, 95, 403, 326, 4, 2
1758356656484, 2, 7, 576, 84, 407, 326, 2, 2
1758356656484, 2, 7, 568, 83, 409, 326, 2, 3
1758356656484, 2, 7, 563, 86, 403, 327, 2, 3
1758356656484, 4, 7, 567, 84, 406, 326, 2, 4
1758356656484, 4, 9, 573, 84, 403, 323, 2, 4
1758356656484, 7, 8, 570, 86, 407, 324, 2, 4
1758356656484, 4, 14, 571, 85, 405, 331, 1, 2
1758356656484, 4, 8, 563, 87, 407, 324, 7, 3
1758356656484, 4, 7, 563, 84, 404, 322, 1, 3
1758356656484, 4, 6, 562, 85, 406, 324, 2, 3
1758356656484, 5, 6, 573, 83, 413, 325, 3, 2
1758356656484, 5, 5, 572, 86, 406, 323, 2, 3
1758356656484, 5, 4, 566, 84, 406, 323, 2, 3
1758356656484, 5, 4, 567, 87, 406, 322, 2, 3
1758356656484, 5, 5, 573, 86, 409, 327, 1, 3
1758356656484, 3, 14, 560, 86, 406, 322, 2, 2
1758356656484, 0, 6, 560, 88, 403, 329, 1, 4
1758356656484, 6, 5, 571, 85, 404, 333, 3, 4
1758356656484, 3, 6, 560, 89, 403, 326, 2, 7
1758356656484, 4, 5, 560, 86, 404, 329, 2, 4
1758356656484, 0, 7, 559, 87, 406, 322, 2, 3
1758356656484, 3, 6, 557, 86, 403, 326, 2, 5
1758356656484, 4, 8, 555, 86, 407, 324, 1, 3
1758356656484, 4, 9, 551, 88, 402, 324, 2, 4
1758356656484, 4, 10, 550, 89, 406, 323, 2, 2
1758356656484, 2, 9, 552, 87, 407, 325, 1, 2
1758356656484, 4, 8, 555, 88, 403, 326, 2, 4
1758356656484, 5, 9, 555, 89, 404, 325, 2, 2
1758356656484, 2, 7, 551, 89, 402, 326, 1, 5
1758356656484, 3, 13, 551, 89, 403, 325, 2, 5
1758356656484, 4, 6, 552, 88, 404, 326, 2, 4
1758356656484, 1, 5, 549, 92, 402, 327, 2, 3
1758356656484, 2, 3, 553, 87, 406, 323, 1, 3
1758356656484, 1, 4, 554, 90, 407, 332, 2, 3
1758356656484, 14, 5, 549, 90, 407, 327, 2, 4
1758356656484, 2, 4, 551, 91, 404, 323, 1, 4
1758356656484, 4, 17, 553, 93, 407, 323, 2, 3
1758356656484, 1, 7, 547, 90, 406, 323, 2, 3
1758356656484, 1, 6, 552, 90, 403, 324, 1, 6
1758356656484, 3, 17, 550, 91, 403, 324, 2, 2
1758356656484, 4, 23, 548, 88, 403, 323, 2, 11
1758356656484, 4, 10, 547, 98, 404, 327, 2, 3
1758356656484, 14, 8, 547, 90, 403, 327, 2, 4
1758356656484, 3, 8, 547, 90, 411, 330, 11, 3
1758356656484, 13, 9, 549, 90, 406, 327, 1, 3
1758356656484, 5, 9, 547, 90, 403, 326, 2, 3
1758356656484, 3, 11, 547, 91, 404, 328, 2, 3
1758356656484, 3, 8, 548, 92, 413, 327, 2, 2
1758356656484, 2, 7, 550, 88, 407, 323, 2, 3
1758356656484, 5, 5, 551, 89, 407, 328, 2, 1
1758356656484, 4, 5, 547, 99, 404, 327, 1, 3
1758356656484, 2, 4, 554, 89, 404, 331, 2, 3
1758356656484, 2, 3, 552, 90, 407, 328, 4, 3
1758356656484, 0, 4, 551, 91, 402, 324, 2, 2
1758356656484, 3, 20, 552, 91, 406, 325, 1, 2
1758356656484, 5, 14, 549, 89, 403, 328, 2, 3
1758356656484, 4, 7, 555, 92, 407, 323, 5, 4
1758356656484, 5, 6, 550, 88, 407, 322, 2, 3
1758356656484, 2, 4, 547, 87, 407, 324, 2, 5
1758356656484, 4, 5, 552, 90, 406, 326, 1, 2
1758356656484, 3, 6, 555, 90, 402, 323, 2, 3
1758356656484, 4, 7, 552, 91, 407, 327, 2, 12
1758356656484, 4, 8, 549, 90, 406, 322, 3, 3
1758356656484, 3, 7, 554, 91, 407, 331, 2, 3
1758356656484, 6, 9, 547, 93, 407, 328, 2, 3
1758356656484, 4, 8, 550, 90, 403, 325, 2, 9
1758356656484, 7, 8, 547, 92, 404, 333, 3, 3
1758356656484, 3, 7, 547, 89, 404, 327, 2, 4
1758356656484, 12, 21, 549, 91, 406, 326, 1, 4
1758356656484, 3, 13, 551, 92, 413, 328, 5, 4
1758356656484, 3, 6, 552, 92, 403, 334, 1, 4
1758356656484, 5, 4, 547, 88, 407, 329, 11, 2
1758356656484, 2, 18, 551, 88, 404, 327, 2, 2
1758356656484, 3, 6, 550, 89, 407, 324, 2, 2
1758356656484, 6, 4, 550, 89, 407, 326, 1, 3
1758356656484, 5, 4, 552, 90, 404, 329, 1, 3
1758356656484, 3, 5, 552, 86, 407, 323, 7, 3
1758356656484, 3, 4, 545, 96, 404, 331, 2, 3
1758356656484, 14, 5, 548, 90, 407, 327, 2, 3
1758356656484, 3, 20, 549, 89, 407, 331, 3, 4
1758356656484, 4, 9, 564, 94, 407, 322, 2, 3
1758356656484, 1, 7, 547, 88, 403, 324, 2, 3
1758356656484, 1, 8, 550, 90, 407, 324, 1, 3
1758356656484, 3, 7, 549, 92, 406, 325, 2, 3
1758356656484, 3, 8, 547, 92, 404, 330, 2, 3
1758356656484, 3, 9, 559, 94, 403, 329, 2, 2
1758356656484, 4, 7, 552, 90, 404, 322, 3, 10
1758356656484, 4, 8, 549, 90, 407, 321, 9, 2
1758356656484, 5, 22, 555, 91, 416, 326, 1, 11
1758356656484, 4, 8, 552, 92, 406, 329, 2, 3
1758356656484, 4, 21, 553, 90, 411, 326, 2, 13
1758356656484, 3, 7, 552, 91, 402, 323, 1, 4
1758356656484, 5, 4, 555, 98, 406, 322, 2, 4
1758356656484, 3, 19, 552, 92, 408, 321, 2, 2
1758356656484, 3, 6, 555, 91, 402, 321, 1, 4
1758356656484, 5, 4, 548, 89, 404, 321, 1, 4
1758356656484, 4, 4, 557, 90, 407, 324, 2, 2
1758356656484, 3, 5, 555, 92, 403, 325, 1, 3
1758356656484, 4, 4, 552, 93, 402, 325, 1, 3
1758356656484, 8, 5, 555, 90, 403, 327, 2, 7
1758356656484, 4, 6, 559, 92, 403, 321, 1, 3
1758356656484, 4, 7, 555, 92, 403, 325, 1, 4
1758356656484, 5, 24, 551, 91, 403, 332, 3, 3
1758356656484, 2, 10, 557, 91, 407, 325, 1, 4
1758356656484, 3, 9, 551, 91, 404, 323, 1, 3
1758356656484, 4, 12, 556, 91, 404, 323, 2, 4
1758356656484, 4, 9, 559, 89, 403, 328, 1, 3
1758356656484, 5, 8, 549, 89, 406, 323, 2, 4
1758356656484, 6, 19, 551, 101, 404, 323, 2, 4
1758356656484, 17, 8, 552, 92, 407, 323, 3, 3
1758356656484, 6, 5, 559, 91, 405, 326, 1, 6
1758356656484, 13, 4, 553, 94, 407, 326, 3, 3
1758356656484, 7, 14, 558, 90, 406, 326, 1, 3
1758356656484, 2, 5, 550, 95, 406, 322, 1, 4
1758356656484, 13, 5, 550, 100, 407, 323, 2, 2
1758356656484, 2, 3, 554, 91, 411, 323, 1, 4
1758356656484, 4, 4, 555, 89, 407, 327, 1, 3
1758356656484, 4, 5, 557, 87, 407, 330, 1, 4
1758356656485, 3, 5, 557, 89, 402, 324, 2, 4
1758356656485, 3, 6, 552, 91, 404, 326, 2, 8
1758356656485, 1, 6, 551, 90, 416, 325, 1, 3
1758356656485, 3, 7, 551, 96, 406, 327, 2, 4
1758356656485, 2, 7, 553, 89, 403, 327, 1, 3
1758356656485, 7, 17, 556, 88, 404, 326, 2, 4
1758356656485, 3, 10, 556, 88, 409, 327, 3, 2
1758356656485, 5, 9, 555, 91, 403, 323, 9, 3
1758356656485, 4, 24, 558, 92, 403, 326, 1, 3
1758356656485, 4, 9, 558, 88, 407, 323, 2, 11
1758356656485, 2, 8, 556, 88, 407, 325, 1, 3
1758356656485, 3, 6, 567, 86, 407, 324, 3, 4
1758356656485, 4, 5, 560, 95, 406, 326, 2, 3
1758356656485, 3, 4, 565, 89, 404, 326, 9, 4
1758356656485, 3, 4, 557, 89, 407, 324, 2, 3
1758356656485, 3, 3, 557, 88, 407, 322, 2, 2
1758356656485, 3, 13, 560, 88, 406, 323, 2, 3
1758356656486, 3, 5, 560, 88, 404, 328, 2, 2
1758356656486, 3, 4, 558, 85, 404, 327, 3, 3
1758356656488, 3, 4, 564, 85, 405, 326, 1, 3
1758356656488, 4, 6, 559, 89, 404, 323, 2, 3
1758356656488, 3, 6, 565, 87, 409, 327, 2, 3
1758356656490, 12, 7, 563, 89, 407, 322, 3, 4
1758356656490, 6, 7, 567, 91, 407, 325, 3, 3
