unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356680291, E, 4, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356682397, 5, 26, 525, 78, 363, 318, 2, 3
1758356682397, 4, 12, 528, 75, 363, 318, 2, 12
1758356682397, 2, 9, 531, 77, 368, 323, 2, 7
1758356682397, 3, 7, 531, 75, 360, 321, 2, 2
1758356682397, 6, 8, 528, 75, 374, 318, 1, 3
1758356682397, 0, 6, 531, 76, 365, 318, 3, 4
1758356682397, 2, 5, 525, 73, 359, 317, 2, 3
1758356682397, 3, 4, 531, 74, 364, 317, 2, 3
1758356682397, 2, 4, 530, 73, 361, 319, 2, 3
1758356682397, 12, 4, 531, 73, 365, 319, 1, 2
1758356682397, 4, 20, 527, 74, 362, 319, 3, 2
1758356682397, 3, 7, 535, 75, 365, 317, 3, 5
1758356682397, 2, 19, 530, 73, 364, 319, 3, 3
1758356682397, 2, 7, 528, 75, 360, 320, 3, 3
1758356682397, 3, 16, 523, 74, 361, 315, 2, 2
1758356682397, 4, 7, 533, 73, 364, 317, 2, 1
1758356682397, 5, 6, 531, 75, 365, 318, 3, 4
1758356682397, 4, 6, 528, 74, 359, 321, 1, 3
1758356682397, 3, 7, 535, 75, 362, 317, 2, 3
1758356682397, 4, 7, 527, 86, 367, 319, 2, 3
1758356682397, 6, 8, 539, 74, 364, 317, 2, 3
1758356682397, 6, 8, 533, 75, 361, 316, 2, 4
1758356682397, 4, 8, 528, 75, 362, 317, 8, 3
1758356682397, 4, 7, 533, 83, 361, 326, 3, 3
1758356682397, 6, 7, 529, 75, 360, 318, 1, 3
1758356682397, 5, 6, 532, 79, 360, 317, 4, 5
1758356682397, 6, 17, 533, 76, 365, 319, 2, 3
1758356682397, 7, 5, 531, 72, 362, 317, 2, 4
1758356682397, 7, 19, 531, 76, 359, 319, 2, 12
1758356682397, 4, 6, 530, 77, 373, 318, 1, 3
1758356682397, 3, 19, 530, 79, 362, 323, 1, 3
1758356682397, 3, 21, 525, 74, 360, 318, 1, 2
1758356682397, 4, 6, 535, 74, 360, 320, 1, 2
1758356682397, 0, 5, 531, 75, 361, 317, 0, 2
1758356682397, 4, 5, 530, 74, 361, 320, 7, 4
1758356682397, 9, 7, 523, 75, 364, 319, 1, 3
1758356682397, 2, 6, 525, 75, 360, 327, 2, 4
1758356682397, 4, 6, 531, 76, 360, 319, 1, 3
1758356682397, 4, 8, 524, 76, 362, 318, 2, 3
1758356682397, 2, 7, 523, 73, 360, 319, 1, 5
1758356682397, 4, 8, 531, 76, 369, 319, 2, 3
1758356682397, 4, 8, 525, 77, 361, 319, 1, 3
1758356682397, 5, 9, 525, 75, 360, 317, 2, 4
1758356682397, 12, 7, 523, 74, 364, 321, 2, 4
1758356682397, 2, 7, 525, 76, 360, 318, 1, 3
1758356682397, 4, 6, 528, 74, 363, 319, 1, 3
1758356682397, 1, 5, 526, 74, 360, 319, 3, 1
1758356682397, 5, 6, 528, 78, 363, 318, 1, 1
1758356682397, 3, 4, 528, 77, 363, 322, 1, 4
1758356682397, 3, 3, 528, 77, 369, 318, 2, 3
1758356682397, 2, 4, 531, 73, 363, 317, 1, 5
1758356682397, 3, 10, 532, 76, 367, 318, 2, 4
1758356682397, 5, 5, 536, 72, 362, 329, 2, 4
1758356682397, 4, 5, 530, 75, 360, 317, 2, 2
1758356682397, 5, 17, 528, 74, 359, 318, 2, 4
1758356682397, 7, 7, 533, 75, 363, 321, 2, 3
1758356682397, 3, 12, 528, 77, 359, 323, 2, 4
1758356682397, 2, 22, 528, 74, 363, 318, 2, 3
1758356682397, 5, 25, 525, 77, 361, 318, 2, 3
1758356682397, 3, 24, 528, 75, 365, 318, 2, 4
1758356682397, 6, 11, 524, 76, 361, 318, 3, 5
1758356682397, 4, 20, 528, 74, 363, 318, 2, 3
1758356682397, 6, 9, 531, 72, 361, 319, 2, 12
1758356682397, 3, 8, 528, 74, 363, 319, 2, 2
1758356682397, 5, 22, 528, 75, 363, 318, 10, 3
1758356682397, 3, 23, 528, 79, 361, 319, 2, 12
1758356682397, 4, 22, 528, 76, 364, 319, 2, 4
1758356682397, 2, 7, 528, 75, 360, 321, 2, 4
1758356682397, 3, 19, 528, 75, 363, 317, 2, 3
1758356682397, 4, 19, 528, 75, 360, 318, 2, 1
1758356682397, 4, 7, 538, 75, 360, 325, 2, 3
1758356682397, 5, 5, 528, 75, 359, 317, 2, 4
1758356682397, 2, 18, 531, 76, 364, 320, 2, 4
1758356682397, 2, 7, 525, 78, 359, 320, 2, 3
1758356682397, 4, 20, 528, 76, 363, 318, 2, 3
1758356682397, 4, 8, 527, 74, 362, 318, 5, 3
1758356682397, 3, 19, 528, 73, 367, 318, 2, 3
1758356682397, 4, 23, 531, 75, 359, 319, 2, 4
1758356682397, 3, 10, 528, 76, 365, 319, 2, 3
1758356682397, 5, 22, 528, 76, 361, 323, 2, 3
1758356682397, 4, 11, 525, 76, 365, 318, 11, 3
1758356682397, 5, 10, 527, 78, 362, 319, 2, 3
1758356682397, 3, 8, 526, 77, 360, 329, 2, 4
1758356682397, 3, 8, 523, 76, 359, 320, 2, 7
1758356682397, 4, 14, 523, 76, 359, 321, 7, 2
1758356682397, 3, 8, 522, 76, 363, 318, 2, 3
1758356682397, 3, 4, 526, 75, 367, 319, 2, 6
1758356682397, 2, 5, 534, 75, 363, 319, 2, 2
1758356682397, 4, 4, 523, 73, 360, 319, 1, 3
