unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356861929, E, 0, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356862091, 1, 9, 387, 91, 393, 364, 2, 4
1758356862091, 5, 24, 387, 91, 389, 361, 2, 3
1758356862091, 5, 9, 387, 91, 392, 365, 2, 4
1758356862091, 3, 7, 399, 94, 388, 361, 2, 2
1758356862091, 4, 6, 387, 90, 389, 365, 2, 2
1758356862091, 1, 5, 392, 92, 393, 359, 1, 3
1758356862091, 9, 5, 392, 97, 387, 367, 1, 9
1758356862091, 0, 4, 392, 91, 390, 371, 2, 3
1758356862091, 4, 5, 392, 89, 393, 363, 2, 11
1758356862091, 4, 19, 392, 92, 395, 364, 2, 3
1758356862091, 4, 7, 390, 91, 393, 360, 1, 3
1758356862091, 3, 5, 395, 92, 388, 364, 2, 3
1758356862091, 11, 4, 395, 92, 391, 364, 3, 6
1758356862091, 4, 7, 391, 92, 391, 366, 2, 4
1758356862091, 13, 7, 397, 92, 391, 360, 2, 3
1758356862091, 4, 7, 390, 93, 389, 365, 1, 3
1758356862091, 3, 8, 393, 91, 399, 364, 2, 3
1758356862091, 3, 7, 395, 92, 389, 363, 2, 3
1758356862091, 2, 8, 393, 91, 389, 359, 2, 3
1758356862091, 4, 8, 397, 92, 399, 360, 4, 3
1758356862091, 13, 9, 393, 101, 392, 359, 2, 5
1758356862091, 4, 8, 394, 93, 389, 365, 1, 5
1758356862091, 2, 8, 390, 93, 393, 359, 1, 4
1758356862091, 5, 7, 399, 98, 398, 364, 2, 3
1758356862091, 12, 6, 402, 94, 392, 361, 3, 3
1758356862091, 3, 5, 402, 92, 391, 361, 4, 3
1758356862091, 3, 4, 398, 94, 392, 361, 1, 4
1758356862091, 5, 4, 391, 92, 387, 363, 2, 3
1758356862091, 3, 3, 396, 95, 389, 371, 2, 4
1758356862091, 2, 5, 398, 94, 388, 361, 2, 3
1758356862091, 3, 15, 396, 94, 399, 364, 11, 3
1758356862091, 5, 6, 393, 90, 391, 361, 5, 4
1758356862091, 1, 20, 396, 96, 392, 365, 2, 4
1758356862091, 3, 8, 395, 99, 387, 372, 2, 2
1758356862091, 3, 6, 406, 92, 399, 364, 2, 3
1758356862091, 2, 5, 397, 93, 396, 365, 2, 3
1758356862091, 6, 6, 396, 93, 392, 366, 2, 5
1758356862091, 6, 7, 397, 91, 392, 361, 6, 2
1758356862091, 4, 9, 395, 93, 389, 364, 2, 5
1758356862091, 7, 9, 399, 93, 393, 364, 2, 3
1758356862091, 5, 24, 399, 95, 393, 364, 2, 3
1758356862091, 4, 11, 402, 95, 397, 364, 2, 3
1758356862091, 4, 8, 400, 93, 390, 364, 2, 5
1758356862091, 13, 21, 403, 95, 391, 365, 2, 3
1758356862091, 2, 7, 400, 92, 393, 364, 2, 3
1758356862091, 3, 4, 402, 94, 391, 361, 2, 2
1758356862091, 1, 20, 400, 93, 388, 367, 1, 12
1758356862091, 5, 7, 409, 94, 387, 365, 10, 3
1758356862091, 7, 5, 411, 93, 391, 364, 3, 4
1758356862091, 5, 4, 401, 92, 391, 361, 2, 4
1758356862091, 4, 5, 407, 101, 392, 360, 1, 4
1758356862091, 4, 6, 399, 102, 391, 361, 2, 3
1758356862091, 4, 5, 401, 91, 390, 361, 1, 9
1758356862091, 2, 5, 399, 94, 391, 361, 2, 3
1758356862091, 3, 17, 401, 95, 388, 359, 2, 3
1758356862091, 4, 8, 401, 92, 387, 365, 2, 3
1758356862091, 4, 18, 405, 94, 395, 365, 2, 4
1758356862091, 4, 10, 403, 93, 395, 364, 1, 2
1758356862091, 4, 9, 401, 91, 388, 364, 2, 4
1758356862091, 4, 9, 401, 94, 391, 364, 5, 2
1758356862091, 2, 8, 404, 96, 391, 364, 2, 3
1758356862091, 3, 7, 407, 101, 391, 359, 2, 4
1758356862091, 3, 7, 404, 96, 391, 365, 2, 3
1758356862091, 1, 7, 403, 94, 388, 367, 6, 3
1758356862091, 3, 5, 401, 92, 387, 361, 6, 2
1758356862091, 2, 5, 407, 95, 391, 364, 5, 3
1758356862091, 12, 4, 409, 94, 387, 364, 1, 2
1758356862091, 2, 4, 404, 95, 391, 361, 2, 2
1758356862091, 4, 5, 407, 93, 391, 364, 2, 3
1758356862091, 2, 5, 407, 94, 387, 363, 2, 3
1758356862091, 3, 4, 403, 93, 390, 360, 3, 2
1758356862091, 3, 4, 401, 93, 388, 364, 2, 4
