unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356873932, E, 1, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356873973, 4, 7, 426, 100, 417, 317, 1, 3
1758356873973, 2, 6, 427, 104, 416, 315, 1, 3
1758356873973, 3, 5, 424, 105, 418, 317, 2, 3
1758356873973, 10, 19, 423, 102, 416, 316, 5, 4
1758356873973, 3, 9, 424, 102, 420, 320, 2, 3
1758356873973, 3, 5, 428, 99, 418, 315, 2, 3
1758356873973, 2, 4, 428, 98, 428, 315, 2, 3
1758356873973, 0, 5, 428, 101, 425, 315, 2, 3
1758356873973, 1, 6, 425, 99, 413, 319, 2, 4
1758356873973, 4, 21, 426, 100, 419, 315, 2, 3
1758356873973, 3, 20, 428, 99, 419, 314, 2, 7
1758356873973, 3, 8, 423, 102, 423, 318, 2, 3
1758356873973, 5, 7, 429, 100, 416, 320, 1, 3
1758356873973, 4, 8, 426, 103, 416, 318, 1, 9
1758356873973, 5, 8, 423, 99, 419, 315, 2, 3
1758356873973, 5, 9, 429, 101, 415, 319, 1, 2
1758356873973, 3, 9, 432, 103, 421, 316, 1, 12
1758356873973, 2, 8, 424, 102, 416, 315, 2, 9
1758356873973, 6, 7, 435, 103, 416, 315, 1, 3
1758356873973, 6, 7, 423, 99, 419, 318, 2, 3
1758356873973, 5, 17, 425, 100, 414, 320, 2, 3
1758356873973, 8, 7, 423, 101, 416, 325, 2, 3
1758356873973, 4, 6, 431, 99, 419, 318, 2, 3
1758356873973, 3, 5, 429, 101, 414, 320, 1, 2
1758356873973, 3, 4, 431, 99, 419, 319, 2, 3
1758356873973, 3, 5, 425, 99, 419, 316, 3, 2
1758356873973, 2, 15, 428, 99, 418, 318, 5, 3
1758356873973, 10, 11, 431, 100, 414, 316, 3, 4
1758356873973, 5, 5, 424, 101, 415, 315, 1, 7
1758356873973, 4, 5, 428, 100, 415, 316, 2, 3
1758356873973, 4, 5, 428, 100, 414, 315, 2, 3
1758356873973, 4, 6, 431, 100, 419, 320, 2, 7
1758356873973, 1, 7, 430, 101, 419, 319, 3, 3
1758356873973, 3, 8, 428, 100, 423, 318, 2, 3
1758356873973, 4, 23, 428, 101, 419, 316, 2, 3
1758356873973, 4, 11, 430, 100, 416, 313, 2, 3
1758356873973, 5, 9, 426, 100, 418, 315, 1, 3
1758356873973, 3, 9, 427, 98, 416, 318, 2, 2
1758356873973, 4, 7, 428, 99, 418, 315, 2, 4
1758356873973, 4, 7, 433, 101, 419, 316, 3, 1
1758356873974, 7, 6, 432, 99, 416, 319, 1, 3
1758356873974, 7, 20, 439, 97, 416, 314, 2, 3
1758356873985, 3, 7, 437, 100, 419, 316, 1, 3
1758356873985, 2, 4, 431, 98, 418, 315, 2, 3
1758356873985, 3, 4, 431, 99, 419, 317, 1, 3
1758356873985, 10, 18, 429, 98, 416, 318, 2, 3
1758356873985, 1, 7, 432, 99, 418, 318, 1, 4
1758356873985, 4, 6, 429, 100, 413, 320, 3, 3
1758356873985, 5, 5, 435, 97, 416, 314, 2, 3
1758356873985, 3, 6, 431, 98, 416, 313, 2, 3
1758356873985, 14, 21, 430, 98, 416, 318, 2, 3
1758356873985, 2, 9, 430, 96, 413, 319, 2, 4
1758356873998, 3, 6, 427, 100, 418, 316, 2, 3
1758356873998, 5, 16, 437, 99, 416, 321, 2, 2
1758356873998, 5, 10, 430, 98, 418, 313, 2, 4
1758356873998, 3, 9, 431, 101, 416, 316, 2, 4
1758356873998, 3, 9, 431, 102, 419, 321, 2, 3
1758356873998, 6, 8, 439, 102, 413, 317, 2, 4
1758356873998, 6, 7, 433, 104, 420, 322, 2, 3
1758356873998, 7, 7, 428, 101, 422, 318, 2, 3
1758356873998, 6, 9, 431, 102, 416, 316, 2, 4
1758356873998, 10, 18, 433, 104, 416, 315, 2, 3
1758356873998, 2, 21, 432, 100, 419, 315, 2, 3
1758356873998, 2, 6, 432, 104, 419, 318, 2, 5
1758356873998, 2, 4, 429, 103, 416, 318, 1, 4
1758356873998, 4, 6, 434, 104, 415, 318, 2, 9
1758356874011, 1, 5, 436, 109, 416, 316, 1, 3
1758356874011, 4, 6, 435, 101, 415, 317, 2, 3
1758356874011, 5, 5, 435, 103, 416, 316, 2, 3
1758356874011, 3, 5, 436, 105, 424, 320, 1, 2
1758356874011, 5, 19, 429, 102, 416, 316, 2, 2
1758356874011, 4, 8, 429, 102, 413, 316, 3, 4
1758356874011, 5, 8, 429, 100, 418, 315, 2, 4
1758356874011, 4, 23, 429, 104, 416, 320, 1, 3
1758356874011, 4, 10, 434, 104, 419, 318, 1, 4
1758356874011, 4, 10, 435, 104, 421, 315, 1, 3
1758356874011, 4, 9, 439, 102, 416, 316, 1, 2
1758356874011, 3, 7, 432, 104, 416, 316, 2, 3
1758356874011, 6, 7, 432, 102, 419, 319, 4, 4
1758356874024, 0, 8, 432, 104, 415, 318, 2, 1
1758356874024, 11, 6, 432, 106, 416, 316, 1, 3
1758356874024, 4, 5, 429, 101, 419, 316, 1, 3
1758356874024, 3, 20, 429, 103, 414, 316, 2, 3
1758356874024, 2, 11, 432, 103, 414, 315, 2, 3
1758356874024, 3, 5, 437, 103, 413, 318, 2, 3
1758356874024, 4, 5, 435, 100, 414, 319, 2, 4
1758356874024, 2, 5, 432, 108, 415, 320, 2, 3
1758356874024, 4, 5, 429, 101, 414, 315, 2, 2
1758356874024, 3, 20, 435, 102, 425, 320, 1, 3
1758356874024, 5, 8, 431, 96, 420, 316, 3, 8
1758356874024, 5, 22, 430, 100, 426, 318, 5, 4
1758356874024, 4, 23, 439, 99, 416, 320, 11, 3
1758356874037, 7, 24, 436, 101, 416, 319, 2, 3
1758356874037, 5, 11, 434, 100, 414, 314, 1, 4
1758356874037, 5, 8, 437, 99, 416, 320, 2, 3
1758356874037, 5, 9, 435, 99, 420, 320, 1, 3
1758356874037, 3, 9, 436, 104, 415, 315, 2, 3
1758356874037, 2, 21, 435, 98, 413, 316, 3, 3
1758356874037, 4, 24, 435, 97, 416, 316, 2, 3
1758356874037, 8, 10, 431, 97, 418, 315, 2, 3
1758356874037, 0, 22, 427, 97, 420, 327, 2, 3
1758356874037, 6, 8, 429, 99, 414, 319, 1, 3
1758356874037, 5, 4, 429, 98, 419, 315, 2, 3
1758356874037, 8, 3, 431, 100, 417, 317, 2, 10
1758356874037, 5, 16, 429, 99, 414, 317, 2, 2
1758356874050, 2, 22, 430, 105, 416, 318, 2, 4
1758356874050, 13, 7, 435, 99, 418, 327, 2, 2
1758356874050, 6, 6, 433, 98, 416, 319, 1, 4
1758356874050, 14, 20, 434, 101, 415, 317, 2, 2
1758356874050, 5, 7, 431, 98, 416, 319, 2, 4
1758356874050, 4, 7, 432, 108, 416, 321, 1, 3
1758356874050, 4, 7, 438, 103, 416, 319, 2, 8
1758356874050, 4, 6, 432, 100, 419, 317, 2, 3
1758356874050, 9, 8, 431, 102, 416, 318, 2, 3
1758356874050, 3, 22, 432, 100, 416, 317, 1, 3
1758356874050, 5, 11, 433, 106, 419, 317, 2, 3
1758356874050, 3, 9, 436, 100, 418, 318, 2, 3
1758356874050, 6, 21, 436, 98, 415, 323, 1, 3
1758356874063, 3, 8, 433, 97, 416, 319, 3, 3
1758356874063, 11, 7, 434, 103, 415, 317, 1, 1
1758356874063, 2, 22, 435, 101, 416, 318, 1, 3
1758356874063, 2, 7, 432, 100, 418, 319, 3, 3
1758356874063, 2, 4, 438, 99, 418, 317, 1, 4
1758356874063, 3, 4, 433, 101, 419, 319, 1, 10
1758356874063, 3, 4, 440, 99, 418, 317, 10, 3
1758356874063, 2, 4, 437, 99, 416, 321, 2, 3
1758356874063, 12, 5, 433, 99, 416, 319, 2, 3
1758356874063, 4, 5, 438, 98, 416, 317, 3, 5
1758356874063, 3, 5, 434, 100, 414, 321, 2, 3
1758356874063, 7, 5, 438, 99, 419, 317, 2, 4
1758356874063, 5, 21, 440, 99, 419, 317, 4, 3
1758356874076, 4, 8, 436, 100, 419, 317, 10, 2
1758356874076, 3, 7, 434, 98, 416, 319, 2, 8
1758356874076, 4, 23, 436, 99, 423, 320, 2, 4
1758356874076, 4, 11, 439, 100, 419, 317, 2, 3
1758356874076, 5, 10, 435, 100, 414, 318, 2, 7
1758356874076, 9, 9, 437, 99, 418, 322, 2, 3
1758356874076, 4, 8, 441, 101, 417, 318, 2, 3
1758356874076, 3, 7, 435, 102, 416, 318, 1, 4
1758356874076, 4, 8, 439, 97, 418, 322, 2, 6
1758356874076, 3, 6, 439, 100, 414, 319, 2, 3
1758356874076, 3, 4, 436, 102, 419, 317, 3, 3
1758356874076, 2, 3, 438, 109, 416, 323, 2, 3
1758356874088, 2, 3, 439, 100, 416, 319, 1, 3
1758356874088, 3, 4, 439, 100, 419, 317, 2, 3
1758356874088, 3, 5, 436, 101, 415, 319, 1, 3
1758356874088, 1, 4, 438, 101, 419, 317, 10, 4
1758356874088, 3, 5, 434, 100, 414, 318, 2, 2
1758356874088, 3, 20, 433, 102, 415, 319, 2, 3
1758356874088, 3, 8, 436, 102, 416, 319, 2, 3
1758356874088, 2, 6, 435, 101, 418, 317, 1, 6
1758356874088, 5, 6, 433, 101, 413, 321, 2, 3
1758356874088, 6, 21, 436, 101, 416, 327, 2, 4
1758356874088, 5, 10, 443, 101, 419, 317, 3, 4
1758356874088, 4, 9, 439, 101, 418, 317, 3, 11
1758356874088, 6, 24, 431, 102, 416, 325, 2, 12
1758356874088, 13, 11, 433, 100, 416, 319, 2, 4
1758356874102, 5, 8, 439, 100, 429, 321, 2, 3
1758356874102, 5, 8, 432, 101, 419, 315, 2, 2
1758356874102, 1, 7, 432, 100, 419, 318, 2, 3
1758356874102, 3, 19, 443, 100, 419, 319, 2, 2
1758356874102, 7, 7, 431, 101, 418, 316, 5, 3
1758356874102, 3, 5, 437, 100, 425, 319, 2, 4
1758356874102, 5, 19, 437, 103, 414, 317, 5, 3
1758356874102, 14, 7, 435, 99, 413, 319, 2, 5
1758356874102, 1, 6, 431, 99, 417, 319, 1, 3
1758356874102, 3, 20, 434, 97, 414, 321, 1, 4
1758356874102, 7, 7, 433, 96, 416, 315, 9, 4
1758356874102, 2, 5, 439, 96, 414, 319, 9, 4
1758356874102, 5, 5, 438, 97, 413, 320, 2, 1
1758356874115, 4, 6, 434, 96, 419, 318, 1, 4
1758356874115, 12, 7, 433, 95, 416, 327, 2, 5
1758356874115, 4, 7, 431, 95, 416, 319, 2, 3
1758356874115, 3, 8, 433, 96, 413, 321, 5, 3
1758356874115, 4, 22, 432, 96, 419, 319, 9, 4
1758356874115, 2, 10, 437, 95, 415, 318, 2, 4
1758356874115, 4, 10, 433, 98, 413, 320, 2, 2
1758356874115, 10, 8, 433, 98, 416, 319, 2, 3
1758356874115, 3, 7, 435, 95, 416, 316, 2, 2
1758356874115, 4, 7, 438, 96, 413, 320, 7, 2
