unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356897940, E, 3, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356897980, 3, 8, 472, 89, 432, 340, 3, 4
1758356897980, 3, 10, 480, 89, 435, 340, 3, 5
1758356897980, 2, 16, 484, 89, 439, 339, 2, 3
1758356897980, 5, 21, 486, 88, 435, 341, 1, 3
1758356897980, 4, 25, 484, 90, 432, 339, 1, 2
1758356897980, 13, 10, 488, 89, 432, 339, 2, 8
1758356897980, 2, 6, 490, 88, 432, 337, 2, 3
1758356897980, 3, 5, 491, 90, 431, 336, 2, 3
1758356897980, 12, 4, 491, 87, 432, 347, 11, 5
1758356897980, 5, 5, 488, 91, 431, 337, 2, 2
1758356897980, 1, 4, 485, 91, 431, 337, 2, 3
1758356897980, 4, 5, 483, 87, 433, 339, 2, 7
1758356897980, 0, 5, 490, 88, 433, 336, 1, 2
1758356897980, 2, 5, 485, 89, 433, 336, 2, 4
1758356897980, 4, 5, 487, 88, 439, 340, 1, 13
1758356897980, 4, 6, 482, 95, 431, 336, 1, 4
1758356897980, 6, 6, 476, 97, 435, 340, 2, 2
1758356897980, 3, 6, 477, 91, 432, 337, 2, 2
1758356897980, 4, 21, 472, 89, 431, 345, 2, 3
1758356897980, 3, 9, 478, 92, 434, 340, 6, 3
1758356897980, 4, 8, 473, 87, 433, 335, 8, 4
1758356897980, 4, 9, 467, 89, 434, 345, 1, 5
1758356897980, 5, 9, 473, 90, 434, 336, 3, 3
1758356897980, 3, 9, 474, 88, 435, 336, 2, 2
1758356897980, 5, 7, 470, 87, 433, 339, 1, 12
1758356897980, 2, 8, 468, 98, 432, 337, 3, 4
1758356897980, 6, 6, 475, 88, 435, 339, 1, 3
1758356897980, 8, 16, 477, 89, 432, 336, 2, 2
1758356897980, 6, 6, 476, 89, 434, 339, 2, 4
1758356897980, 3, 4, 473, 89, 437, 336, 3, 4
1758356897980, 13, 5, 471, 87, 432, 339, 2, 3
1758356897980, 5, 5, 476, 88, 433, 336, 3, 3
1758356897980, 5, 5, 479, 89, 442, 338, 1, 3
