unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356921959, E, 5, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356922135, 11, 7, 545, 58, 347, 335, 2, 4
1758356922135, 3, 7, 544, 58, 351, 335, 1, 3
1758356922135, 4, 6, 543, 58, 349, 333, 2, 3
1758356922135, 12, 5, 542, 58, 346, 332, 2, 2
1758356922135, 4, 4, 535, 58, 348, 333, 5, 3
1758356922135, 1, 4, 544, 61, 345, 332, 2, 3
1758356922135, 8, 5, 537, 59, 346, 332, 1, 2
1758356922135, 2, 5, 543, 61, 350, 334, 1, 2
1758356922135, 10, 19, 543, 55, 348, 332, 2, 3
1758356922135, 2, 6, 540, 59, 350, 345, 1, 3
1758356922135, 2, 4, 544, 60, 345, 335, 2, 2
1758356922135, 6, 5, 538, 59, 345, 340, 1, 3
1758356922135, 3, 6, 535, 58, 348, 333, 1, 3
1758356922135, 4, 21, 542, 59, 358, 339, 2, 3
1758356922135, 5, 24, 539, 61, 348, 333, 1, 3
1758356922135, 4, 11, 550, 60, 348, 337, 2, 6
1758356922135, 4, 9, 543, 59, 348, 334, 2, 3
1758356922135, 5, 10, 537, 58, 348, 337, 3, 4
1758356922135, 4, 25, 542, 58, 347, 333, 2, 3
1758356922135, 5, 19, 543, 60, 348, 337, 3, 3
1758356922135, 3, 9, 542, 59, 348, 343, 2, 4
1758356922135, 5, 8, 543, 58, 345, 333, 1, 9
1758356922135, 5, 7, 537, 58, 348, 337, 2, 3
1758356922135, 1, 11, 539, 56, 345, 337, 2, 3
1758356922135, 4, 6, 543, 58, 346, 334, 1, 3
1758356922135, 3, 4, 542, 62, 345, 334, 2, 3
1758356922135, 3, 4, 542, 60, 349, 333, 2, 3
1758356922135, 4, 5, 534, 58, 349, 333, 1, 3
1758356922135, 5, 4, 543, 59, 345, 332, 1, 3
1758356922135, 6, 5, 543, 58, 349, 334, 1, 2
1758356922135, 4, 5, 543, 60, 349, 335, 1, 6
1758356922135, 3, 21, 537, 58, 348, 333, 2, 3
1758356922135, 4, 8, 543, 60, 347, 333, 2, 8
1758356922135, 5, 7, 534, 59, 350, 335, 1, 4
1758356922135, 0, 14, 542, 57, 350, 333, 1, 4
1758356922135, 9, 9, 536, 58, 346, 335, 1, 3
1758356922135, 3, 24, 535, 58, 347, 342, 2, 3
1758356922135, 3, 26, 542, 58, 350, 333, 2, 3
1758356922135, 4, 11, 535, 60, 348, 337, 2, 8
1758356922135, 8, 8, 536, 57, 350, 333, 3, 2
1758356922135, 4, 22, 537, 59, 346, 337, 2, 3
1758356922135, 6, 9, 543, 55, 348, 332, 2, 3
1758356922135, 3, 21, 537, 66, 352, 333, 2, 2
1758356922135, 3, 22, 543, 55, 348, 338, 1, 4
1758356922135, 4, 7, 539, 58, 348, 332, 1, 3
1758356922135, 2, 4, 540, 57, 347, 335, 6, 5
1758356922135, 3, 4, 542, 57, 351, 331, 3, 3
1758356922135, 4, 18, 539, 56, 350, 332, 2, 12
1758356922135, 2, 21, 543, 56, 347, 334, 1, 3
1758356922135, 2, 7, 535, 56, 350, 335, 2, 3
1758356922135, 8, 5, 540, 57, 345, 336, 2, 3
1758356922135, 2, 5, 543, 58, 349, 341, 2, 4
1758356922135, 4, 7, 538, 56, 351, 333, 1, 5
1758356922135, 6, 8, 539, 57, 349, 333, 2, 4
1758356922135, 3, 6, 540, 59, 348, 333, 2, 3
1758356922135, 4, 8, 537, 59, 347, 334, 2, 3
1758356922135, 4, 8, 543, 56, 347, 334, 2, 1
1758356922135, 4, 9, 539, 58, 349, 335, 2, 3
1758356922135, 4, 9, 543, 57, 350, 337, 1, 3
1758356922135, 3, 9, 543, 57, 349, 346, 2, 4
1758356922135, 2, 7, 539, 64, 348, 335, 1, 1
1758356922135, 4, 12, 543, 64, 348, 339, 2, 4
1758356922135, 3, 19, 539, 56, 348, 331, 1, 8
1758356922135, 2, 6, 543, 66, 347, 341, 1, 12
1758356922135, 5, 12, 542, 58, 350, 332, 9, 2
1758356922135, 1, 5, 544, 58, 348, 331, 2, 3
1758356922135, 2, 4, 539, 57, 349, 332, 2, 3
1758356922135, 2, 4, 543, 59, 352, 334, 4, 3
1758356922135, 4, 5, 544, 58, 355, 333, 1, 2
1758356922135, 2, 4, 547, 56, 347, 334, 2, 2
1758356922135, 2, 4, 539, 57, 351, 334, 1, 10
1758356922135, 6, 5, 538, 61, 348, 332, 1, 7
1758356922135, 4, 5, 541, 57, 347, 333, 1, 3
1758356922135, 5, 7, 543, 57, 347, 333, 3, 4
1758356922135, 4, 7, 537, 60, 348, 332, 2, 4
1758356922135, 3, 8, 537, 61, 348, 333, 9, 3
1758356922135, 7, 19, 543, 60, 352, 333, 1, 3
1758356922135, 4, 25, 539, 56, 348, 336, 2, 3
1758356922135, 9, 12, 539, 59, 350, 343, 2, 3
1758356922135, 8, 9, 537, 59, 348, 337, 3, 3
1758356922135, 3, 8, 540, 60, 348, 335, 1, 7
1758356922135, 1, 22, 547, 58, 351, 331, 2, 4
1758356922135, 2, 7, 543, 58, 355, 334, 1, 4
1758356922135, 3, 5, 537, 60, 347, 333, 1, 6
1758356922135, 1, 5, 541, 59, 349, 333, 2, 3
1758356922135, 6, 16, 543, 58, 347, 334, 2, 6
1758356922135, 4, 17, 543, 59, 359, 334, 2, 3
1758356922135, 2, 7, 540, 58, 348, 336, 1, 4
1758356922135, 4, 20, 539, 58, 347, 337, 1, 3
1758356922135, 4, 7, 543, 60, 351, 333, 4, 3
1758356922135, 11, 6, 548, 60, 345, 333, 3, 3
1758356922135, 13, 6, 543, 59, 347, 338, 2, 2
1758356922135, 6, 6, 549, 61, 347, 334, 3, 4
1758356922135, 4, 7, 545, 67, 348, 334, 8, 4
