unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758357130036, E, -1, 3, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758357130185, 6, 8, 506, 75, 355, 345, 2, 4
1758357130185, 5, 10, 507, 76, 356, 348, 2, 3
1758357130185, 3, 9, 506, 74, 356, 345, 2, 3
1758357130185, 4, 8, 506, 75, 364, 345, 2, 3
1758357130185, 3, 8, 509, 76, 355, 348, 2, 4
1758357130185, 6, 15, 509, 73, 365, 348, 2, 3
1758357130185, 2, 6, 507, 76, 356, 348, 3, 3
1758357130185, 7, 5, 505, 75, 355, 349, 10, 3
1758357130185, 6, 3, 511, 76, 359, 348, 2, 2
1758357130185, 3, 18, 504, 72, 358, 350, 2, 3
1758357130185, 3, 11, 507, 75, 359, 345, 3, 9
1758357130185, 3, 5, 506, 76, 355, 350, 2, 1
1758357130185, 4, 4, 507, 74, 354, 348, 3, 3
1758357130185, 4, 17, 504, 74, 355, 353, 2, 3
1758357130185, 2, 7, 504, 75, 359, 348, 3, 2
1758357130185, 4, 5, 515, 76, 359, 347, 1, 5
1758357130185, 7, 8, 503, 77, 357, 347, 1, 4
1758357130185, 7, 7, 507, 76, 355, 348, 2, 2
1758357130185, 4, 7, 507, 75, 355, 355, 1, 3
1758357130185, 1, 8, 509, 78, 359, 351, 2, 4
1758357130185, 6, 24, 509, 75, 355, 347, 2, 3
1758357130185, 3, 12, 507, 78, 358, 348, 1, 2
1758357130185, 4, 24, 502, 78, 356, 349, 2, 3
1758357130185, 2, 24, 504, 77, 355, 345, 2, 3
1758357130185, 4, 11, 504, 80, 358, 349, 1, 4
1758357130185, 3, 22, 504, 85, 356, 349, 1, 1
1758357130185, 2, 7, 506, 76, 356, 349, 2, 3
1758357130185, 2, 4, 504, 78, 359, 345, 3, 3
1758357130185, 3, 3, 499, 78, 359, 348, 1, 3
1758357130185, 3, 3, 509, 78, 355, 348, 1, 3
1758357130185, 4, 5, 501, 77, 355, 345, 2, 4
1758357130185, 1, 5, 507, 79, 355, 347, 2, 3
1758357130185, 4, 4, 504, 78, 358, 346, 2, 1
1758357130185, 3, 20, 507, 81, 358, 345, 1, 4
1758357130185, 4, 7, 504, 76, 359, 345, 2, 3
1758357130185, 1, 21, 507, 82, 359, 346, 1, 3
1758357130185, 1, 8, 507, 76, 358, 348, 3, 4
1758357130185, 4, 7, 507, 76, 359, 345, 2, 4
1758357130185, 5, 8, 504, 77, 355, 346, 2, 4
1758357130185, 3, 9, 504, 75, 355, 350, 3, 3
1758357130185, 2, 24, 507, 75, 359, 352, 3, 3
1758357130185, 4, 12, 517, 76, 355, 350, 1, 3
1758357130185, 5, 9, 507, 76, 355, 348, 2, 3
1758357130185, 5, 9, 503, 80, 363, 347, 1, 3
1758357130185, 4, 8, 502, 81, 359, 345, 2, 3
1758357130185, 5, 6, 504, 77, 360, 351, 1, 3
1758357130185, 6, 6, 504, 75, 359, 347, 2, 3
1758357130185, 4, 19, 506, 85, 359, 345, 2, 3
1758357130185, 3, 6, 499, 76, 356, 349, 1, 3
1758357130185, 8, 4, 507, 76, 367, 350, 2, 2
1758357130185, 4, 5, 504, 75, 359, 351, 1, 2
1758357130185, 2, 4, 499, 76, 358, 346, 1, 2
1758357130185, 5, 20, 507, 76, 355, 350, 2, 3
1758357130185, 5, 8, 507, 73, 359, 355, 3, 9
1758357130185, 4, 5, 502, 73, 359, 347, 1, 4
1758357130185, 4, 15, 504, 76, 359, 350, 1, 2
1758357130185, 7, 7, 503, 76, 356, 357, 1, 2
1758357130185, 3, 6, 504, 77, 358, 347, 8, 3
