unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758357142043, E, -2, 3, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758357142155, 6, 4, 393, 112, 428, 330, 2, 3
1758357142155, 4, 6, 401, 111, 431, 334, 2, 2
1758357142155, 4, 17, 396, 112, 426, 331, 1, 3
1758357142155, 3, 23, 397, 114, 428, 331, 2, 4
1758357142155, 12, 21, 396, 113, 426, 335, 2, 5
1758357142155, 6, 25, 396, 115, 428, 331, 1, 3
1758357142155, 7, 11, 393, 116, 431, 331, 3, 2
1758357142155, 0, 15, 399, 116, 427, 331, 2, 2
1758357142155, 5, 24, 392, 113, 427, 337, 2, 3
1758357142155, 1, 10, 391, 112, 431, 332, 2, 3
1758357142155, 2, 8, 395, 116, 430, 332, 3, 4
1758357142155, 3, 7, 396, 118, 427, 334, 4, 4
1758357142155, 4, 5, 397, 115, 433, 332, 2, 3
1758357142155, 4, 5, 397, 112, 428, 331, 2, 2
1758357142155, 4, 3, 394, 112, 430, 332, 2, 3
1758357142155, 3, 3, 394, 118, 430, 334, 3, 3
1758357142155, 1, 5, 392, 123, 427, 332, 2, 3
1758357142155, 13, 4, 395, 114, 427, 337, 2, 4
1758357142155, 0, 4, 395, 113, 426, 335, 1, 5
1758357142155, 3, 20, 395, 114, 428, 335, 1, 5
1758357142155, 5, 23, 391, 113, 426, 335, 1, 3
1758357142155, 4, 8, 406, 114, 434, 332, 2, 2
1758357142155, 4, 6, 397, 115, 431, 332, 4, 3
1758357142155, 3, 6, 393, 116, 430, 343, 1, 6
1758357142155, 10, 7, 393, 114, 426, 335, 2, 2
1758357142155, 8, 7, 403, 114, 427, 332, 2, 3
1758357142155, 5, 25, 395, 115, 433, 332, 2, 7
1758357142155, 4, 12, 392, 113, 431, 333, 2, 5
1758357142155, 3, 9, 391, 112, 427, 335, 2, 2
1758357142155, 4, 20, 396, 110, 428, 330, 2, 1
1758357142155, 4, 24, 392, 114, 435, 333, 3, 3
1758357142155, 5, 10, 394, 112, 431, 330, 2, 4
1758357142155, 5, 6, 391, 109, 439, 331, 1, 3
1758357142155, 6, 5, 391, 112, 427, 335, 2, 3
1758357142155, 2, 4, 392, 113, 427, 332, 2, 3
1758357142155, 4, 9, 394, 114, 430, 331, 1, 2
1758357142155, 4, 6, 392, 115, 431, 332, 1, 3
1758357142155, 2, 4, 394, 113, 428, 331, 1, 3
1758357142155, 11, 4, 392, 111, 431, 333, 2, 4
1758357142155, 3, 18, 392, 114, 427, 331, 12, 4
1758357142155, 3, 6, 399, 114, 430, 332, 2, 7
1758357142155, 7, 5, 394, 116, 428, 335, 2, 2
1758357142155, 3, 5, 391, 115, 425, 333, 2, 3
1758357142155, 3, 5, 395, 114, 427, 335, 2, 3
1758357142155, 2, 7, 394, 114, 428, 331, 2, 3
1758357142155, 4, 7, 393, 113, 427, 331, 2, 12
1758357142155, 13, 9, 396, 121, 428, 331, 3, 3
1758357142155, 5, 25, 394, 126, 430, 331, 1, 3
1758357142155, 6, 26, 394, 113, 428, 334, 2, 4
1758357142155, 4, 11, 393, 117, 430, 331, 1, 4
1758357142155, 3, 8, 391, 113, 428, 331, 1, 2
