unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758357478486, E, -1, 5, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758357478649, 2, 4, 344, 129, 447, 362, 4, 3
1758357478649, 3, 3, 347, 126, 455, 357, 2, 3
1758357478649, 2, 4, 347, 126, 445, 356, 2, 3
1758357478649, 4, 6, 347, 126, 445, 356, 2, 6
1758357478649, 4, 5, 346, 127, 450, 353, 2, 3
1758357478649, 1, 9, 346, 125, 448, 356, 3, 3
1758357478649, 4, 22, 347, 125, 445, 353, 7, 3
1758357478649, 3, 24, 345, 126, 445, 353, 2, 3
1758357478649, 2, 16, 344, 128, 445, 351, 3, 4
1758357478649, 3, 7, 344, 128, 450, 356, 2, 3
1758357478649, 4, 7, 343, 127, 446, 353, 2, 3
1758357478649, 4, 8, 344, 126, 451, 357, 2, 3
1758357478649, 4, 8, 344, 126, 450, 356, 2, 3
1758357478649, 3, 7, 352, 127, 445, 351, 2, 3
1758357478649, 4, 23, 346, 125, 457, 356, 3, 3
1758357478649, 4, 24, 343, 126, 446, 356, 11, 3
1758357478649, 3, 8, 352, 127, 446, 356, 2, 3
1758357478649, 3, 5, 344, 126, 450, 353, 2, 3
1758357478649, 4, 4, 347, 126, 445, 356, 2, 3
1758357478649, 2, 4, 355, 128, 445, 356, 2, 3
1758357478649, 2, 4, 344, 126, 450, 351, 2, 3
1758357478649, 4, 16, 344, 126, 448, 361, 2, 3
1758357478649, 4, 6, 347, 126, 443, 353, 1, 3
1758357478649, 4, 6, 347, 126, 447, 353, 1, 3
1758357478649, 5, 6, 344, 128, 447, 357, 1, 3
1758357478649, 2, 12, 348, 126, 446, 351, 2, 3
1758357478649, 11, 7, 347, 130, 445, 357, 6, 2
1758357478649, 4, 19, 352, 127, 443, 353, 2, 7
1758357478649, 3, 7, 344, 133, 447, 357, 2, 3
1758357478649, 4, 7, 342, 126, 444, 356, 2, 3
1758357478649, 5, 7, 347, 126, 445, 357, 2, 2
1758357478649, 0, 7, 347, 127, 444, 353, 11, 3
1758357478649, 4, 7, 344, 125, 448, 353, 2, 3
1758357478649, 6, 8, 348, 127, 448, 356, 2, 3
1758357478649, 0, 7, 346, 126, 444, 357, 2, 3
1758357478649, 5, 20, 344, 125, 450, 352, 2, 8
1758357478649, 4, 22, 344, 126, 448, 353, 2, 3
1758357478649, 6, 6, 346, 126, 450, 353, 2, 3
1758357478649, 7, 5, 344, 125, 457, 357, 2, 3
1758357478649, 4, 2, 347, 126, 444, 353, 2, 2
1758357478649, 3, 3, 346, 126, 447, 357, 1, 3
1758357478649, 3, 4, 343, 127, 450, 357, 1, 3
1758357478649, 4, 6, 347, 128, 458, 362, 2, 3
1758357478649, 3, 18, 347, 128, 445, 359, 1, 3
1758357478649, 4, 8, 348, 127, 450, 356, 2, 3
1758357478649, 3, 6, 344, 126, 446, 353, 1, 3
1758357478649, 0, 5, 346, 127, 446, 353, 3, 3
1758357478649, 3, 6, 343, 128, 447, 356, 2, 3
1758357478649, 11, 10, 346, 131, 451, 357, 1, 3
1758357478649, 5, 7, 349, 128, 449, 356, 3, 3
1758357478649, 2, 20, 344, 128, 443, 356, 1, 3
1758357478649, 3, 24, 347, 128, 448, 356, 2, 9
1758357478649, 4, 10, 352, 127, 447, 357, 1, 3
1758357478649, 3, 7, 346, 126, 447, 353, 1, 3
1758357478649, 8, 6, 347, 125, 446, 356, 1, 3
1758357478649, 5, 23, 343, 137, 445, 359, 1, 7
1758357478649, 4, 8, 343, 127, 449, 353, 1, 3
1758357478649, 3, 4, 343, 127, 451, 357, 2, 3
1758357478649, 3, 4, 343, 127, 447, 356, 2, 3
1758357478649, 4, 14, 347, 126, 445, 358, 1, 3
1758357478649, 9, 18, 347, 126, 446, 357, 2, 3
1758357478649, 3, 5, 344, 128, 455, 356, 2, 3
1758357478649, 6, 6, 344, 125, 447, 356, 2, 3
1758357478649, 5, 19, 344, 125, 445, 361, 2, 3
1758357478649, 5, 9, 344, 125, 445, 363, 2, 3
1758357478649, 3, 20, 344, 133, 445, 357, 2, 3
1758357478649, 5, 10, 343, 127, 449, 357, 1, 3
1758357478649, 3, 7, 347, 127, 446, 358, 2, 3
1758357478649, 5, 6, 347, 126, 447, 362, 2, 6
1758357478649, 4, 6, 346, 126, 445, 365, 2, 3
1758357478649, 5, 8, 354, 126, 449, 356, 2, 3
1758357478649, 4, 8, 347, 125, 445, 356, 2, 3
1758357478649, 3, 8, 345, 131, 447, 354, 2, 8
1758357478649, 3, 6, 349, 126, 445, 357, 1, 9
1758357478649, 2, 21, 348, 127, 453, 356, 2, 3
1758357478649, 3, 8, 349, 127, 445, 357, 2, 10
1758357478649, 3, 4, 346, 126, 449, 353, 1, 2
1758357478649, 6, 5, 343, 126, 443, 353, 1, 3
1758357478649, 3, 4, 344, 126, 445, 359, 2, 3
1758357478649, 3, 4, 344, 127, 447, 353, 2, 3
1758357478649, 6, 4, 344, 127, 445, 356, 2, 3
