unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758357490486, E, -2, 5, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758357490615, 5, 10, 317, 126, 431, 306, 2, 4
1758357490615, 4, 10, 318, 124, 434, 302, 2, 3
1758357490615, 3, 12, 315, 124, 435, 304, 5, 3
1758357490615, 4, 10, 325, 124, 432, 307, 3, 4
1758357490615, 4, 9, 316, 135, 434, 307, 2, 5
1758357490615, 3, 7, 316, 123, 437, 306, 0, 2
1758357490615, 1, 6, 315, 124, 432, 315, 1, 1
1758357490615, 2, 4, 315, 134, 432, 304, 2, 2
1758357490615, 1, 3, 318, 124, 434, 304, 2, 4
1758357490615, 3, 2, 315, 129, 430, 303, 1, 3
1758357490615, 3, 3, 316, 125, 434, 304, 2, 1
1758357490615, 4, 3, 321, 127, 436, 309, 2, 4
1758357490615, 5, 3, 317, 123, 432, 304, 2, 2
1758357490615, 3, 5, 315, 124, 429, 304, 2, 4
1758357490615, 3, 3, 319, 124, 429, 305, 2, 5
1758357490615, 4, 20, 318, 124, 429, 307, 3, 4
1758357490615, 4, 8, 316, 129, 429, 304, 2, 3
1758357490615, 3, 6, 314, 124, 433, 302, 2, 3
1758357490615, 2, 7, 315, 129, 429, 306, 3, 3
1758357490615, 3, 23, 318, 123, 435, 301, 3, 4
1758357490615, 4, 12, 315, 126, 432, 305, 2, 3
1758357490615, 5, 11, 317, 125, 432, 305, 1, 3
1758357490615, 4, 10, 315, 125, 435, 304, 2, 2
1758357490615, 5, 9, 318, 124, 434, 305, 4, 1
1758357490615, 3, 9, 313, 125, 434, 306, 4, 3
1758357490615, 4, 8, 317, 136, 432, 302, 1, 4
1758357490615, 4, 21, 314, 129, 432, 304, 2, 4
1758357490615, 3, 18, 314, 127, 432, 304, 3, 3
1758357490615, 1, 6, 320, 124, 435, 309, 2, 2
1758357490615, 8, 3, 316, 125, 432, 306, 2, 2
1758357490615, 0, 4, 314, 127, 432, 304, 3, 3
1758357490615, 2, 4, 318, 125, 435, 314, 2, 6
1758357490615, 11, 4, 314, 126, 434, 301, 5, 3
1758357490615, 3, 4, 318, 126, 431, 304, 1, 3
1758357490615, 4, 4, 315, 127, 436, 303, 1, 12
1758357490615, 6, 4, 316, 126, 435, 305, 2, 3
1758357490615, 2, 14, 318, 125, 434, 304, 2, 3
1758357490615, 9, 7, 318, 127, 430, 304, 1, 3
1758357490615, 7, 8, 320, 135, 443, 304, 2, 3
