unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758268881166, I, -1, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758268881294, 1, 6, 924, 70, 372, 235, 1, 3
1758268881294, 4, 6, 933, 80, 375, 236, 2, 3
1758268881294, 3, 7, 923, 70, 371, 236, 3, 2
1758268881294, 4, 15, 928, 70, 373, 241, 2, 3
1758268881294, 7, 9, 934, 77, 379, 235, 11, 3
1758268881294, 13, 7, 923, 69, 373, 238, 2, 3
1758268881294, 0, 6, 927, 69, 371, 235, 2, 2
1758268881294, 11, 5, 935, 69, 372, 247, 2, 12
1758268881294, 3, 5, 933, 72, 374, 235, 1, 3
1758268881294, 3, 4, 931, 68, 373, 234, 6, 3
1758268881294, 4, 14, 928, 68, 371, 234, 1, 3
1758268881294, 4, 6, 935, 69, 375, 238, 2, 3
1758268881294, 9, 5, 935, 68, 384, 235, 2, 3
1758268881294, 12, 6, 931, 70, 375, 237, 1, 3
1758268881294, 3, 20, 928, 69, 374, 237, 2, 11
1758268881294, 3, 7, 931, 67, 375, 237, 2, 3
1758268881294, 9, 6, 933, 69, 381, 236, 2, 11
1758268881294, 6, 6, 928, 69, 375, 235, 1, 6
1758268881294, 11, 5, 925, 68, 375, 235, 3, 4
1758268881294, 3, 5, 932, 69, 372, 235, 1, 3
1758268881294, 4, 6, 928, 67, 377, 236, 2, 2
1758268881294, 4, 6, 933, 70, 376, 235, 2, 3
1758268881294, 2, 7, 927, 69, 375, 235, 1, 3
1758268881294, 3, 19, 923, 68, 375, 235, 2, 2
1758268881294, 8, 9, 933, 69, 381, 234, 7, 4
1758268881294, 5, 8, 935, 73, 373, 238, 2, 4
1758268881294, 2, 6, 925, 67, 373, 236, 2, 3
1758268881294, 1, 7, 924, 66, 372, 237, 2, 3
1758268881294, 3, 17, 928, 70, 371, 233, 10, 7
1758268881294, 4, 6, 923, 75, 371, 234, 2, 3
1758268881294, 4, 12, 923, 68, 373, 233, 2, 3
