unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758268905178, I, 0, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758268905258, 1, 5, 966, 33, 281, 233, 2, 4
1758268905258, 11, 6, 961, 37, 280, 237, 3, 3
1758268905258, 15, 6, 960, 36, 280, 235, 2, 3
1758268905258, 9, 20, 960, 43, 284, 233, 2, 3
1758268905258, 3, 8, 964, 34, 281, 235, 2, 3
1758268905258, 5, 8, 967, 34, 282, 235, 2, 3
1758268905258, 6, 8, 967, 38, 283, 231, 2, 2
1758268905258, 2, 7, 960, 36, 281, 233, 2, 3
1758268905258, 3, 7, 961, 37, 280, 235, 2, 4
1758268905258, 4, 7, 960, 34, 281, 234, 2, 3
1758268905258, 5, 6, 960, 35, 283, 240, 2, 3
1758268905258, 4, 5, 967, 34, 279, 232, 5, 3
1758268905258, 5, 5, 959, 35, 280, 231, 9, 3
1758268905258, 4, 5, 967, 33, 283, 233, 3, 2
1758268905258, 2, 5, 960, 35, 280, 235, 2, 2
1758268905258, 7, 4, 967, 35, 285, 233, 2, 3
1758268905258, 5, 5, 966, 45, 279, 234, 2, 2
1758268905258, 1, 5, 971, 34, 282, 232, 2, 3
1758268905258, 3, 5, 967, 35, 279, 235, 1, 4
1758268905258, 1, 6, 960, 38, 280, 233, 2, 2
1758268905258, 4, 5, 967, 41, 280, 233, 2, 2
1758268905258, 8, 6, 966, 35, 279, 232, 2, 4
1758268905258, 4, 8, 960, 35, 281, 231, 2, 4
1758268905258, 12, 6, 967, 36, 280, 236, 3, 3
1758268905258, 3, 6, 960, 34, 280, 232, 1, 4
1758268905258, 16, 22, 967, 33, 284, 236, 5, 3
1758268905258, 13, 10, 967, 34, 287, 236, 2, 5
1758268905258, 3, 7, 967, 34, 280, 235, 2, 3
1758268905258, 19, 7, 961, 35, 279, 236, 2, 3
1758268905258, 3, 7, 960, 34, 280, 239, 2, 3
1758268905258, 6, 6, 960, 34, 280, 236, 2, 4
1758268905258, 3, 5, 967, 44, 280, 233, 2, 3
1758268905258, 5, 4, 961, 34, 283, 233, 2, 3
1758268905258, 3, 5, 960, 34, 279, 233, 2, 3
1758268905258, 4, 6, 961, 34, 283, 231, 3, 3
1758268905258, 1, 3, 966, 34, 283, 233, 5, 3
1758268905258, 3, 5, 966, 35, 285, 233, 1, 3
1758268905258, 4, 20, 964, 35, 282, 235, 0, 3
1758268905258, 5, 8, 960, 35, 280, 233, 2, 4
1758268905258, 4, 5, 959, 36, 286, 234, 3, 3
1758268905258, 0, 7, 967, 35, 289, 237, 0, 3
1758268905258, 3, 6, 964, 35, 283, 234, 4, 3
1758268905258, 6, 12, 967, 35, 280, 234, 2, 3
1758268905258, 6, 6, 967, 35, 281, 236, 1, 4
1758268905258, 1, 7, 967, 36, 282, 233, 2, 9
1758268905258, 4, 22, 966, 35, 281, 237, 2, 3
1758268905258, 2, 9, 960, 36, 291, 236, 2, 2
1758268905258, 7, 23, 966, 35, 283, 236, 2, 4
1758268905258, 2, 21, 963, 34, 279, 237, 2, 3
1758268905258, 6, 8, 960, 34, 280, 235, 2, 5
1758268905258, 3, 6, 967, 37, 280, 236, 2, 3
1758268905258, 2, 5, 960, 34, 280, 238, 1, 3
1758268905258, 2, 4, 964, 35, 282, 235, 1, 3
1758268905258, 4, 5, 967, 36, 278, 238, 2, 3
1758268905258, 3, 5, 960, 36, 282, 236, 2, 2
