unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758268941199, I, 3, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758268941299, 5, 6, 800, 53, 312, 233, 1, 3
1758268941299, 4, 6, 807, 56, 313, 231, 1, 2
1758268941299, 3, 4, 807, 53, 312, 233, 7, 4
1758268941299, 6, 5, 807, 54, 313, 230, 3, 3
1758268941299, 2, 3, 811, 53, 313, 230, 1, 3
1758268941299, 4, 4, 807, 52, 318, 232, 2, 2
1758268941299, 3, 4, 800, 53, 312, 233, 7, 3
1758268941300, 4, 5, 807, 52, 310, 233, 3, 3
1758268941300, 1, 5, 800, 53, 312, 233, 2, 4
1758268941300, 3, 5, 807, 52, 310, 233, 2, 4
1758268941300, 3, 5, 800, 53, 313, 232, 8, 4
1758268941300, 5, 9, 804, 51, 313, 233, 2, 10
1758268941300, 5, 5, 806, 58, 312, 232, 1, 3
1758268941300, 2, 21, 800, 55, 312, 234, 2, 3
1758268941300, 3, 9, 801, 52, 312, 232, 2, 3
1758268941300, 4, 22, 807, 60, 310, 232, 2, 3
1758268941300, 13, 10, 800, 52, 312, 231, 2, 3
1758268941300, 1, 8, 806, 55, 312, 235, 2, 5
1758268941300, 4, 7, 807, 56, 312, 235, 2, 3
1758268941300, 9, 7, 800, 54, 311, 234, 1, 3
1758268941300, 2, 5, 807, 53, 315, 235, 2, 4
1758268941300, 4, 5, 800, 52, 312, 234, 1, 2
1758268941300, 7, 5, 807, 52, 311, 234, 4, 3
1758268941300, 3, 5, 804, 54, 313, 233, 2, 3
1758268941300, 3, 4, 803, 53, 311, 232, 1, 3
1758268941300, 6, 4, 797, 52, 314, 232, 9, 3
1758268941300, 6, 4, 807, 53, 314, 230, 1, 3
1758268941300, 1, 5, 804, 57, 314, 243, 1, 3
1758268941300, 7, 6, 795, 54, 314, 235, 10, 3
1758268941300, 3, 5, 807, 53, 312, 235, 2, 3
1758268941300, 2, 5, 800, 53, 312, 235, 1, 2
1758268941300, 4, 5, 799, 52, 311, 232, 2, 4
1758268941300, 6, 6, 800, 51, 312, 232, 3, 4
1758268941300, 3, 6, 795, 52, 314, 231, 2, 3
1758268941300, 1, 6, 799, 53, 312, 231, 2, 4
1758268941300, 1, 7, 797, 53, 312, 235, 1, 3
1758268941300, 7, 15, 803, 53, 315, 232, 2, 4
1758268941300, 2, 8, 791, 54, 312, 231, 2, 2
1758268941300, 3, 7, 791, 54, 309, 234, 1, 3
1758268941300, 3, 6, 792, 53, 311, 232, 3, 5
1758268941300, 6, 5, 800, 52, 313, 229, 2, 3
1758268941300, 3, 4, 799, 53, 317, 232, 8, 4
1758268941300, 5, 5, 791, 55, 315, 232, 9, 3
1758268941300, 5, 21, 796, 52, 319, 233, 2, 5
1758268941300, 5, 21, 790, 52, 317, 232, 2, 3
1758268941300, 5, 8, 791, 52, 314, 230, 10, 3
1758268941300, 2, 5, 799, 53, 313, 230, 2, 3
1758268941300, 10, 5, 796, 53, 314, 233, 1, 3
1758268941300, 3, 16, 791, 52, 313, 230, 1, 3
1758268941300, 2, 7, 789, 60, 312, 233, 1, 3
1758268941300, 6, 5, 796, 54, 312, 233, 2, 9
