unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758268953206, I, 4, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758268953282, 0, 6, 957, 37, 279, 203, 2, 3
1758268953282, 3, 5, 959, 39, 273, 203, 2, 3
1758268953282, 4, 10, 954, 37, 277, 204, 2, 6
1758268953282, 5, 6, 956, 38, 280, 205, 1, 5
1758268953282, 6, 17, 955, 37, 276, 205, 2, 12
1758268953282, 6, 8, 955, 39, 276, 205, 2, 2
1758268953282, 2, 7, 959, 36, 275, 202, 1, 3
1758268953282, 3, 7, 956, 36, 279, 201, 2, 4
1758268953282, 2, 7, 953, 36, 276, 211, 2, 4
1758268953282, 12, 7, 960, 36, 276, 199, 1, 3
1758268953282, 7, 6, 958, 36, 279, 201, 1, 3
1758268953282, 4, 5, 955, 35, 278, 199, 11, 3
1758268953282, 3, 4, 956, 40, 276, 202, 4, 2
1758268953282, 4, 18, 959, 38, 275, 199, 1, 4
1758268953282, 1, 7, 960, 39, 275, 199, 2, 3
1758268953282, 2, 3, 966, 36, 279, 196, 9, 4
1758268953282, 3, 5, 967, 38, 283, 198, 1, 4
1758268953282, 5, 5, 956, 37, 276, 202, 2, 12
1758268953282, 4, 20, 960, 37, 283, 202, 1, 3
1758268953282, 6, 8, 968, 40, 276, 199, 2, 4
1758268953282, 5, 4, 967, 37, 278, 202, 1, 3
1758268953282, 3, 4, 960, 38, 282, 198, 11, 3
1758268953282, 8, 6, 967, 36, 276, 199, 1, 3
1758268953282, 5, 6, 965, 46, 277, 203, 1, 3
1758268953282, 1, 6, 972, 38, 280, 202, 1, 4
1758268953282, 2, 7, 967, 38, 279, 203, 2, 4
1758268953282, 7, 7, 964, 36, 277, 202, 3, 3
1758268953282, 5, 8, 960, 37, 275, 201, 2, 3
1758268953282, 3, 7, 955, 36, 278, 204, 3, 3
1758268953282, 4, 6, 965, 36, 277, 204, 2, 3
1758268953282, 11, 21, 960, 39, 275, 205, 2, 3
1758268953282, 2, 8, 960, 36, 275, 208, 2, 3
1758268953282, 5, 20, 965, 36, 279, 204, 3, 3
1758268953282, 10, 6, 967, 38, 276, 205, 3, 3
1758268953282, 4, 5, 967, 45, 276, 204, 1, 3
1758268953282, 2, 4, 964, 37, 284, 202, 2, 3
1758268953282, 2, 4, 960, 36, 278, 202, 2, 4
1758268953282, 4, 6, 967, 35, 278, 200, 2, 3
1758268953282, 3, 19, 964, 36, 276, 198, 8, 3
1758268953282, 6, 7, 966, 36, 275, 200, 1, 3
1758268953282, 4, 6, 960, 36, 274, 200, 2, 3
1758268953282, 4, 6, 967, 43, 275, 203, 2, 4
