unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758269175827, I, 1, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758269175895, 2, 9, 967, 67, 314, 275, 1, 3
1758269175895, 0, 4, 975, 68, 312, 279, 1, 4
1758269175895, 9, 6, 975, 67, 318, 275, 1, 3
1758269175895, 2, 21, 975, 64, 315, 275, 2, 4
1758269175895, 5, 7, 971, 66, 312, 275, 2, 3
1758269175895, 3, 20, 975, 68, 320, 286, 2, 3
1758269175895, 7, 7, 975, 67, 314, 275, 2, 4
1758269175895, 6, 5, 967, 65, 312, 278, 2, 3
1758269175895, 4, 20, 972, 63, 315, 279, 1, 4
1758269175895, 5, 7, 986, 64, 311, 279, 2, 3
1758269175895, 4, 7, 967, 66, 312, 275, 2, 3
1758269175895, 4, 8, 981, 65, 312, 275, 1, 4
1758269175895, 4, 8, 967, 65, 320, 275, 2, 3
1758269175895, 4, 7, 972, 65, 315, 278, 1, 4
1758269175895, 2, 22, 975, 62, 319, 275, 1, 3
1758269175895, 2, 9, 975, 64, 315, 279, 1, 8
1758269175895, 1, 7, 967, 64, 314, 278, 10, 3
1758269175895, 3, 20, 974, 66, 315, 275, 1, 7
1758269175895, 2, 6, 967, 65, 312, 278, 2, 2
1758269175895, 3, 4, 975, 63, 316, 277, 2, 3
1758269175895, 4, 4, 975, 64, 310, 276, 11, 3
1758269175895, 3, 19, 972, 64, 311, 276, 1, 4
1758269175895, 2, 7, 983, 64, 309, 277, 1, 3
1758269175895, 4, 5, 978, 61, 313, 279, 2, 4
1758269175895, 0, 20, 969, 76, 312, 277, 2, 3
1758269175895, 0, 8, 975, 64, 309, 280, 3, 11
1758269175895, 2, 7, 976, 73, 313, 279, 2, 9
1758269175895, 6, 5, 983, 64, 311, 277, 2, 3
1758269175895, 4, 5, 979, 64, 310, 277, 2, 3
1758269175895, 4, 6, 969, 64, 313, 279, 1, 3
1758269175895, 4, 5, 979, 64, 309, 279, 6, 3
1758269175895, 3, 7, 979, 65, 310, 279, 1, 3
1758269175895, 2, 8, 984, 67, 311, 279, 2, 11
1758269175895, 5, 20, 975, 65, 311, 279, 5, 3
1758269175895, 3, 8, 979, 66, 318, 278, 4, 3
1758269175895, 2, 7, 971, 63, 313, 278, 6, 3
1758269175895, 2, 5, 967, 63, 319, 277, 2, 3
1758269175895, 3, 20, 967, 64, 311, 279, 3, 2
1758269175895, 5, 7, 971, 65, 311, 278, 2, 4
1758269175895, 4, 5, 983, 66, 312, 278, 4, 3
1758269175895, 2, 4, 978, 64, 312, 275, 2, 3
1758269175895, 5, 4, 979, 65, 319, 279, 2, 3
1758269175895, 5, 21, 979, 65, 313, 276, 4, 3
1758269175895, 1, 8, 983, 62, 314, 279, 1, 3
1758269175895, 8, 5, 971, 66, 313, 281, 0, 3
1758269175895, 7, 19, 981, 65, 312, 277, 2, 5
1758269175895, 7, 7, 983, 66, 315, 279, 5, 3
1758269175895, 6, 5, 983, 63, 316, 278, 2, 3
1758269175895, 0, 5, 981, 64, 314, 276, 2, 2
1758269175895, 6, 5, 979, 65, 314, 275, 2, 3
1758269175895, 3, 11, 979, 65, 312, 281, 3, 2
1758269175895, 5, 16, 971, 65, 313, 276, 2, 3
1758269175895, 0, 9, 971, 63, 308, 276, 2, 4
1758269175895, 2, 22, 972, 66, 311, 278, 1, 3
1758269175895, 5, 10, 975, 64, 313, 275, 2, 3
1758269175895, 2, 6, 979, 65, 312, 276, 1, 3
1758269175895, 4, 6, 982, 65, 311, 277, 3, 3
1758269175895, 8, 5, 978, 62, 311, 275, 2, 4
1758269175895, 1, 5, 967, 67, 313, 276, 2, 3
1758269175895, 0, 5, 972, 64, 315, 276, 2, 3
1758269175895, 3, 19, 967, 69, 315, 276, 2, 3
1758269175895, 4, 6, 965, 67, 315, 276, 2, 3
1758269175895, 4, 6, 974, 68, 315, 276, 2, 3
1758269175895, 3, 5, 975, 65, 312, 278, 1, 3
1758269175895, 7, 12, 967, 65, 309, 277, 2, 2
1758269175895, 8, 6, 975, 65, 315, 275, 5, 3
1758269175895, 0, 6, 975, 65, 315, 283, 2, 2
1758269175897, 9, 6, 968, 69, 310, 275, 2, 9
1758269175897, 3, 6, 974, 67, 314, 282, 1, 3
1758269175899, 4, 4, 974, 65, 312, 276, 2, 2
1758269175900, 2, 6, 967, 66, 313, 277, 2, 5
1758269175912, 1, 8, 968, 64, 314, 277, 2, 3
1758269175912, 3, 11, 977, 66, 311, 275, 2, 3
1758269175912, 11, 7, 975, 64, 313, 275, 9, 4
1758269175912, 7, 7, 968, 67, 314, 279, 3, 2
1758269175912, 5, 7, 975, 63, 314, 274, 2, 3
1758269175912, 3, 6, 965, 63, 315, 279, 6, 2
1758269175912, 2, 20, 978, 62, 312, 277, 1, 3
1758269175912, 2, 7, 968, 61, 314, 279, 2, 7
1758269175912, 1, 4, 974, 65, 311, 279, 2, 2
1758269175912, 4, 5, 965, 62, 315, 278, 2, 3
1758269175912, 6, 4, 967, 65, 312, 278, 1, 3
1758269175912, 5, 5, 972, 67, 312, 278, 9, 3
1758269175912, 4, 6, 975, 64, 315, 274, 7, 3
1758269175927, 3, 5, 972, 65, 314, 279, 1, 2
1758269175927, 5, 5, 974, 66, 313, 274, 3, 2
1758269175927, 2, 6, 967, 64, 312, 277, 3, 3
1758269175927, 0, 4, 972, 62, 312, 275, 2, 3
1758269175927, 6, 4, 972, 66, 310, 278, 2, 10
1758269175927, 3, 20, 974, 63, 311, 276, 3, 3
1758269175927, 2, 8, 968, 66, 311, 286, 2, 3
1758269175927, 3, 7, 963, 66, 313, 276, 2, 3
1758269175927, 6, 10, 974, 70, 315, 275, 3, 4
1758269175927, 4, 23, 974, 65, 311, 275, 3, 3
1758269175927, 5, 10, 975, 65, 312, 278, 2, 4
1758269175927, 0, 9, 974, 65, 311, 277, 0, 4
1758269175927, 5, 18, 972, 64, 312, 272, 4, 3
1758269175927, 3, 7, 968, 63, 318, 285, 1, 3
1758269175942, 3, 18, 968, 65, 311, 278, 1, 3
1758269175942, 3, 7, 974, 67, 313, 279, 1, 4
