unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758269247858, I, -2, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758269248094, 10, 5, 1239, 59, 265, 284, 1, 5
1758269248094, 4, 7, 1231, 50, 265, 280, 2, 4
1758269248094, 4, 8, 1243, 49, 266, 281, 3, 3
1758269248094, 4, 23, 1240, 50, 268, 281, 2, 3
1758269248094, 4, 9, 1248, 44, 264, 283, 1, 2
1758269248094, 2, 7, 1247, 48, 268, 285, 3, 3
1758269248094, 4, 6, 1239, 45, 267, 282, 3, 3
1758269248094, 4, 6, 1239, 49, 263, 293, 4, 3
1758269248094, 1, 6, 1232, 49, 266, 282, 2, 4
1758269248094, 1, 16, 1231, 47, 265, 284, 1, 3
1758269248094, 5, 7, 1223, 47, 265, 282, 2, 2
1758269248094, 2, 3, 1237, 46, 268, 281, 2, 7
1758269248094, 3, 10, 1235, 47, 267, 284, 2, 4
1758269248094, 4, 6, 1239, 47, 267, 281, 3, 3
1758269248094, 3, 6, 1223, 47, 271, 279, 2, 2
1758269248094, 3, 4, 1223, 56, 265, 284, 2, 2
1758269248094, 7, 6, 1239, 46, 268, 283, 1, 3
1758269248094, 3, 5, 1231, 50, 266, 291, 1, 12
1758269248094, 6, 5, 1236, 46, 265, 279, 1, 3
1758269248094, 3, 6, 1225, 44, 267, 288, 1, 12
1758269248094, 3, 5, 1224, 51, 264, 282, 1, 3
1758269248094, 1, 6, 1230, 54, 267, 280, 2, 4
1758269248094, 5, 22, 1234, 47, 268, 282, 2, 4
1758269248094, 4, 25, 1247, 50, 263, 280, 2, 3
1758269248094, 7, 23, 1231, 52, 268, 280, 2, 3
1758269248094, 7, 23, 1246, 44, 266, 282, 1, 3
1758269248094, 5, 8, 1228, 45, 267, 281, 2, 3
1758269248094, 4, 6, 1239, 47, 266, 279, 4, 3
1758269248094, 3, 5, 1232, 47, 266, 283, 1, 3
1758269248094, 5, 5, 1225, 47, 268, 281, 2, 2
1758269248094, 4, 5, 1223, 47, 267, 281, 2, 2
1758269248094, 5, 4, 1239, 47, 265, 280, 2, 3
1758269248094, 3, 19, 1227, 45, 265, 279, 2, 3
1758269248094, 2, 7, 1224, 46, 267, 279, 2, 3
1758269248094, 4, 4, 1230, 45, 267, 278, 11, 10
1758269248094, 3, 4, 1227, 48, 268, 280, 2, 3
1758269248094, 5, 20, 1231, 47, 266, 279, 2, 3
1758269248094, 1, 7, 1239, 47, 267, 281, 2, 4
1758269248094, 2, 19, 1227, 45, 266, 279, 1, 3
1758269248094, 0, 8, 1227, 47, 265, 281, 2, 4
1758269248094, 4, 6, 1252, 47, 265, 280, 2, 3
1758269248094, 4, 7, 1241, 48, 267, 282, 3, 3
1758269248094, 3, 7, 1246, 55, 265, 280, 2, 3
1758269248094, 3, 7, 1239, 46, 275, 284, 2, 3
1758269248094, 6, 7, 1227, 49, 263, 285, 2, 10
1758269248094, 7, 7, 1239, 47, 268, 283, 2, 3
1758269248094, 3, 6, 1254, 51, 265, 280, 1, 4
1758269248094, 6, 6, 1231, 46, 268, 282, 2, 7
1758269248094, 3, 5, 1232, 46, 267, 281, 2, 3
1758269248094, 3, 4, 1232, 48, 265, 283, 2, 3
1758269248094, 5, 4, 1242, 47, 266, 282, 1, 3
1758269248094, 4, 4, 1238, 54, 275, 281, 3, 3
1758269248094, 4, 5, 1239, 47, 268, 284, 2, 3
1758269248094, 12, 19, 1238, 48, 266, 283, 2, 10
1758269248094, 5, 7, 1228, 49, 268, 287, 2, 2
1758269248094, 4, 19, 1231, 46, 271, 284, 2, 3
1758269248094, 0, 7, 1240, 45, 268, 282, 3, 1
1758269248094, 4, 5, 1231, 44, 275, 282, 2, 2
1758269248094, 5, 5, 1235, 46, 275, 281, 11, 3
1758269248094, 6, 6, 1238, 47, 265, 282, 3, 3
1758269248094, 4, 18, 1232, 47, 265, 284, 3, 3
1758269248094, 2, 8, 1244, 47, 266, 280, 2, 4
1758269248094, 2, 23, 1238, 50, 268, 289, 2, 12
1758269248094, 5, 10, 1232, 50, 270, 282, 2, 4
1758269248094, 1, 7, 1240, 44, 264, 285, 2, 2
1758269248094, 5, 7, 1236, 47, 268, 285, 1, 3
1758269248094, 3, 6, 1239, 48, 266, 283, 1, 5
1758269248094, 6, 5, 1231, 47, 265, 285, 2, 2
1758269248094, 5, 4, 1243, 48, 276, 286, 4, 3
1758269248094, 4, 4, 1243, 48, 268, 284, 1, 3
1758269248094, 5, 6, 1239, 55, 265, 285, 1, 3
1758269248094, 6, 8, 1239, 47, 276, 281, 1, 2
1758269248094, 3, 5, 1243, 47, 267, 283, 2, 4
1758269248094, 3, 9, 1239, 47, 265, 284, 2, 3
1758269248094, 4, 5, 1238, 47, 269, 284, 2, 3
1758269248094, 6, 5, 1232, 48, 267, 285, 2, 4
1758269248094, 0, 5, 1239, 48, 269, 281, 2, 3
1758269248094, 3, 21, 1232, 50, 269, 286, 1, 3
1758269248094, 1, 8, 1248, 47, 267, 284, 2, 5
1758269248094, 4, 19, 1232, 53, 266, 285, 2, 3
1758269248094, 5, 8, 1233, 48, 267, 281, 2, 3
1758269248094, 3, 7, 1233, 45, 267, 283, 2, 4
1758269248094, 5, 8, 1240, 46, 264, 285, 3, 4
1758269248094, 2, 7, 1232, 46, 265, 285, 1, 3
1758269248094, 2, 7, 1236, 47, 264, 287, 1, 4
1758269248094, 1, 6, 1248, 48, 268, 283, 2, 3
1758269248094, 3, 21, 1239, 47, 270, 285, 2, 4
1758269248094, 12, 8, 1232, 45, 265, 287, 0, 2
1758269248094, 2, 5, 1243, 46, 267, 286, 6, 3
1758269248094, 6, 4, 1232, 48, 263, 287, 2, 3
1758269248094, 5, 5, 1231, 47, 265, 286, 1, 3
1758269248094, 6, 3, 1239, 46, 269, 283, 7, 3
1758269248094, 3, 5, 1231, 48, 268, 282, 2, 4
1758269248094, 6, 5, 1240, 45, 269, 284, 2, 3
1758269248094, 7, 10, 1242, 48, 270, 284, 2, 3
1758269248094, 7, 5, 1245, 48, 268, 288, 2, 3
1758269248094, 3, 5, 1244, 46, 265, 287, 2, 2
1758269248094, 6, 6, 1239, 46, 265, 284, 2, 3
1758269248094, 2, 20, 1231, 50, 268, 292, 2, 2
1758269248094, 2, 7, 1236, 45, 267, 284, 2, 3
1758269248094, 3, 5, 1236, 45, 268, 292, 2, 3
1758269248094, 4, 6, 1239, 47, 269, 287, 2, 3
1758269248094, 5, 8, 1246, 46, 271, 287, 2, 8
1758269248094, 3, 8, 1248, 46, 277, 285, 2, 3
1758269248094, 6, 6, 1239, 50, 265, 287, 2, 3
1758269248094, 3, 7, 1241, 46, 269, 287, 2, 3
1758269248094, 1, 6, 1239, 46, 272, 289, 2, 3
1758269248094, 3, 5, 1239, 48, 266, 286, 1, 3
1758269248094, 4, 4, 1232, 45, 269, 287, 4, 3
1758269248094, 4, 5, 1238, 47, 268, 291, 2, 4
1758269248094, 2, 6, 1223, 47, 265, 286, 2, 3
1758269248094, 2, 3, 1232, 49, 269, 288, 2, 3
1758269248094, 5, 5, 1234, 45, 266, 290, 1, 12
1758269248094, 9, 5, 1230, 50, 266, 287, 2, 4
1758269248094, 3, 5, 1225, 47, 268, 289, 10, 5
1758269248094, 6, 4, 1232, 48, 265, 287, 2, 2
1758269248094, 0, 6, 1223, 48, 269, 288, 1, 3
1758269248094, 2, 5, 1231, 48, 263, 288, 3, 3
1758269248094, 4, 5, 1228, 46, 265, 288, 3, 3
1758269248094, 1, 8, 1246, 48, 266, 285, 8, 4
1758269248094, 2, 6, 1228, 47, 264, 287, 2, 3
1758269248094, 3, 6, 1235, 45, 266, 286, 2, 3
1758269248094, 1, 8, 1228, 47, 266, 286, 2, 3
1758269248094, 3, 7, 1225, 47, 265, 286, 4, 3
1758269248094, 9, 7, 1224, 48, 268, 291, 1, 5
1758269248094, 7, 7, 1239, 48, 270, 291, 2, 2
1758269248094, 2, 6, 1221, 47, 266, 285, 3, 3
1758269248094, 3, 5, 1223, 47, 267, 290, 1, 4
1758269248094, 5, 4, 1228, 46, 269, 288, 3, 3
1758269248094, 1, 4, 1231, 47, 266, 288, 2, 3
1758269248094, 3, 5, 1239, 48, 268, 296, 2, 3
1758269248094, 3, 19, 1228, 47, 265, 289, 2, 3
1758269248094, 7, 6, 1230, 50, 268, 287, 2, 6
1758269248094, 2, 6, 1223, 47, 267, 287, 1, 4
1758269248094, 8, 4, 1231, 48, 266, 287, 1, 2
1758269248094, 8, 6, 1232, 46, 268, 287, 2, 3
1758269248094, 6, 6, 1228, 49, 265, 288, 2, 3
1758269248094, 3, 4, 1227, 51, 264, 292, 2, 3
1758269248094, 4, 4, 1230, 48, 263, 287, 1, 3
1758269248094, 7, 6, 1237, 46, 265, 285, 2, 4
1758269248094, 4, 6, 1223, 48, 267, 289, 4, 3
1758269248094, 6, 6, 1239, 46, 267, 287, 1, 3
1758269248094, 12, 7, 1231, 48, 268, 285, 1, 4
1758269248094, 4, 8, 1232, 49, 265, 285, 3, 2
1758269248094, 4, 22, 1238, 47, 264, 286, 2, 7
1758269248094, 6, 8, 1236, 48, 266, 290, 2, 3
1758269248094, 5, 8, 1236, 45, 276, 286, 0, 3
1758269248094, 6, 4, 1239, 47, 267, 286, 2, 3
1758269248094, 4, 20, 1236, 46, 267, 287, 2, 3
1758269248094, 9, 7, 1225, 46, 264, 291, 2, 3
1758269248094, 8, 5, 1237, 47, 267, 291, 2, 3
1758269248094, 2, 4, 1239, 47, 266, 289, 3, 3
1758269248094, 1, 6, 1243, 46, 268, 288, 2, 2
1758269248094, 0, 5, 1237, 45, 268, 286, 8, 3
1758269248094, 2, 6, 1236, 45, 268, 285, 2, 4
1758269248094, 1, 5, 1239, 48, 265, 293, 2, 3
1758269248094, 4, 5, 1238, 48, 268, 285, 2, 2
1758269248094, 4, 4, 1239, 48, 269, 287, 10, 3
1758269248094, 11, 6, 1231, 48, 269, 287, 0, 3
1758269248094, 3, 21, 1239, 46, 268, 284, 2, 2
1758269248094, 2, 8, 1232, 51, 268, 295, 2, 3
1758269248094, 2, 6, 1236, 50, 268, 287, 2, 3
1758269248094, 3, 8, 1236, 48, 270, 284, 1, 3
1758269248094, 1, 7, 1239, 47, 269, 287, 2, 3
1758269248094, 7, 8, 1232, 58, 267, 285, 2, 3
1758269248094, 13, 6, 1231, 48, 269, 285, 3, 3
1758269248094, 4, 6, 1239, 49, 264, 285, 2, 3
1758269248094, 1, 6, 1233, 48, 275, 287, 2, 3
1758269248094, 4, 20, 1242, 46, 266, 285, 1, 2
1758269248094, 5, 6, 1243, 50, 268, 285, 1, 4
1758269248094, 3, 5, 1242, 48, 268, 285, 2, 3
1758269248094, 5, 4, 1232, 48, 273, 285, 2, 4
1758269248094, 2, 20, 1240, 47, 264, 291, 1, 3
1758269248094, 1, 10, 1232, 47, 268, 287, 1, 12
1758269248094, 8, 7, 1242, 47, 268, 287, 3, 3
