unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758269476981, I, -2, 3, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758269479003, 5, 5, 1003, 51, 295, 260, 1, 2
1758269479003, 7, 4, 993, 53, 298, 267, 2, 4
1758269479003, 3, 6, 1003, 50, 295, 261, 1, 2
1758269479003, 4, 20, 995, 51, 294, 263, 7, 2
1758269479003, 5, 9, 1002, 50, 300, 261, 2, 4
1758269479003, 3, 6, 1002, 49, 300, 259, 2, 3
1758269479003, 2, 21, 1004, 50, 300, 265, 2, 3
1758269479003, 6, 8, 1007, 51, 299, 260, 2, 3
1758269479003, 1, 8, 1003, 50, 300, 264, 5, 3
1758269479003, 2, 21, 1004, 59, 298, 259, 1, 3
1758269479003, 4, 9, 1004, 49, 304, 263, 3, 2
1758269479003, 7, 6, 1000, 49, 297, 263, 2, 2
1758269479003, 14, 6, 1005, 50, 297, 264, 1, 3
1758269479003, 3, 3, 1006, 49, 299, 262, 1, 2
1758269479003, 3, 19, 999, 48, 297, 267, 2, 2
1758269479003, 3, 22, 991, 55, 298, 259, 2, 4
1758269479003, 5, 21, 1006, 50, 297, 263, 1, 3
1758269479003, 4, 23, 1006, 50, 296, 263, 2, 2
1758269479003, 1, 17, 1000, 51, 296, 261, 2, 2
1758269479003, 10, 7, 1007, 50, 299, 259, 2, 3
1758269479003, 4, 20, 995, 51, 299, 261, 2, 4
1758269479003, 3, 8, 1003, 51, 299, 258, 2, 4
1758269479003, 3, 6, 997, 49, 300, 260, 2, 4
1758269479003, 5, 12, 1007, 52, 295, 257, 2, 3
1758269479003, 4, 7, 995, 52, 301, 260, 2, 3
1758269479003, 2, 6, 1000, 54, 297, 259, 2, 4
1758269479003, 6, 18, 1006, 51, 295, 262, 2, 11
1758269479003, 5, 24, 1006, 55, 297, 260, 3, 3
1758269479003, 2, 9, 1007, 54, 296, 263, 1, 2
1758269479003, 3, 21, 995, 55, 299, 259, 1, 4
1758269479003, 5, 9, 1007, 53, 301, 261, 2, 4
1758269479003, 4, 22, 1016, 53, 299, 259, 2, 8
1758269479003, 9, 21, 1000, 52, 297, 259, 2, 3
1758269479003, 4, 7, 999, 51, 301, 271, 1, 3
1758269479003, 4, 6, 1006, 55, 298, 260, 2, 2
1758269479003, 4, 5, 1007, 53, 299, 263, 2, 3
1758269479003, 4, 5, 1007, 52, 301, 265, 1, 3
1758269479003, 7, 4, 1007, 53, 300, 262, 2, 10
1758269479003, 0, 4, 1006, 55, 297, 263, 3, 3
1758269479003, 4, 6, 1007, 53, 298, 263, 2, 2
1758269479003, 2, 10, 1000, 55, 300, 264, 1, 3
1758269479003, 0, 19, 1001, 60, 299, 263, 2, 3
1758269479003, 4, 23, 1006, 51, 300, 259, 2, 3
1758269479003, 13, 23, 1004, 56, 299, 263, 2, 3
1758269479003, 1, 9, 1004, 59, 297, 261, 3, 3
