unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758269754224, I, 2, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758269754363, 2, 22, 1134, 67, 342, 254, 1, 5
1758269754363, 6, 8, 1133, 60, 341, 255, 2, 5
1758269754363, 5, 7, 1131, 63, 343, 259, 1, 12
1758269754363, 4, 21, 1132, 61, 339, 255, 2, 1
1758269754363, 4, 7, 1135, 62, 339, 261, 1, 4
1758269754363, 4, 7, 1123, 62, 340, 259, 1, 3
1758269754363, 3, 4, 1123, 62, 340, 257, 2, 2
1758269754363, 5, 5, 1119, 67, 343, 257, 2, 3
1758269754363, 1, 20, 1135, 70, 340, 256, 1, 4
1758269754363, 3, 16, 1127, 62, 339, 268, 2, 7
1758269754363, 3, 7, 1128, 62, 339, 257, 2, 3
1758269754363, 5, 6, 1123, 61, 339, 257, 2, 5
1758269754363, 3, 5, 1128, 60, 340, 258, 2, 4
1758269754363, 5, 5, 1133, 62, 343, 258, 2, 3
1758269754363, 10, 5, 1135, 62, 345, 257, 2, 4
1758269754363, 5, 6, 1121, 62, 339, 255, 2, 3
1758269754363, 3, 21, 1133, 59, 343, 258, 5, 2
1758269754363, 2, 9, 1135, 62, 342, 256, 6, 3
1758269754363, 2, 7, 1130, 62, 343, 263, 2, 3
1758269754363, 7, 7, 1128, 65, 341, 260, 2, 3
1758269754363, 4, 7, 1121, 63, 342, 257, 3, 4
1758269754363, 2, 6, 1135, 62, 352, 263, 2, 3
1758269754363, 4, 22, 1131, 61, 343, 256, 3, 3
1758269754363, 3, 7, 1135, 63, 341, 261, 1, 7
1758269754363, 3, 19, 1131, 61, 347, 259, 2, 3
1758269754363, 5, 21, 1128, 63, 340, 259, 1, 3
1758269754363, 13, 7, 1123, 62, 342, 258, 1, 2
1758269754363, 4, 6, 1128, 62, 343, 263, 2, 4
1758269754363, 3, 21, 1131, 63, 352, 259, 2, 4
1758269754363, 3, 7, 1128, 63, 341, 261, 2, 3
1758269754363, 9, 5, 1135, 62, 352, 263, 3, 3
1758269754363, 2, 5, 1131, 62, 340, 258, 11, 4
1758269754363, 5, 6, 1135, 62, 343, 258, 1, 4
1758269754363, 2, 6, 1135, 62, 339, 263, 2, 2
1758269754363, 7, 6, 1135, 64, 344, 260, 10, 3
1758269754363, 2, 6, 1131, 62, 340, 260, 3, 4
1758269754363, 7, 6, 1123, 61, 340, 261, 2, 4
1758269754363, 4, 7, 1148, 64, 341, 255, 5, 3
1758269754363, 5, 9, 1135, 61, 340, 259, 2, 10
1758269754363, 12, 8, 1135, 62, 340, 257, 3, 6
1758269754363, 5, 8, 1123, 59, 341, 259, 1, 5
1758269754363, 4, 6, 1134, 62, 343, 269, 2, 3
1758269754363, 2, 6, 1135, 61, 342, 259, 2, 3
1758269754363, 3, 5, 1128, 60, 343, 266, 2, 3
1758269754363, 2, 20, 1135, 62, 343, 257, 2, 3
1758269754363, 1, 8, 1123, 61, 343, 259, 2, 3
1758269754363, 5, 4, 1132, 61, 349, 263, 2, 3
1758269754363, 3, 6, 1135, 62, 339, 257, 2, 2
1758269754363, 2, 5, 1132, 61, 341, 256, 4, 3
1758269754363, 1, 6, 1135, 63, 341, 267, 2, 3
1758269754363, 4, 21, 1134, 62, 343, 257, 2, 3
1758269754363, 3, 7, 1132, 66, 341, 260, 3, 5
1758269754364, 3, 6, 1135, 71, 345, 260, 2, 4
1758269754364, 3, 6, 1135, 57, 345, 257, 1, 3
1758269754364, 11, 20, 1132, 63, 343, 257, 1, 5
1758269754364, 10, 7, 1132, 61, 341, 261, 6, 4
1758269754364, 6, 7, 1128, 62, 339, 263, 2, 4
1758269754364, 5, 7, 1128, 62, 340, 263, 2, 2
1758269754364, 3, 8, 1135, 62, 341, 262, 2, 8
1758269754364, 7, 7, 1128, 63, 339, 261, 1, 1
1758269754364, 4, 18, 1135, 62, 342, 260, 2, 2
1758269754364, 9, 8, 1135, 60, 339, 259, 2, 3
1758269754364, 0, 9, 1134, 62, 344, 259, 2, 3
1758269754364, 3, 5, 1134, 63, 339, 261, 2, 10
1758269754364, 3, 5, 1119, 61, 339, 257, 2, 2
1758269754364, 2, 5, 1135, 62, 345, 266, 2, 3
1758269754364, 4, 5, 1123, 63, 341, 259, 2, 3
1758269754364, 3, 5, 1135, 61, 344, 259, 1, 2
1758269754364, 7, 5, 1123, 59, 342, 261, 1, 3
1758269754364, 3, 5, 1135, 61, 341, 259, 1, 5
1758269754364, 4, 5, 1123, 61, 340, 259, 1, 5
1758269754364, 2, 5, 1135, 61, 339, 257, 2, 9
1758269754364, 0, 20, 1128, 60, 342, 267, 1, 6
1758269754364, 10, 7, 1131, 64, 339, 259, 1, 2
1758269754364, 2, 6, 1123, 62, 343, 256, 2, 4
1758269754364, 1, 20, 1131, 60, 352, 258, 1, 2
1758269754364, 9, 9, 1132, 62, 339, 259, 2, 3
1758269754364, 4, 9, 1121, 64, 340, 267, 3, 3
1758269754364, 1, 23, 1131, 62, 343, 255, 3, 3
1758269754364, 4, 25, 1131, 70, 343, 261, 2, 2
1758269754364, 2, 10, 1120, 63, 340, 264, 1, 6
1758269754364, 3, 7, 1131, 59, 345, 259, 2, 4
1758269754364, 1, 6, 1135, 62, 339, 255, 2, 3
1758269754364, 5, 6, 1128, 60, 340, 259, 1, 3
1758269754364, 6, 5, 1137, 60, 345, 260, 2, 4
1758269754364, 2, 4, 1132, 60, 340, 258, 1, 3
1758269754364, 3, 4, 1131, 62, 345, 257, 5, 3
1758269754364, 10, 5, 1128, 62, 339, 258, 1, 4
1758269754364, 7, 5, 1125, 62, 341, 261, 2, 4
1758269754364, 5, 5, 1135, 61, 343, 257, 11, 2
1758269754364, 7, 6, 1133, 62, 341, 256, 2, 2
1758269754364, 1, 6, 1124, 62, 342, 259, 0, 4
1758269754364, 5, 6, 1128, 61, 347, 256, 2, 2
1758269754364, 2, 5, 1135, 59, 342, 259, 2, 2
1758269754364, 6, 21, 1132, 61, 347, 257, 2, 4
1758269754364, 4, 7, 1134, 64, 341, 259, 8, 4
1758269754364, 15, 9, 1132, 62, 341, 259, 1, 3
1758269754364, 2, 8, 1136, 62, 341, 257, 2, 4
1758269754364, 5, 23, 1131, 61, 343, 259, 1, 3
1758269754364, 0, 10, 1134, 61, 343, 260, 2, 3
1758269754364, 2, 7, 1135, 60, 342, 266, 2, 2
1758269754364, 8, 6, 1131, 67, 339, 258, 3, 3
1758269754364, 2, 6, 1133, 61, 343, 261, 2, 5
1758269754364, 2, 6, 1119, 60, 343, 257, 4, 3
1758269754364, 12, 5, 1139, 61, 340, 256, 2, 2
1758269754364, 4, 5, 1134, 62, 339, 258, 1, 3
1758269754364, 4, 5, 1123, 63, 339, 257, 1, 4
1758269754364, 7, 15, 1132, 62, 340, 266, 2, 3
1758269754364, 3, 7, 1136, 63, 339, 257, 1, 6
1758269754364, 5, 5, 1134, 61, 340, 260, 2, 8
1758269754364, 2, 6, 1123, 62, 342, 267, 1, 2
1758269754364, 1, 19, 1131, 63, 343, 266, 2, 3
1758269754364, 1, 8, 1132, 58, 341, 258, 1, 5
1758269754364, 1, 21, 1132, 61, 342, 259, 2, 4
1758269754364, 9, 8, 1127, 62, 340, 258, 2, 6
1758269754364, 4, 7, 1132, 62, 343, 264, 2, 3
1758269754364, 3, 6, 1125, 62, 339, 256, 2, 4
1758269754364, 2, 7, 1135, 63, 343, 256, 2, 4
1758269754364, 3, 7, 1128, 62, 339, 259, 3, 5
1758269754364, 6, 7, 1135, 62, 342, 260, 2, 4
1758269754364, 5, 8, 1135, 60, 339, 257, 3, 3
1758269754364, 9, 12, 1134, 61, 344, 257, 2, 2
1758269754364, 1, 21, 1134, 60, 352, 256, 1, 2
1758269754364, 3, 23, 1131, 61, 343, 256, 2, 6
1758269754364, 6, 7, 1128, 66, 340, 260, 2, 3
1758269754364, 3, 5, 1123, 62, 340, 261, 1, 4
1758269754364, 4, 5, 1135, 62, 345, 256, 2, 7
1758269754364, 4, 5, 1135, 57, 339, 255, 3, 3
1758269754364, 7, 5, 1135, 62, 341, 260, 6, 3
1758269754364, 1, 15, 1133, 62, 347, 261, 1, 6
1758269754364, 5, 7, 1128, 66, 342, 257, 2, 6
1758269754364, 4, 5, 1135, 61, 343, 258, 1, 3
1758269754364, 1, 20, 1130, 62, 341, 257, 2, 2
1758269754364, 6, 7, 1135, 60, 341, 259, 2, 3
1758269754364, 4, 6, 1135, 61, 343, 258, 2, 4
1758269754364, 5, 7, 1135, 63, 343, 259, 3, 3
1758269754364, 3, 7, 1130, 61, 341, 257, 2, 3
1758269754364, 4, 7, 1132, 65, 342, 257, 2, 4
1758269754364, 2, 22, 1132, 62, 340, 257, 3, 0
1758269754365, 4, 10, 1128, 62, 343, 259, 3, 2
1758269754365, 0, 8, 1134, 62, 343, 257, 3, 3
1758269754365, 4, 7, 1131, 62, 342, 259, 0, 1
1758269754369, 2, 5, 1135, 62, 341, 261, 1, 3
1758269754369, 14, 21, 1133, 62, 343, 257, 2, 3
1758269754369, 5, 7, 1123, 61, 341, 260, 1, 3
1758269754380, 0, 15, 1128, 63, 339, 263, 1, 3
1758269754380, 7, 5, 1135, 62, 344, 256, 2, 3
1758269754380, 4, 5, 1127, 63, 341, 256, 2, 4
1758269754380, 2, 6, 1132, 61, 345, 260, 1, 6
1758269754380, 5, 6, 1135, 62, 341, 261, 1, 4
1758269754380, 0, 6, 1134, 62, 348, 261, 2, 2
1758269754380, 5, 21, 1127, 63, 341, 257, 1, 3
1758269754380, 2, 7, 1142, 62, 341, 256, 1, 4
1758269754380, 3, 5, 1133, 62, 345, 258, 2, 3
1758269754380, 4, 6, 1135, 60, 346, 257, 1, 3
1758269754380, 3, 6, 1131, 60, 341, 260, 2, 3
1758269754394, 3, 19, 1133, 62, 347, 256, 4, 3
1758269754395, 3, 9, 1121, 61, 352, 259, 2, 3
1758269754395, 2, 7, 1135, 61, 343, 263, 2, 2
1758269754395, 12, 7, 1134, 58, 342, 261, 2, 2
1758269754395, 5, 19, 1139, 61, 341, 257, 1, 4
1758269754395, 5, 9, 1128, 62, 347, 259, 2, 3
1758269754395, 7, 21, 1135, 60, 347, 260, 2, 2
1758269754395, 6, 7, 1135, 59, 347, 268, 1, 2
1758269754395, 14, 5, 1134, 62, 343, 258, 2, 3
1758269754395, 3, 5, 1128, 70, 341, 257, 1, 3
1758269754395, 4, 4, 1123, 63, 341, 259, 2, 3
1758269754395, 5, 5, 1135, 62, 343, 257, 2, 3
1758269754395, 5, 6, 1123, 63, 344, 259, 4, 2
1758269754395, 2, 5, 1128, 58, 343, 259, 1, 3
1758269754395, 5, 6, 1135, 62, 342, 258, 1, 3
1758269754409, 4, 6, 1127, 63, 343, 259, 1, 3
1758269754409, 7, 6, 1128, 63, 345, 258, 0, 3
1758269754409, 2, 6, 1134, 62, 341, 260, 2, 4
1758269754409, 11, 5, 1135, 63, 345, 258, 3, 3
1758269754409, 4, 5, 1128, 61, 340, 261, 2, 2
1758269754409, 3, 6, 1128, 63, 342, 261, 3, 3
1758269754409, 4, 7, 1135, 61, 341, 261, 1, 3
1758269754409, 4, 7, 1132, 63, 342, 257, 10, 3
1758269754409, 3, 10, 1135, 62, 342, 261, 2, 4
1758269754409, 4, 7, 1135, 62, 340, 259, 3, 3
1758269754409, 4, 6, 1129, 64, 340, 257, 2, 1
1758269754409, 12, 7, 1135, 62, 342, 258, 1, 4
1758269754409, 7, 6, 1128, 62, 343, 257, 2, 3
1758269754409, 10, 4, 1122, 61, 343, 259, 9, 2
1758269754409, 3, 15, 1135, 62, 345, 257, 5, 3
1758269754423, 3, 5, 1123, 60, 342, 259, 3, 9
1758269754423, 3, 6, 1122, 60, 343, 257, 1, 3
1758269754423, 3, 6, 1143, 61, 339, 260, 1, 2
1758269754423, 4, 10, 1135, 61, 340, 260, 1, 3
1758269754423, 8, 6, 1135, 60, 339, 260, 1, 2
1758269754423, 1, 5, 1134, 60, 343, 264, 3, 1
1758269754423, 2, 6, 1139, 62, 340, 260, 2, 5
1758269754423, 3, 5, 1135, 62, 339, 260, 2, 3
1758269754423, 4, 6, 1135, 62, 343, 258, 2, 4
1758269754423, 3, 6, 1144, 71, 341, 257, 3, 3
1758269754423, 3, 6, 1135, 62, 340, 260, 3, 3
1758269754423, 5, 8, 1135, 60, 344, 264, 2, 3
1758269754423, 4, 8, 1137, 62, 340, 259, 3, 4
1758269754438, 6, 7, 1122, 62, 342, 262, 2, 3
1758269754438, 1, 6, 1134, 59, 343, 262, 2, 12
1758269754438, 4, 7, 1135, 60, 339, 263, 1, 4
1758269754438, 4, 22, 1134, 62, 347, 263, 6, 3
1758269754438, 5, 8, 1135, 63, 343, 263, 1, 3
1758269754438, 5, 6, 1128, 62, 339, 259, 2, 3
1758269754438, 3, 5, 1135, 61, 339, 261, 2, 4
1758269754438, 3, 4, 1123, 61, 345, 259, 1, 4
1758269754438, 3, 5, 1123, 62, 340, 258, 2, 4
1758269754438, 2, 18, 1135, 61, 341, 259, 2, 3
1758269754438, 3, 7, 1123, 64, 343, 259, 1, 3
1758269754438, 5, 6, 1132, 62, 344, 261, 1, 3
1758269754438, 0, 6, 1135, 61, 348, 257, 3, 2
1758269754438, 1, 6, 1123, 62, 341, 258, 2, 9
1758269754438, 6, 21, 1127, 59, 339, 256, 1, 2
1758269754452, 8, 8, 1144, 63, 336, 258, 2, 7
1758269754452, 1, 7, 1135, 71, 340, 260, 2, 2
1758269754452, 3, 7, 1144, 63, 341, 261, 2, 4
1758269754452, 1, 7, 1144, 71, 339, 259, 3, 2
1758269754452, 3, 8, 1127, 62, 339, 258, 1, 3
1758269754452, 14, 22, 1122, 62, 339, 261, 3, 2
1758269754452, 3, 9, 1135, 58, 343, 261, 1, 6
1758269754452, 5, 7, 1127, 62, 347, 261, 2, 5
1758269754452, 5, 6, 1129, 63, 340, 263, 1, 3
1758269754452, 5, 6, 1128, 60, 343, 259, 2, 6
1758269754452, 5, 6, 1134, 63, 342, 260, 2, 3
1758269754452, 3, 5, 1137, 62, 341, 260, 2, 7
1758269754452, 3, 13, 1134, 60, 339, 260, 3, 3
1758269754452, 5, 6, 1133, 65, 343, 257, 2, 8
1758269754467, 3, 5, 1135, 71, 339, 260, 2, 3
1758269754467, 8, 6, 1125, 63, 342, 258, 2, 3
1758269754467, 11, 21, 1124, 62, 339, 257, 2, 3
1758269754467, 8, 8, 1123, 64, 339, 261, 2, 2
1758269754467, 2, 6, 1139, 60, 343, 257, 2, 4
1758269754467, 4, 6, 1135, 62, 343, 259, 2, 3
1758269754467, 4, 6, 1128, 60, 343, 260, 1, 2
1758269754467, 4, 6, 1135, 62, 343, 260, 0, 3
1758269754467, 4, 7, 1135, 63, 339, 259, 1, 5
1758269754467, 4, 8, 1135, 60, 342, 258, 2, 4
1758269754467, 7, 8, 1135, 62, 343, 258, 2, 3
1758269754467, 4, 8, 1122, 62, 343, 256, 2, 1
1758269754467, 4, 7, 1135, 62, 339, 258, 2, 4
1758269754467, 1, 7, 1128, 61, 341, 255, 2, 3
1758269754467, 5, 6, 1130, 62, 341, 255, 1, 2
1758269754481, 2, 6, 1123, 61, 343, 256, 1, 2
1758269754481, 4, 5, 1123, 61, 340, 256, 3, 3
1758269754481, 2, 5, 1135, 62, 343, 261, 6, 11
1758269754481, 3, 4, 1135, 62, 352, 255, 0, 3
1758269754481, 5, 6, 1123, 60, 340, 256, 2, 3
1758269754481, 3, 16, 1127, 61, 339, 258, 4, 7
1758269754481, 3, 6, 1132, 61, 342, 257, 1, 2
1758269754481, 1, 5, 1132, 62, 342, 259, 2, 2
1758269754481, 7, 5, 1123, 65, 340, 258, 3, 3
1758269754481, 1, 5, 1132, 62, 345, 256, 2, 5
1758269754481, 4, 20, 1134, 65, 343, 256, 2, 4
1758269754481, 7, 23, 1128, 62, 340, 258, 2, 3
1758269754481, 11, 8, 1123, 63, 339, 257, 2, 2
1758269754481, 7, 22, 1142, 67, 340, 255, 2, 7
1758269754481, 12, 9, 1135, 61, 340, 262, 1, 3
1758269754495, 2, 8, 1119, 61, 341, 255, 2, 3
1758269754495, 4, 7, 1132, 60, 343, 258, 2, 3
1758269754495, 5, 23, 1127, 71, 340, 256, 3, 3
1758269754495, 5, 9, 1125, 63, 343, 258, 2, 2
1758269754495, 3, 6, 1123, 71, 342, 259, 2, 3
1758269754495, 2, 5, 1128, 62, 339, 255, 2, 3
1758269754495, 8, 5, 1135, 61, 343, 259, 1, 2
1758269754495, 2, 6, 1140, 71, 339, 262, 3, 2
1758269754495, 2, 4, 1131, 60, 350, 269, 3, 3
1758269754495, 3, 5, 1140, 65, 341, 254, 2, 3
1758269754495, 4, 5, 1130, 59, 341, 256, 1, 3
1758269754495, 8, 5, 1135, 61, 343, 259, 1, 1
1758269754495, 9, 6, 1119, 63, 347, 256, 3, 7
1758269754510, 3, 5, 1121, 61, 343, 258, 3, 4
1758269754510, 3, 20, 1123, 66, 344, 255, 9, 6
1758269754510, 7, 17, 1131, 61, 341, 263, 1, 2
1758269754510, 1, 7, 1131, 61, 343, 259, 2, 2
1758269754510, 3, 6, 1128, 63, 342, 261, 2, 7
1758269754510, 3, 6, 1130, 60, 343, 256, 1, 5
1758269754510, 5, 6, 1131, 61, 352, 258, 2, 3
1758269754510, 4, 8, 1131, 63, 340, 258, 2, 3
1758269754510, 1, 21, 1128, 58, 343, 259, 2, 0
1758269754510, 0, 9, 1127, 61, 343, 259, 1, 3
1758269754510, 3, 7, 1123, 62, 343, 257, 5, 4
1758269754510, 7, 21, 1130, 60, 342, 259, 2, 2
1758269754510, 7, 7, 1121, 62, 342, 261, 2, 2
1758269754510, 4, 5, 1130, 62, 343, 257, 2, 3
1758269754510, 4, 5, 1135, 61, 339, 259, 2, 3
1758269754524, 4, 4, 1135, 61, 339, 256, 3, 2
1758269754524, 3, 5, 1130, 62, 342, 268, 1, 4
1758269754524, 5, 5, 1139, 62, 342, 265, 1, 4
1758269754524, 4, 5, 1140, 63, 342, 259, 2, 4
1758269754524, 3, 21, 1135, 63, 338, 263, 1, 3
1758269754524, 5, 13, 1132, 63, 340, 264, 2, 8
1758269754524, 4, 22, 1123, 63, 340, 257, 10, 3
1758269754524, 5, 8, 1127, 61, 343, 257, 7, 3
1758269754524, 3, 6, 1128, 64, 342, 258, 2, 3
1758269754524, 2, 6, 1119, 62, 343, 259, 2, 3
1758269754524, 3, 7, 1133, 62, 339, 257, 3, 3
1758269754524, 4, 7, 1123, 71, 340, 257, 2, 2
1758269754524, 1, 8, 1122, 61, 344, 259, 3, 3
1758269754524, 1, 23, 1144, 65, 340, 257, 3, 4
1758269754538, 9, 9, 1123, 62, 350, 256, 1, 5
1758269754538, 4, 8, 1123, 61, 339, 257, 2, 0
1758269754538, 3, 9, 1121, 62, 342, 262, 1, 5
1758269754538, 3, 20, 1133, 62, 342, 256, 1, 3
1758269754538, 4, 7, 1123, 61, 339, 256, 2, 2
1758269754538, 3, 5, 1132, 63, 341, 261, 2, 3
1758269754538, 4, 3, 1135, 72, 339, 260, 2, 2
1758269754538, 4, 6, 1136, 62, 340, 261, 3, 3
1758269754538, 1, 6, 1128, 62, 342, 263, 1, 4
1758269754538, 4, 6, 1128, 64, 339, 259, 1, 2
1758269754538, 4, 6, 1122, 64, 343, 256, 2, 5
1758269754538, 1, 6, 1119, 64, 343, 258, 2, 0
1758269754538, 4, 21, 1127, 66, 343, 261, 1, 8
1758269754538, 4, 8, 1134, 62, 339, 259, 2, 3
1758269754553, 3, 6, 1135, 63, 341, 257, 1, 6
1758269754553, 6, 6, 1134, 63, 341, 258, 1, 3
1758269754553, 14, 7, 1127, 63, 342, 256, 2, 4
1758269754553, 6, 23, 1128, 60, 343, 255, 2, 3
1758269754553, 3, 9, 1129, 64, 342, 262, 2, 3
1758269754553, 6, 8, 1123, 61, 343, 256, 3, 3
1758269754553, 1, 18, 1134, 67, 341, 256, 3, 4
1758269754553, 6, 8, 1137, 63, 341, 256, 1, 6
1758269754553, 2, 6, 1140, 61, 343, 257, 2, 2
1758269754553, 3, 5, 1123, 64, 342, 259, 2, 4
1758269754553, 3, 7, 1134, 62, 342, 255, 2, 11
1758269754553, 3, 5, 1135, 63, 339, 256, 1, 3
1758269754553, 5, 19, 1122, 64, 340, 255, 2, 3
1758269754553, 4, 8, 1128, 63, 345, 255, 2, 5
1758269754553, 11, 5, 1128, 69, 342, 256, 2, 1
1758269754553, 2, 14, 1128, 62, 345, 257, 2, 2
1758269754567, 4, 7, 1135, 63, 342, 257, 3, 1
1758269754567, 2, 21, 1128, 63, 342, 258, 1, 1
1758269754567, 5, 8, 1134, 65, 339, 257, 3, 3
1758269754567, 2, 6, 1127, 64, 343, 258, 2, 2
1758269754567, 7, 6, 1135, 61, 345, 259, 2, 3
1758269754567, 1, 14, 1132, 61, 345, 256, 2, 3
1758269754567, 3, 10, 1135, 63, 339, 256, 2, 4
1758269754567, 4, 8, 1135, 63, 341, 256, 2, 1
1758269754567, 3, 21, 1128, 65, 342, 259, 1, 3
1758269754567, 12, 9, 1128, 67, 339, 258, 2, 3
1758269754567, 2, 12, 1123, 62, 343, 256, 1, 2
1758269754567, 2, 8, 1135, 73, 341, 258, 1, 1
1758269754567, 5, 5, 1123, 63, 341, 256, 2, 5
1758269754583, 4, 5, 1134, 64, 345, 255, 2, 8
1758269754583, 3, 21, 1135, 63, 343, 256, 2, 2
1758269754583, 4, 7, 1124, 61, 347, 257, 1, 4
1758269754583, 5, 5, 1120, 62, 343, 255, 1, 2
1758269754583, 5, 5, 1132, 63, 339, 259, 2, 3
1758269754583, 3, 5, 1135, 62, 343, 259, 2, 3
1758269754583, 5, 20, 1128, 63, 343, 262, 3, 3
1758269754583, 12, 7, 1128, 58, 341, 257, 1, 2
1758269754583, 6, 5, 1128, 63, 343, 255, 2, 3
1758269754583, 4, 6, 1132, 61, 343, 258, 2, 2
1758269754583, 2, 5, 1132, 62, 339, 255, 1, 4
1758269754583, 3, 5, 1135, 64, 343, 255, 4, 3
1758269754583, 1, 7, 1128, 63, 340, 255, 2, 2
1758269754583, 5, 22, 1132, 63, 340, 256, 9, 3
1758269754583, 7, 9, 1134, 64, 342, 257, 1, 4
1758269754597, 0, 24, 1127, 63, 342, 257, 2, 5
1758269754597, 1, 10, 1135, 63, 339, 259, 0, 4
1758269754597, 4, 7, 1135, 62, 341, 259, 1, 4
1758269754597, 5, 7, 1127, 63, 343, 260, 1, 2
1758269754597, 0, 6, 1132, 62, 342, 258, 2, 12
1758269754597, 3, 5, 1135, 63, 341, 259, 4, 4
1758269754597, 1, 5, 1135, 63, 343, 257, 2, 2
1758269754597, 3, 5, 1135, 62, 347, 256, 1, 2
1758269754597, 3, 4, 1123, 64, 342, 259, 2, 5
