unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758269790240, I, 5, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758269790295, 6, 22, 1092, 53, 336, 272, 1, 5
1758269790295, 3, 8, 1095, 53, 336, 271, 2, 3
1758269790295, 3, 22, 1084, 53, 339, 272, 2, 3
1758269790295, 0, 8, 1088, 52, 336, 273, 7, 2
1758269790295, 4, 6, 1083, 56, 335, 275, 2, 3
1758269790295, 7, 5, 1081, 56, 339, 273, 1, 3
1758269790295, 9, 5, 1079, 54, 335, 275, 3, 3
1758269790295, 2, 19, 1084, 53, 335, 276, 2, 2
1758269790295, 5, 8, 1083, 51, 336, 275, 4, 4
1758269790295, 6, 20, 1086, 59, 335, 274, 1, 5
1758269790295, 2, 7, 1095, 52, 343, 276, 1, 2
1758269790295, 4, 5, 1086, 50, 336, 276, 3, 5
1758269790295, 1, 6, 1091, 51, 335, 273, 2, 4
1758269790295, 5, 14, 1084, 52, 339, 272, 1, 3
1758269790295, 0, 6, 1084, 60, 339, 273, 2, 5
1758269790295, 1, 7, 1095, 53, 338, 279, 1, 4
1758269790295, 3, 6, 1087, 51, 336, 275, 1, 3
1758269790295, 4, 17, 1087, 52, 339, 275, 2, 4
1758269790295, 5, 10, 1084, 53, 338, 282, 2, 3
1758269790295, 5, 7, 1086, 53, 335, 273, 1, 2
1758269790295, 5, 7, 1079, 52, 336, 273, 1, 6
1758269790295, 5, 7, 1081, 52, 335, 272, 2, 3
1758269790295, 4, 22, 1087, 53, 338, 275, 1, 5
1758269790295, 4, 8, 1087, 51, 339, 271, 2, 3
1758269790295, 3, 6, 1084, 52, 336, 275, 2, 3
1758269790295, 4, 4, 1087, 52, 339, 270, 9, 12
1758269790295, 2, 19, 1086, 53, 339, 270, 2, 4
1758269790295, 4, 7, 1083, 52, 339, 271, 1, 5
1758269790295, 3, 5, 1091, 52, 347, 271, 1, 3
1758269790295, 1, 9, 1083, 52, 336, 271, 2, 10
1758269790295, 3, 6, 1095, 52, 334, 275, 1, 2
1758269790295, 6, 5, 1086, 51, 336, 274, 4, 4
1758269790295, 5, 6, 1088, 53, 336, 273, 1, 5
1758269790295, 1, 6, 1095, 52, 336, 272, 1, 6
1758269790295, 7, 5, 1095, 53, 337, 272, 1, 12
1758269790295, 2, 6, 1088, 51, 339, 274, 1, 10
1758269790295, 3, 20, 1088, 52, 339, 277, 1, 2
1758269790295, 4, 9, 1095, 52, 336, 275, 2, 5
1758269790295, 4, 9, 1083, 54, 338, 272, 3, 3
1758269790295, 1, 8, 1095, 53, 341, 274, 2, 5
1758269790295, 2, 7, 1095, 56, 335, 273, 1, 8
1758269790295, 4, 8, 1092, 52, 341, 273, 3, 3
1758269790295, 5, 6, 1092, 50, 336, 272, 2, 5
1758269790295, 7, 21, 1085, 53, 336, 275, 2, 2
1758269790295, 3, 7, 1095, 62, 338, 272, 2, 4
1758269790295, 5, 6, 1095, 52, 339, 275, 2, 2
1758269790295, 1, 6, 1103, 52, 336, 272, 1, 5
1758269790295, 7, 4, 1088, 59, 347, 272, 2, 2
1758269790295, 4, 5, 1094, 53, 339, 271, 1, 4
1758269790295, 3, 6, 1083, 53, 336, 272, 3, 3
1758269790295, 0, 5, 1092, 54, 339, 271, 2, 3
1758269790295, 4, 6, 1089, 50, 338, 272, 2, 4
1758269790295, 6, 7, 1088, 54, 343, 271, 3, 8
1758269790295, 3, 5, 1095, 49, 336, 271, 2, 0
1758269790296, 1, 5, 1095, 51, 337, 274, 2, 3
1758269790296, 3, 6, 1095, 51, 335, 273, 2, 2
1758269790298, 3, 7, 1095, 52, 336, 275, 6, 4
1758269790299, 1, 7, 1088, 53, 339, 274, 2, 6
1758269790301, 6, 22, 1100, 54, 335, 273, 3, 3
1758269790301, 3, 9, 1104, 52, 336, 277, 1, 2
1758269790301, 1, 7, 1095, 54, 339, 275, 4, 2
1758269790311, 7, 7, 1099, 53, 339, 284, 1, 3
