unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758354243113, K, -1, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758354243207, 6, 4, 918, 122, 424, 319, 1, 3
1758354243207, 5, 4, 923, 123, 422, 317, 2, 2
1758354243207, 3, 21, 918, 123, 419, 319, 10, 4
1758354243207, 6, 23, 919, 128, 422, 318, 4, 4
1758354243207, 5, 8, 922, 125, 420, 318, 1, 2
1758354243207, 5, 9, 911, 125, 419, 325, 3, 4
1758354243207, 6, 8, 915, 123, 419, 319, 2, 4
1758354243207, 3, 7, 923, 122, 422, 322, 2, 3
1758354243207, 3, 8, 927, 124, 422, 317, 2, 4
1758354243207, 5, 23, 922, 124, 422, 316, 2, 2
1758354243207, 3, 9, 915, 123, 417, 317, 11, 7
1758354243207, 2, 22, 922, 125, 419, 319, 2, 3
1758354243207, 6, 23, 923, 126, 420, 318, 4, 2
1758354243207, 3, 6, 928, 124, 417, 317, 2, 3
1758354243207, 2, 4, 915, 124, 423, 318, 2, 4
1758354243207, 1, 4, 915, 124, 423, 316, 1, 3
1758354243207, 5, 4, 915, 123, 423, 321, 3, 4
1758354243207, 9, 7, 923, 127, 422, 317, 2, 2
1758354243207, 5, 5, 924, 124, 423, 319, 2, 3
1758354243207, 0, 8, 922, 134, 420, 320, 2, 2
1758354243207, 5, 20, 915, 123, 420, 321, 2, 4
1758354243207, 2, 7, 920, 124, 419, 321, 3, 3
1758354243207, 2, 6, 910, 126, 424, 321, 1, 3
1758354243207, 3, 6, 919, 122, 419, 327, 2, 11
1758354243207, 9, 6, 915, 125, 423, 319, 1, 3
1758354243207, 3, 7, 920, 123, 418, 318, 1, 4
1758354243207, 8, 18, 925, 130, 424, 319, 3, 3
1758354243207, 6, 10, 920, 122, 423, 317, 1, 3
1758354243207, 2, 13, 924, 128, 423, 319, 2, 4
1758354243207, 6, 8, 913, 123, 420, 321, 2, 3
1758354243207, 2, 7, 928, 123, 419, 318, 2, 3
1758354243207, 1, 6, 920, 124, 422, 318, 2, 2
1758354243207, 9, 4, 927, 126, 423, 323, 1, 3
1758354243207, 2, 5, 920, 124, 419, 322, 2, 3
1758354243207, 1, 3, 923, 134, 423, 318, 2, 3
1758354243207, 4, 4, 929, 123, 422, 321, 2, 3
1758354243207, 3, 4, 923, 122, 419, 319, 2, 2
1758354243207, 2, 4, 915, 122, 419, 321, 2, 5
1758354243207, 3, 14, 921, 123, 420, 319, 6, 3
1758354243207, 3, 21, 920, 122, 423, 322, 10, 3
1758354243207, 0, 7, 915, 124, 420, 317, 1, 10
1758354243207, 4, 6, 920, 122, 423, 317, 2, 3
1758354243207, 4, 5, 923, 124, 423, 327, 1, 3
1758354243207, 6, 19, 924, 123, 423, 319, 2, 3
