unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758354448698, K, 2, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758354448818, 3, 6, 1008, 82, 363, 364, 2, 6
1758354448818, 3, 4, 1008, 77, 360, 363, 6, 6
1758354448818, 3, 4, 1010, 86, 359, 367, 2, 4
1758354448818, 10, 6, 1008, 78, 361, 363, 1, 3
1758354448818, 6, 6, 1015, 77, 360, 366, 3, 12
1758354448818, 3, 6, 1015, 78, 361, 368, 3, 7
1758354448818, 3, 7, 1007, 79, 361, 367, 2, 3
1758354448818, 4, 23, 1005, 79, 364, 367, 3, 4
1758354448818, 4, 11, 1015, 77, 361, 367, 1, 13
1758354448818, 6, 9, 1016, 79, 365, 365, 5, 3
1758354448818, 3, 7, 1014, 81, 363, 363, 1, 6
1758354448818, 7, 7, 1012, 79, 365, 363, 1, 7
1758354448818, 5, 7, 1015, 78, 366, 367, 2, 4
1758354448818, 3, 6, 1012, 81, 363, 364, 1, 2
1758354448818, 4, 5, 1008, 78, 368, 367, 3, 4
1758354448818, 3, 4, 1007, 87, 359, 367, 3, 4
1758354448818, 3, 3, 1011, 79, 359, 363, 1, 3
1758354448818, 4, 17, 1005, 79, 360, 369, 3, 3
1758354448818, 1, 6, 1008, 78, 364, 364, 2, 2
1758354448818, 3, 5, 1015, 81, 363, 367, 2, 4
1758354448818, 3, 4, 1008, 80, 359, 363, 1, 3
1758354448818, 6, 4, 1014, 78, 360, 362, 9, 3
1758354448818, 6, 19, 1012, 81, 367, 364, 2, 3
1758354448818, 2, 7, 1010, 81, 365, 367, 2, 3
1758354448818, 4, 7, 1013, 80, 359, 363, 1, 3
1758354448818, 6, 7, 1020, 80, 363, 363, 2, 4
1758354448818, 1, 7, 1008, 80, 367, 366, 2, 3
1758354448818, 2, 7, 1003, 88, 360, 371, 3, 3
1758354448818, 7, 8, 1008, 80, 360, 363, 6, 3
1758354448818, 5, 8, 998, 83, 363, 363, 2, 1
1758354448818, 3, 8, 1012, 79, 361, 363, 2, 4
1758354448818, 8, 7, 999, 81, 359, 364, 3, 4
1758354448818, 5, 7, 1004, 81, 361, 366, 2, 5
1758354448818, 3, 5, 1011, 82, 365, 363, 0, 3
1758354448818, 0, 4, 1001, 78, 358, 367, 3, 3
1758354448818, 4, 4, 999, 79, 360, 367, 2, 3
1758354448818, 4, 4, 999, 79, 362, 364, 1, 4
1758354448818, 3, 3, 1001, 88, 359, 367, 2, 3
1758354448818, 2, 4, 1011, 79, 365, 366, 2, 3
1758354448818, 4, 4, 1011, 80, 360, 371, 2, 2
1758354448818, 4, 4, 1004, 81, 360, 367, 1, 4
1758354448818, 5, 6, 1004, 77, 359, 366, 11, 3
1758354448818, 2, 5, 1000, 78, 362, 367, 1, 2
1758354448818, 6, 5, 1006, 79, 363, 363, 3, 3
1758354448818, 4, 7, 995, 81, 360, 369, 1, 3
1758354448818, 5, 7, 995, 79, 359, 364, 3, 4
1758354448818, 3, 7, 1000, 80, 359, 366, 2, 4
1758354448818, 6, 8, 1005, 79, 359, 366, 5, 3
1758354448818, 3, 8, 995, 79, 363, 363, 1, 4
