unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758354508712, K, -2, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758354508851, 6, 6, 747, 60, 371, 331, 2, 2
1758354508851, 11, 7, 751, 61, 369, 327, 1, 8
1758354508851, 9, 7, 748, 61, 375, 329, 3, 5
1758354508851, 6, 17, 748, 62, 375, 328, 2, 3
1758354508851, 4, 10, 742, 62, 374, 333, 2, 3
1758354508851, 9, 8, 747, 64, 375, 325, 4, 3
1758354508851, 2, 8, 754, 63, 370, 328, 2, 7
1758354508851, 5, 7, 746, 59, 372, 333, 1, 5
1758354508851, 3, 19, 760, 61, 369, 325, 2, 3
1758354508851, 2, 22, 747, 60, 372, 332, 1, 2
1758354508851, 3, 6, 752, 66, 371, 334, 1, 3
1758354508851, 4, 5, 749, 61, 376, 329, 2, 3
1758354508851, 3, 3, 755, 61, 375, 333, 2, 2
1758354508851, 3, 3, 755, 62, 372, 331, 2, 4
1758354508851, 4, 4, 752, 63, 370, 327, 2, 4
1758354508851, 5, 4, 755, 63, 370, 330, 1, 3
1758354508851, 2, 4, 755, 59, 375, 327, 1, 5
1758354508851, 2, 4, 755, 64, 374, 325, 9, 1
1758354508851, 5, 4, 752, 63, 371, 331, 2, 6
1758354508851, 7, 6, 751, 60, 374, 330, 6, 5
1758354508851, 4, 6, 752, 64, 370, 331, 0, 3
1758354508851, 4, 7, 746, 62, 375, 329, 2, 4
1758354508851, 5, 7, 756, 63, 375, 330, 1, 3
1758354508851, 4, 8, 755, 63, 374, 328, 2, 4
1758354508851, 6, 8, 756, 62, 375, 333, 8, 2
1758354508851, 4, 8, 752, 69, 375, 331, 1, 4
1758354508851, 8, 8, 749, 65, 374, 329, 1, 3
1758354508851, 5, 9, 752, 62, 375, 325, 3, 2
1758354508851, 3, 7, 755, 62, 376, 328, 3, 4
1758354508851, 6, 19, 754, 62, 382, 331, 2, 4
1758354508851, 3, 21, 751, 62, 374, 331, 1, 2
1758354508851, 5, 6, 751, 62, 372, 329, 1, 11
1758354508851, 3, 18, 751, 64, 375, 326, 3, 3
1758354508851, 3, 6, 750, 62, 371, 329, 2, 2
1758354508851, 4, 5, 747, 63, 373, 325, 2, 2
1758354508851, 3, 5, 745, 61, 374, 328, 1, 3
1758354508851, 1, 4, 747, 63, 372, 328, 11, 4
1758354508851, 6, 4, 755, 62, 374, 325, 1, 8
1758354508851, 6, 18, 745, 62, 371, 328, 1, 3
1758354508851, 4, 8, 747, 63, 371, 325, 1, 4
1758354508851, 8, 7, 750, 64, 371, 325, 1, 4
1758354508851, 4, 7, 750, 67, 374, 326, 9, 3
1758354508851, 4, 7, 755, 62, 377, 325, 2, 4
1758354508851, 6, 8, 750, 65, 371, 329, 3, 3
1758354508851, 5, 8, 751, 62, 372, 325, 1, 6
1758354508851, 5, 8, 747, 62, 374, 325, 3, 4
1758354508851, 4, 9, 747, 62, 373, 328, 2, 4
1758354508851, 5, 8, 744, 63, 374, 325, 1, 2
1758354508851, 4, 6, 747, 61, 371, 328, 3, 4
1758354508851, 4, 19, 755, 63, 376, 329, 1, 3
1758354508851, 3, 16, 747, 62, 371, 325, 2, 1
1758354508851, 5, 19, 755, 61, 376, 326, 2, 3
1758354508851, 3, 21, 752, 60, 374, 329, 2, 3
1758354508851, 2, 17, 747, 62, 375, 328, 2, 3
1758354508851, 6, 6, 752, 61, 380, 329, 2, 8
1758354508851, 4, 15, 750, 62, 375, 328, 2, 10
1758354508851, 12, 6, 750, 61, 372, 325, 3, 2
1758354508851, 4, 6, 746, 63, 370, 329, 2, 4
1758354508851, 6, 5, 748, 59, 375, 325, 0, 2
1758354508851, 4, 6, 759, 62, 375, 331, 1, 2
1758354508851, 2, 5, 752, 62, 371, 327, 2, 3
1758354508851, 5, 6, 755, 64, 375, 332, 1, 3
1758354508851, 6, 23, 760, 62, 372, 331, 2, 4
1758354508851, 5, 10, 752, 61, 380, 328, 0, 3
1758354508851, 4, 25, 752, 64, 372, 329, 2, 5
1758354508851, 3, 25, 749, 62, 374, 331, 1, 4
1758354508851, 3, 11, 754, 68, 375, 328, 10, 3
1758354508851, 4, 7, 755, 60, 375, 326, 0, 4
1758354508851, 7, 7, 747, 62, 374, 331, 3, 12
1758354508851, 4, 6, 747, 61, 374, 326, 2, 3
1758354508851, 1, 20, 752, 63, 375, 326, 2, 4
1758354508851, 3, 20, 750, 60, 375, 327, 2, 2
1758354508851, 3, 6, 747, 60, 377, 326, 1, 3
1758354508851, 4, 4, 755, 64, 371, 325, 2, 7
1758354508851, 4, 4, 755, 64, 377, 325, 2, 3
1758354508851, 2, 5, 747, 61, 375, 327, 2, 3
1758354508851, 5, 17, 754, 62, 373, 328, 1, 2
1758354508851, 1, 7, 747, 62, 370, 326, 1, 6
1758354508851, 3, 5, 757, 62, 374, 322, 1, 4
1758354508851, 13, 5, 758, 61, 371, 325, 2, 4
1758354508851, 2, 6, 752, 66, 372, 326, 3, 3
1758354508851, 5, 7, 755, 67, 372, 331, 2, 3
1758354508851, 4, 7, 751, 64, 371, 329, 1, 4
1758354508851, 5, 7, 751, 61, 373, 326, 2, 3
1758354508851, 4, 9, 750, 62, 372, 325, 2, 3
1758354508851, 5, 9, 752, 61, 375, 325, 1, 1
1758354508851, 5, 7, 751, 62, 375, 327, 1, 4
1758354508851, 2, 7, 752, 60, 375, 325, 3, 3
1758354508851, 3, 6, 752, 64, 377, 327, 1, 3
1758354508851, 3, 5, 752, 60, 372, 325, 2, 2
1758354508851, 3, 4, 752, 64, 372, 333, 2, 3
1758354508851, 3, 3, 754, 62, 371, 326, 1, 3
1758354508851, 1, 19, 755, 61, 383, 327, 1, 3
1758354508851, 4, 6, 747, 66, 374, 325, 1, 3
1758354508851, 4, 4, 757, 63, 371, 326, 4, 3
1758354508851, 2, 4, 752, 64, 371, 326, 1, 4
1758354508851, 1, 20, 751, 59, 373, 329, 3, 2
1758354508851, 4, 8, 752, 60, 377, 326, 3, 4
1758354508851, 4, 6, 752, 62, 373, 328, 10, 0
1758354508851, 3, 5, 760, 62, 377, 335, 3, 4
