unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758354627903, K, -1, 3, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758354628040, 7, 8, 943, 98, 393, 346, 3, 1
1758354628040, 3, 7, 952, 102, 391, 344, 2, 3
1758354628040, 3, 22, 943, 104, 391, 347, 6, 3
1758354628040, 2, 8, 951, 103, 390, 348, 1, 3
1758354628040, 2, 5, 951, 99, 394, 345, 1, 6
1758354628040, 3, 4, 952, 102, 392, 349, 6, 3
1758354628040, 5, 10, 951, 101, 403, 346, 2, 3
1758354628040, 5, 5, 952, 100, 395, 348, 1, 3
1758354628040, 3, 4, 942, 100, 392, 345, 3, 3
1758354628040, 4, 3, 944, 108, 395, 349, 2, 3
1758354628040, 5, 6, 955, 102, 391, 348, 3, 12
1758354628040, 2, 4, 948, 103, 392, 347, 3, 3
1758354628040, 11, 4, 948, 101, 395, 348, 0, 1
1758354628040, 6, 5, 944, 98, 391, 347, 1, 3
1758354628040, 5, 6, 941, 101, 390, 348, 9, 3
1758354628040, 13, 22, 938, 101, 391, 354, 1, 4
1758354628040, 5, 9, 951, 102, 399, 345, 2, 3
1758354628040, 4, 8, 948, 98, 400, 348, 2, 3
1758354628040, 4, 9, 947, 97, 395, 345, 3, 4
1758354628040, 6, 9, 944, 100, 391, 345, 2, 2
1758354628040, 5, 8, 952, 102, 394, 345, 1, 2
1758354628040, 3, 7, 944, 99, 393, 348, 2, 2
1758354628040, 5, 7, 939, 100, 394, 353, 2, 6
1758354628040, 0, 7, 944, 105, 396, 349, 3, 4
1758354628040, 2, 20, 935, 100, 391, 354, 2, 3
1758354628040, 5, 6, 944, 97, 402, 349, 11, 3
1758354628040, 3, 3, 939, 99, 392, 349, 2, 9
1758354628040, 3, 16, 935, 96, 394, 350, 3, 3
1758354628040, 5, 6, 940, 98, 392, 349, 1, 3
1758354628040, 5, 5, 936, 94, 391, 345, 1, 5
1758354628040, 4, 5, 935, 98, 392, 349, 2, 3
1758354628040, 6, 4, 935, 97, 395, 345, 1, 3
1758354628040, 4, 4, 943, 96, 391, 348, 1, 4
1758354628040, 5, 6, 935, 98, 396, 351, 2, 2
1758354628040, 3, 6, 933, 98, 392, 349, 1, 4
1758354628040, 9, 6, 928, 99, 395, 347, 2, 12
1758354628040, 3, 7, 929, 102, 395, 345, 2, 3
1758354628040, 5, 22, 935, 102, 391, 348, 2, 3
1758354628040, 6, 10, 933, 102, 395, 345, 2, 3
1758354628040, 4, 8, 935, 100, 395, 352, 3, 6
1758354628040, 6, 9, 928, 101, 394, 350, 2, 1
1758354628040, 3, 7, 928, 100, 395, 346, 2, 4
1758354628040, 6, 7, 932, 96, 396, 348, 2, 3
1758354628040, 3, 5, 931, 99, 391, 348, 1, 3
1758354628040, 3, 5, 924, 98, 392, 351, 1, 4
1758354628040, 6, 3, 927, 108, 393, 350, 2, 2
1758354628040, 1, 3, 923, 102, 392, 350, 2, 2
1758354628040, 1, 3, 931, 101, 392, 347, 2, 2
1758354628040, 3, 19, 923, 102, 395, 348, 2, 9
1758354628040, 3, 21, 919, 101, 392, 350, 2, 3
1758354628040, 3, 6, 927, 99, 399, 348, 3, 3
1758354628040, 4, 8, 924, 100, 395, 349, 1, 2
1758354628040, 5, 5, 926, 103, 397, 348, 2, 3
1758354628040, 2, 6, 920, 104, 393, 346, 7, 11
1758354628040, 5, 6, 919, 100, 395, 347, 2, 3
1758354628040, 4, 7, 924, 101, 392, 347, 10, 3
1758354628040, 4, 8, 924, 108, 396, 352, 2, 3
1758354628040, 6, 7, 927, 101, 393, 347, 2, 3
1758354628040, 4, 9, 920, 99, 397, 351, 6, 3
1758354628040, 3, 23, 927, 97, 396, 348, 2, 4
1758354628040, 4, 11, 920, 99, 392, 351, 1, 2
1758354628040, 5, 18, 920, 96, 396, 348, 0, 2
1758354628040, 5, 18, 919, 95, 395, 350, 1, 4
1758354628040, 4, 7, 927, 92, 391, 347, 2, 2
1758354628040, 1, 5, 924, 96, 403, 349, 4, 9
1758354628040, 4, 5, 927, 99, 391, 347, 1, 4
1758354628040, 2, 3, 926, 95, 392, 353, 2, 3
1758354628040, 4, 4, 920, 96, 396, 351, 2, 2
1758354628040, 5, 4, 919, 95, 390, 347, 2, 6
1758354628040, 2, 4, 923, 93, 391, 350, 1, 3
1758354628040, 2, 4, 927, 95, 394, 348, 1, 3
1758354628040, 3, 4, 927, 95, 392, 349, 1, 1
1758354628040, 3, 4, 924, 94, 391, 348, 2, 0
1758354628040, 1, 6, 927, 94, 392, 351, 4, 2
1758354628040, 5, 6, 927, 95, 392, 350, 1, 4
1758354628040, 8, 7, 923, 94, 394, 347, 1, 4
1758354628040, 2, 7, 927, 95, 392, 348, 1, 2
1758354628040, 1, 8, 926, 95, 394, 350, 2, 4
1758354628040, 4, 8, 931, 96, 392, 347, 9, 4
1758354628040, 6, 8, 921, 94, 392, 352, 8, 3
1758354628040, 2, 8, 924, 96, 394, 347, 2, 4
1758354628040, 5, 7, 927, 99, 395, 349, 2, 3
1758354628040, 4, 9, 927, 95, 395, 349, 3, 6
1758354628040, 4, 21, 932, 93, 394, 349, 3, 3
1758354628040, 3, 7, 928, 96, 394, 351, 1, 3
1758354628040, 2, 4, 934, 98, 398, 349, 2, 2
1758354628040, 2, 3, 935, 96, 392, 349, 2, 2
1758354628040, 4, 11, 928, 97, 391, 349, 2, 3
1758354628040, 3, 5, 933, 95, 401, 349, 2, 3
1758354628040, 3, 4, 933, 97, 392, 348, 2, 8
1758354628040, 4, 4, 932, 94, 395, 350, 2, 4
1758354628040, 3, 4, 932, 97, 391, 351, 1, 5
1758354628040, 8, 19, 928, 97, 391, 353, 2, 2
1758354628040, 3, 7, 934, 99, 390, 355, 2, 1
1758354628040, 5, 6, 928, 100, 393, 349, 0, 6
1758354628040, 4, 6, 932, 102, 392, 350, 2, 1
1758354628040, 6, 8, 928, 102, 393, 349, 5, 3
1758354628040, 4, 8, 941, 97, 394, 349, 3, 3
1758354628040, 14, 8, 941, 98, 390, 349, 3, 8
1758354628040, 7, 24, 942, 99, 392, 347, 3, 5
1758354628040, 6, 10, 931, 101, 395, 349, 2, 4
1758354628040, 2, 8, 935, 99, 391, 353, 2, 4
1758354628040, 5, 7, 947, 95, 393, 351, 1, 2
1758354628040, 3, 6, 934, 97, 392, 347, 2, 8
1758354628040, 2, 4, 940, 97, 395, 348, 3, 1
1758354628040, 2, 4, 932, 97, 393, 347, 8, 1
1758354628040, 6, 3, 942, 96, 393, 350, 2, 3
1758354628040, 4, 4, 947, 95, 395, 347, 2, 7
1758354628040, 6, 4, 951, 100, 392, 346, 2, 4
1758354628040, 1, 19, 935, 100, 392, 354, 2, 2
1758354628040, 4, 6, 939, 103, 393, 347, 6, 2
1758354628040, 9, 5, 944, 100, 395, 347, 4, 4
1758354628040, 3, 6, 944, 102, 392, 351, 2, 2
1758354628040, 2, 9, 948, 99, 396, 348, 8, 2
1758354628040, 4, 14, 948, 102, 395, 349, 2, 3
1758354628040, 3, 7, 944, 100, 395, 348, 2, 4
1758354628040, 4, 8, 948, 100, 391, 350, 5, 9
1758354628040, 4, 8, 951, 100, 390, 348, 2, 4
1758354628040, 3, 8, 951, 100, 392, 349, 3, 4
1758354628040, 7, 22, 948, 101, 397, 349, 1, 3
1758354628040, 4, 9, 944, 99, 394, 354, 2, 3
1758354628040, 4, 8, 944, 98, 392, 349, 2, 3
1758354628040, 6, 7, 955, 99, 400, 351, 1, 3
1758354628040, 1, 5, 950, 110, 392, 351, 8, 4
1758354628040, 5, 6, 956, 102, 398, 350, 8, 2
1758354628040, 3, 8, 950, 100, 397, 349, 2, 5
1758354628040, 2, 4, 955, 98, 396, 348, 2, 1
1758354628040, 3, 3, 951, 97, 398, 349, 1, 2
1758354628040, 0, 4, 951, 94, 393, 355, 1, 2
1758354628040, 4, 4, 952, 94, 404, 355, 0, 3
1758354628040, 2, 5, 944, 97, 398, 351, 2, 5
1758354628040, 3, 4, 943, 97, 394, 350, 4, 5
1758354628040, 11, 5, 944, 97, 393, 349, 1, 4
1758354628040, 1, 5, 952, 100, 399, 349, 2, 5
1758354628040, 4, 6, 944, 97, 394, 360, 2, 2
1758354628040, 6, 6, 952, 97, 399, 349, 2, 3
1758354628040, 2, 7, 952, 96, 399, 348, 7, 1
1758354628040, 4, 8, 957, 95, 407, 351, 2, 3
1758354628040, 6, 8, 960, 96, 395, 351, 3, 4
1758354628040, 3, 9, 961, 97, 398, 350, 2, 3
1758354628040, 4, 8, 959, 102, 396, 349, 1, 4
1758354628040, 6, 7, 956, 96, 395, 348, 2, 3
1758354628040, 5, 7, 953, 95, 398, 352, 1, 3
1758354628040, 3, 6, 953, 92, 399, 350, 2, 2
1758354628040, 4, 5, 951, 98, 395, 350, 1, 3
1758354628040, 5, 17, 956, 96, 399, 350, 1, 6
1758354628040, 13, 6, 963, 97, 397, 345, 1, 3
1758354628040, 2, 4, 959, 97, 399, 346, 3, 3
1758354628040, 5, 4, 958, 98, 397, 346, 2, 3
1758354628040, 5, 4, 951, 104, 395, 351, 1, 4
1758354628040, 7, 4, 965, 97, 397, 346, 1, 4
1758354628040, 3, 5, 959, 99, 395, 347, 6, 4
1758354628040, 2, 4, 967, 96, 397, 346, 2, 1
1758354628040, 4, 6, 968, 96, 409, 347, 1, 2
1758354628040, 3, 20, 964, 109, 412, 347, 4, 3
1758354628040, 10, 8, 959, 98, 395, 348, 1, 3
1758354628040, 4, 21, 960, 99, 395, 345, 3, 2
1758354628040, 3, 17, 966, 98, 397, 348, 10, 4
1758354628040, 4, 10, 967, 96, 395, 348, 10, 5
1758354628040, 15, 23, 955, 101, 399, 343, 1, 3
1758354628040, 4, 11, 954, 95, 399, 346, 9, 3
1758354628040, 4, 8, 960, 100, 396, 353, 1, 2
1758354628040, 3, 8, 967, 101, 400, 344, 3, 5
1758354628040, 3, 6, 960, 103, 395, 348, 2, 3
1758354628040, 3, 4, 960, 99, 400, 350, 6, 4
1758354628040, 0, 5, 966, 100, 397, 349, 1, 3
1758354628040, 3, 4, 967, 99, 397, 345, 2, 4
1758354628040, 4, 3, 967, 100, 399, 348, 2, 4
1758354628040, 6, 4, 972, 101, 397, 347, 2, 3
1758354628040, 3, 3, 960, 99, 396, 344, 2, 4
1758354628040, 3, 4, 975, 100, 400, 345, 2, 3
1758354628040, 9, 4, 961, 101, 400, 346, 2, 3
