unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758354663928, K, 1, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758354664069, 4, 23, 877, 60, 388, 332, 2, 3
1758354664069, 4, 20, 872, 59, 388, 335, 1, 3
1758354664069, 6, 8, 879, 59, 391, 330, 2, 3
1758354664069, 3, 7, 867, 59, 391, 334, 1, 4
1758354664069, 6, 8, 867, 59, 390, 332, 2, 2
1758354664069, 6, 7, 867, 61, 386, 332, 2, 9
1758354664069, 5, 9, 876, 60, 389, 330, 1, 4
1758354664069, 3, 8, 880, 55, 392, 330, 2, 3
1758354664069, 0, 8, 865, 58, 386, 333, 1, 4
1758354664069, 3, 7, 874, 60, 387, 338, 2, 11
1758354664069, 5, 7, 872, 59, 393, 331, 2, 6
1758354664069, 8, 6, 867, 58, 387, 333, 1, 4
1758354664069, 5, 4, 870, 71, 385, 329, 1, 3
1758354664069, 5, 4, 871, 69, 390, 334, 1, 3
1758354664069, 6, 4, 865, 60, 386, 331, 2, 3
1758354664069, 4, 3, 875, 57, 387, 333, 2, 6
1758354664069, 3, 4, 872, 58, 388, 335, 1, 4
1758354664069, 4, 17, 863, 61, 386, 332, 1, 5
1758354664069, 4, 6, 864, 61, 387, 332, 2, 4
1758354664069, 2, 5, 868, 59, 388, 330, 3, 3
1758354664069, 4, 11, 871, 61, 398, 332, 4, 2
1758354664069, 2, 7, 871, 58, 390, 336, 2, 4
1758354664069, 5, 7, 861, 57, 390, 337, 2, 6
1758354664069, 3, 7, 871, 59, 388, 331, 1, 3
1758354664069, 1, 9, 870, 59, 388, 330, 2, 6
1758354664069, 9, 16, 871, 58, 386, 332, 2, 3
1758354664069, 4, 10, 864, 63, 391, 335, 2, 3
1758354664069, 3, 23, 870, 59, 391, 332, 2, 3
1758354664069, 3, 10, 863, 62, 387, 331, 2, 2
1758354664069, 3, 16, 859, 60, 397, 331, 1, 4
1758354664069, 9, 8, 871, 55, 385, 331, 1, 4
1758354664069, 5, 21, 861, 59, 388, 335, 1, 1
1758354664069, 3, 6, 870, 59, 391, 331, 5, 3
1758354664069, 3, 17, 870, 58, 388, 332, 2, 3
1758354664069, 5, 6, 863, 57, 385, 340, 3, 3
1758354664069, 1, 4, 865, 59, 385, 335, 0, 3
1758354664069, 5, 4, 871, 57, 385, 333, 1, 3
1758354664069, 6, 6, 864, 61, 388, 331, 2, 10
1758354664069, 8, 4, 871, 57, 391, 335, 1, 13
1758354664069, 5, 6, 872, 57, 390, 335, 1, 2
1758354664069, 4, 6, 872, 62, 385, 335, 1, 0
1758354664069, 6, 6, 871, 58, 390, 335, 2, 3
1758354664069, 4, 7, 871, 58, 397, 338, 2, 2
1758354664069, 2, 7, 864, 57, 387, 334, 1, 2
1758354664069, 3, 7, 864, 60, 386, 335, 2, 2
1758354664069, 3, 8, 864, 58, 388, 337, 2, 3
