unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758354687937, K, 3, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758354688741, 2, 6, 785, 102, 393, 344, 1, 56
1758354688741, 5, 22, 792, 100, 388, 347, 2, 59
1758354688741, 4, 10, 788, 98, 391, 344, 1, 52
1758354688741, 3, 9, 783, 100, 390, 349, 2, 52
1758354688741, 4, 9, 788, 99, 391, 345, 1, 55
1758354688741, 3, 9, 788, 101, 389, 343, 8, 61
1758354688741, 4, 8, 783, 98, 391, 344, 2, 54
1758354688741, 6, 10, 797, 97, 390, 343, 2, 52
1758354688741, 4, 7, 791, 97, 391, 343, 2, 52
1758354688741, 4, 5, 784, 100, 393, 344, 9, 51
1758354688741, 3, 5, 791, 100, 388, 352, 8, 51
1758354688741, 3, 14, 788, 99, 387, 350, 2, 52
1758354688741, 2, 5, 791, 99, 391, 343, 2, 51
1758354688741, 2, 3, 797, 98, 388, 344, 1, 51
1758354688741, 4, 4, 793, 97, 387, 344, 1, 53
1758354688741, 3, 4, 791, 99, 386, 346, 2, 51
1758354688741, 8, 4, 791, 98, 391, 344, 1, 53
1758354688741, 4, 5, 788, 96, 396, 355, 1, 51
1758354688741, 3, 4, 788, 98, 389, 346, 6, 52
1758354688741, 3, 6, 791, 99, 392, 344, 1, 54
1758354688741, 3, 6, 785, 98, 388, 344, 2, 53
1758354688741, 12, 6, 790, 99, 391, 344, 2, 62
1758354688741, 12, 9, 785, 99, 404, 350, 1, 54
1758354688741, 4, 8, 785, 99, 392, 343, 1, 52
1758354688741, 3, 9, 791, 100, 390, 349, 2, 63
1758354688741, 3, 9, 782, 98, 393, 346, 1, 54
1758354688741, 6, 23, 790, 99, 396, 346, 3, 54
1758354688741, 7, 9, 788, 101, 389, 344, 1, 53
1758354688741, 4, 23, 791, 98, 390, 343, 2, 53
1758354688741, 2, 8, 791, 98, 389, 347, 1, 60
1758354688741, 5, 5, 785, 100, 393, 347, 4, 55
1758354688741, 3, 4, 791, 98, 393, 347, 1, 55
1758354688741, 3, 4, 792, 101, 391, 344, 2, 55
1758354688741, 9, 3, 787, 99, 391, 348, 1, 54
1758354688741, 3, 4, 790, 97, 390, 347, 3, 56
1758354688741, 4, 15, 791, 99, 391, 344, 2, 55
1758354688741, 2, 5, 792, 99, 391, 349, 2, 63
1758354688741, 5, 5, 791, 96, 393, 346, 2, 55
1758354688741, 2, 8, 783, 101, 395, 344, 3, 53
1758354688741, 5, 7, 791, 100, 392, 344, 2, 55
1758354688741, 3, 6, 791, 100, 389, 347, 2, 55
1758354688741, 6, 7, 785, 98, 390, 347, 2, 56
1758354688741, 3, 8, 784, 99, 389, 347, 3, 56
1758354688741, 5, 8, 791, 101, 399, 346, 2, 57
1758354688741, 5, 10, 785, 99, 389, 344, 2, 56
1758354688741, 12, 9, 783, 99, 393, 344, 2, 55
1758354688741, 5, 9, 785, 99, 391, 351, 3, 56
1758354688741, 5, 7, 788, 98, 389, 343, 1, 60
1758354688741, 2, 7, 787, 100, 392, 347, 3, 55
1758354688741, 5, 20, 790, 98, 388, 348, 2, 54
1758354688741, 3, 6, 788, 98, 391, 346, 3, 54
1758354688741, 4, 20, 790, 98, 390, 343, 1, 56
1758354688741, 4, 9, 792, 100, 389, 347, 1, 54
1758354688741, 4, 4, 785, 99, 393, 343, 3, 55
1758354688741, 4, 4, 791, 100, 393, 343, 1, 54
1758354688741, 6, 4, 791, 107, 396, 352, 2, 55
1758354688741, 3, 4, 784, 102, 389, 355, 2, 54
1758354688741, 3, 4, 788, 100, 391, 345, 7, 54
1758354688741, 1, 4, 784, 102, 388, 348, 3, 57
1758354688741, 3, 6, 791, 105, 390, 346, 3, 55
