unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758355061296, K, -2, 5, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758355061391, 4, 16, 981, 281, 542, 292, 1, 3
1758355061391, 2, 19, 983, 279, 543, 289, 2, 3
1758355061391, 2, 18, 975, 282, 551, 298, 0, 3
1758355061391, 6, 15, 976, 280, 541, 285, 0, 3
1758355061391, 1, 9, 967, 280, 542, 290, 1, 2
1758355061391, 7, 7, 983, 280, 551, 295, 8, 3
1758355061391, 1, 0, 970, 277, 542, 290, 1, 4
1758355061391, 2, 0, 971, 277, 543, 293, 1, 2
1758355061391, 3, 0, 976, 282, 538, 290, 2, 0
1758355061391, 1, 6, 971, 280, 543, 289, 2, 7
1758355061391, 1, 0, 967, 279, 544, 292, 2, 3
1758355061391, 8, 10, 967, 281, 538, 298, 2, 2
1758355061391, 6, 2, 967, 287, 537, 289, 2, 3
1758355061391, 0, 2, 979, 281, 539, 286, 1, 10
1758355061391, 8, 4, 975, 280, 541, 289, 2, 13
1758355061391, 2, 6, 976, 283, 547, 290, 2, 3
1758355061391, 2, 9, 983, 277, 546, 293, 2, 3
1758355061391, 17, 25, 976, 283, 544, 287, 0, 4
1758355061391, 7, 30, 988, 283, 543, 289, 3, 3
1758355061391, 7, 20, 975, 280, 551, 292, 2, 4
1758355061391, 6, 18, 978, 281, 539, 293, 3, 3
1758355061391, 2, 19, 975, 280, 541, 294, 1, 3
1758355061391, 2, 18, 984, 282, 539, 293, 1, 3
1758355061391, 1, 13, 983, 282, 539, 287, 1, 1
1758355061391, 10, 9, 974, 280, 546, 292, 2, 2
1758355061391, 1, 7, 967, 279, 550, 292, 1, 2
1758355061391, 7, 0, 974, 280, 548, 291, 0, 3
1758355061391, 2, 0, 976, 280, 547, 291, 0, 2
1758355061391, 3, 0, 966, 281, 542, 303, 1, 3
1758355061391, 4, 6, 975, 276, 539, 291, 1, 3
1758355061391, 3, 0, 971, 279, 547, 294, 1, 3
1758355061391, 1, 0, 969, 281, 540, 288, 0, 3
1758355061391, 4, 0, 979, 279, 547, 295, 2, 4
1758355061391, 3, 3, 976, 279, 556, 293, 2, 3
1758355061391, 4, 4, 979, 280, 544, 293, 2, 13
1758355061391, 4, 6, 972, 280, 542, 292, 0, 3
1758355061391, 4, 9, 967, 280, 543, 295, 2, 4
1758355061391, 4, 12, 967, 283, 548, 303, 2, 2
1758355061391, 4, 27, 972, 281, 544, 293, 5, 2
1758355061391, 6, 23, 975, 280, 543, 297, 2, 3
1758355061391, 1, 16, 976, 282, 545, 295, 3, 3
1758355061391, 1, 20, 979, 287, 542, 297, 5, 4
1758355061391, 1, 18, 976, 283, 539, 295, 3, 3
1758355061391, 1, 15, 979, 278, 544, 294, 5, 3
1758355061391, 4, 8, 983, 279, 547, 293, 3, 3
1758355061391, 2, 6, 984, 280, 544, 291, 3, 4
1758355061391, 0, 0, 973, 283, 544, 291, 1, 3
1758355061391, 2, 9, 976, 283, 544, 299, 2, 3
1758355061391, 2, 0, 979, 280, 547, 293, 1, 2
1758355061391, 1, 0, 979, 282, 541, 297, 1, 3
1758355061391, 6, 0, 971, 279, 547, 298, 2, 3
1758355061391, 2, 0, 981, 291, 544, 297, 0, 3
1758355061391, 0, 0, 981, 277, 546, 295, 2, 4
1758355061391, 9, 2, 976, 281, 546, 295, 0, 4
1758355061391, 0, 16, 976, 281, 539, 293, 2, 6
1758355061391, 7, 5, 976, 281, 544, 297, 0, 3
1758355061391, 6, 11, 982, 283, 541, 303, 0, 7
1758355061391, 2, 10, 982, 283, 543, 299, 4, 3
1758355061391, 6, 13, 983, 283, 547, 294, 1, 4
1758355061391, 2, 18, 976, 280, 547, 296, 3, 3
1758355061391, 0, 24, 980, 281, 550, 293, 3, 3
1758355061391, 3, 20, 980, 283, 552, 298, 1, 3
1758355061391, 2, 32, 980, 281, 543, 295, 2, 4
1758355061391, 9, 16, 981, 281, 548, 295, 12, 5
1758355061391, 6, 9, 983, 279, 544, 297, 2, 4
1758355061391, 2, 6, 974, 280, 547, 294, 2, 2
1758355061391, 5, 0, 980, 283, 544, 297, 2, 3
1758355061391, 4, 0, 976, 279, 551, 297, 2, 2
1758355061391, 4, 0, 983, 280, 543, 297, 2, 7
1758355061391, 1, 9, 981, 280, 551, 296, 1, 10
1758355061391, 11, 0, 980, 285, 540, 299, 2, 3
1758355061391, 7, 0, 985, 283, 544, 296, 1, 2
1758355061391, 0, 1, 975, 282, 547, 298, 1, 2
1758355061391, 4, 4, 983, 277, 552, 298, 3, 3
1758355061391, 12, 3, 982, 280, 544, 295, 0, 3
1758355061391, 2, 6, 980, 283, 543, 298, 0, 3
1758355061391, 3, 8, 976, 282, 547, 300, 1, 3
1758355061391, 4, 11, 976, 282, 541, 301, 3, 3
1758355061391, 2, 27, 982, 280, 544, 296, 2, 1
1758355061391, 8, 33, 980, 282, 547, 295, 3, 3
1758355061391, 4, 18, 987, 278, 539, 296, 7, 3
1758355061391, 5, 20, 983, 280, 547, 293, 1, 2
1758355061391, 2, 19, 974, 277, 547, 297, 0, 3
1758355061391, 3, 14, 987, 279, 541, 297, 2, 3
1758355061391, 7, 8, 983, 279, 547, 297, 3, 4
1758355061391, 7, 6, 982, 279, 547, 299, 1, 3
1758355061391, 1, 0, 980, 281, 540, 296, 1, 3
1758355061391, 1, 0, 976, 279, 551, 297, 3, 7
1758355061391, 3, 0, 976, 278, 547, 295, 1, 3
1758355061391, 1, 0, 984, 289, 547, 297, 3, 3
1758355061391, 3, 0, 983, 280, 543, 297, 1, 7
1758355061391, 4, 0, 979, 280, 543, 307, 2, 2
1758355061391, 4, 0, 986, 280, 544, 298, 2, 4
1758355061391, 4, 3, 987, 277, 547, 300, 1, 4
1758355061393, 14, 20, 975, 282, 547, 296, 2, 3
1758355061393, 3, 8, 976, 280, 544, 311, 3, 7
1758355061393, 2, 8, 989, 280, 547, 295, 0, 4
1758355061393, 4, 24, 977, 280, 544, 296, 1, 4
1758355061394, 7, 15, 982, 282, 544, 299, 5, 4
1758355061394, 0, 19, 983, 282, 544, 300, 1, 3
1758355061398, 4, 32, 984, 283, 548, 300, 1, 2
1758355061398, 0, 22, 982, 278, 544, 296, 4, 3
1758355061398, 9, 20, 983, 278, 549, 295, 1, 3
1758355061402, 4, 14, 983, 284, 546, 295, 2, 3
1758355061402, 5, 8, 975, 280, 544, 298, 8, 3
1758355061402, 3, 6, 987, 280, 547, 303, 3, 2
1758355061412, 0, 7, 980, 281, 543, 294, 2, 2
1758355061412, 0, 1, 987, 280, 546, 299, 3, 4
1758355061412, 2, 9, 980, 276, 547, 295, 10, 3
1758355061412, 4, 5, 977, 279, 543, 292, 2, 3
1758355061412, 3, 0, 987, 283, 547, 299, 2, 11
1758355061412, 2, 0, 976, 279, 542, 295, 2, 3
1758355061412, 2, 0, 977, 280, 547, 296, 1, 3
1758355061412, 4, 2, 977, 277, 549, 290, 1, 4
1758355061412, 5, 5, 987, 281, 551, 294, 1, 3
1758355061412, 3, 5, 983, 278, 539, 295, 3, 4
1758355061423, 5, 9, 983, 280, 543, 295, 2, 2
1758355061423, 7, 11, 983, 277, 549, 292, 1, 3
1758355061423, 2, 15, 984, 280, 544, 294, 2, 3
1758355061423, 4, 18, 979, 280, 547, 291, 0, 4
1758355061423, 6, 17, 977, 279, 547, 296, 2, 4
1758355061423, 2, 19, 979, 280, 543, 291, 1, 4
1758355061423, 4, 19, 976, 280, 546, 290, 3, 3
1758355061423, 2, 14, 974, 280, 544, 297, 0, 3
1758355061423, 3, 9, 984, 284, 544, 291, 1, 4
1758355061423, 5, 7, 991, 279, 549, 290, 2, 2
1758355061423, 3, 0, 975, 283, 547, 294, 1, 4
1758355061435, 5, 0, 976, 280, 544, 294, 2, 3
1758355061435, 7, 7, 975, 283, 544, 296, 2, 3
1758355061435, 5, 0, 984, 281, 551, 294, 5, 3
1758355061435, 4, 0, 991, 282, 541, 299, 1, 3
1758355061435, 5, 0, 987, 280, 544, 293, 2, 4
1758355061435, 4, 15, 979, 279, 544, 296, 2, 3
1758355061435, 3, 4, 986, 280, 548, 292, 1, 4
1758355061435, 5, 4, 975, 282, 547, 298, 7, 3
1758355061435, 6, 6, 992, 284, 544, 295, 1, 4
1758355061435, 7, 8, 983, 279, 545, 295, 3, 3
1758355061435, 3, 11, 983, 285, 544, 299, 2, 4
1758355061435, 0, 14, 982, 279, 539, 298, 2, 3
1758355061435, 7, 17, 983, 280, 541, 296, 2, 3
1758355061447, 8, 16, 985, 283, 542, 292, 2, 4
1758355061447, 7, 33, 971, 284, 549, 293, 3, 3
1758355061447, 4, 19, 973, 282, 541, 294, 2, 4
1758355061447, 2, 14, 980, 281, 541, 292, 2, 3
1758355061447, 4, 23, 974, 281, 543, 291, 1, 5
1758355061447, 0, 8, 983, 281, 543, 297, 2, 3
1758355061447, 1, 1, 983, 280, 551, 294, 2, 2
1758355061447, 5, 0, 976, 285, 547, 292, 2, 3
1758355061447, 7, 0, 983, 280, 546, 291, 1, 3
1758355061447, 3, 0, 980, 280, 543, 294, 2, 3
1758355061447, 1, 0, 983, 280, 543, 295, 2, 2
1758355061459, 0, 0, 983, 281, 544, 297, 1, 3
1758355061459, 1, 0, 979, 280, 544, 292, 3, 3
1758355061459, 3, 3, 975, 283, 539, 290, 3, 3
1758355061459, 7, 5, 976, 283, 545, 293, 2, 3
1758355061459, 0, 5, 980, 281, 540, 295, 0, 3
1758355061459, 2, 9, 983, 280, 538, 289, 2, 5
1758355061459, 7, 26, 967, 282, 547, 293, 2, 3
1758355061459, 4, 16, 980, 279, 544, 289, 2, 7
1758355061459, 6, 17, 978, 279, 543, 290, 2, 4
1758355061459, 11, 16, 988, 282, 540, 292, 2, 3
