unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758355073308, K, 0, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758355073471, 0, 0, 1016, 257, 525, 334, 2, 4
1758355073471, 6, 0, 1007, 256, 533, 332, 0, 3
1758355073471, 4, 0, 1008, 254, 533, 331, 2, 2
1758355073471, 14, 0, 999, 253, 535, 329, 1, 5
1758355073471, 5, 3, 1005, 254, 532, 327, 2, 3
1758355073471, 6, 5, 999, 254, 530, 329, 2, 3
1758355073471, 6, 6, 999, 256, 528, 334, 3, 4
1758355073471, 1, 9, 1013, 259, 528, 328, 9, 3
1758355073471, 5, 12, 1003, 259, 528, 332, 3, 2
1758355073471, 4, 29, 1010, 255, 531, 335, 3, 3
1758355073471, 0, 21, 1008, 258, 530, 331, 1, 7
1758355073471, 3, 19, 1003, 256, 529, 335, 2, 3
1758355073471, 4, 35, 1012, 261, 531, 333, 2, 3
1758355073471, 10, 21, 1015, 257, 535, 330, 0, 3
1758355073471, 3, 14, 1015, 254, 528, 333, 6, 2
1758355073471, 0, 9, 1003, 257, 532, 331, 1, 4
1758355073471, 11, 4, 1005, 257, 530, 333, 9, 4
1758355073471, 1, 0, 1007, 259, 528, 331, 1, 2
1758355073471, 4, 0, 1015, 257, 526, 331, 1, 3
1758355073471, 3, 8, 1009, 259, 530, 334, 1, 3
1758355073471, 3, 7, 1008, 256, 533, 329, 2, 3
1758355073471, 3, 12, 1008, 257, 531, 334, 2, 3
1758355073471, 14, 0, 1009, 263, 530, 328, 0, 3
1758355073471, 1, 0, 1008, 261, 525, 335, 3, 2
1758355073471, 3, 2, 1007, 261, 527, 329, 2, 3
1758355073471, 3, 19, 1012, 259, 533, 335, 2, 2
1758355073471, 4, 8, 1008, 263, 526, 335, 2, 4
1758355073471, 1, 10, 1007, 262, 528, 334, 2, 3
1758355073471, 3, 11, 1019, 260, 527, 331, 2, 3
1758355073471, 4, 16, 1008, 260, 524, 336, 3, 4
1758355073471, 2, 19, 1019, 260, 525, 327, 1, 3
1758355073471, 4, 19, 1009, 262, 528, 327, 1, 4
1758355073471, 5, 30, 1009, 271, 527, 324, 1, 4
1758355073471, 7, 34, 1007, 263, 524, 330, 1, 2
1758355073471, 2, 15, 1019, 257, 527, 339, 6, 4
1758355073471, 2, 8, 1016, 259, 527, 328, 0, 12
1758355073471, 0, 4, 1021, 260, 523, 323, 1, 8
1758355073471, 15, 0, 1009, 264, 527, 327, 1, 2
1758355073471, 6, 0, 1021, 260, 523, 325, 3, 4
1758355073471, 2, 7, 1018, 260, 529, 331, 2, 12
1758355073471, 6, 0, 1019, 260, 537, 328, 2, 3
1758355073471, 4, 0, 1023, 262, 524, 325, 1, 3
1758355073471, 6, 0, 1023, 261, 523, 328, 3, 3
1758355073471, 7, 0, 1007, 262, 527, 328, 3, 3
1758355073471, 0, 2, 1021, 261, 527, 328, 3, 4
1758355073471, 1, 14, 1023, 260, 523, 324, 2, 3
1758355073471, 3, 7, 1019, 262, 531, 328, 0, 2
