unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758355121336, K, 4, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758355121478, 8, 0, 663, 258, 517, 321, 1, 3
1758355121478, 10, 1, 671, 254, 503, 320, 1, 3
1758355121478, 2, 3, 668, 253, 508, 323, 0, 3
1758355121478, 3, 4, 662, 258, 517, 324, 2, 2
1758355121478, 2, 7, 659, 267, 510, 320, 1, 4
1758355121478, 1, 25, 664, 259, 508, 323, 1, 2
1758355121478, 4, 14, 666, 258, 511, 324, 2, 3
1758355121478, 1, 17, 668, 259, 511, 322, 1, 2
1758355121478, 9, 18, 663, 255, 506, 320, 3, 3
1758355121478, 1, 19, 665, 256, 507, 324, 1, 3
1758355121478, 12, 20, 663, 259, 507, 327, 1, 4
1758355121478, 2, 16, 663, 261, 504, 321, 1, 3
1758355121478, 1, 10, 668, 255, 523, 318, 0, 2
1758355121478, 2, 7, 668, 255, 510, 323, 2, 3
1758355121478, 12, 3, 672, 256, 511, 317, 1, 3
1758355121478, 5, 0, 664, 259, 505, 323, 0, 2
1758355121478, 4, 0, 667, 257, 509, 320, 1, 3
1758355121478, 0, 7, 663, 264, 503, 319, 2, 3
1758355121478, 6, 0, 671, 256, 510, 328, 1, 3
1758355121478, 7, 0, 672, 256, 506, 325, 3, 2
1758355121478, 3, 0, 668, 256, 508, 323, 3, 3
1758355121478, 0, 0, 666, 258, 512, 329, 2, 3
1758355121478, 7, 4, 664, 260, 511, 323, 2, 4
1758355121478, 4, 21, 663, 257, 511, 322, 0, 4
1758355121478, 7, 9, 663, 258, 507, 324, 8, 2
1758355121478, 0, 11, 668, 262, 512, 321, 3, 7
1758355121478, 6, 12, 663, 258, 509, 323, 2, 2
1758355121478, 6, 16, 663, 257, 511, 321, 3, 3
1758355121478, 1, 17, 669, 259, 512, 328, 2, 4
1758355121478, 0, 18, 664, 257, 508, 325, 4, 3
1758355121478, 8, 19, 671, 256, 511, 322, 1, 3
1758355121478, 5, 16, 669, 257, 508, 330, 3, 3
1758355121478, 2, 26, 661, 258, 512, 326, 1, 3
