unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758355133335, K, 5, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758355133461, 5, 7, 531, 245, 513, 393, 5, 3
1758355133461, 2, 0, 533, 242, 505, 391, 2, 3
1758355133461, 1, 1, 533, 244, 515, 391, 2, 2
1758355133461, 3, 1, 531, 252, 511, 392, 0, 5
1758355133461, 0, 7, 531, 244, 507, 393, 0, 2
1758355133461, 7, 6, 528, 242, 507, 387, 2, 2
1758355133461, 5, 20, 533, 244, 511, 390, 2, 3
1758355133461, 0, 12, 536, 253, 520, 393, 1, 7
1758355133461, 6, 12, 537, 242, 507, 399, 2, 7
1758355133461, 0, 14, 536, 247, 512, 391, 6, 3
1758355133461, 0, 18, 536, 243, 512, 388, 2, 2
1758355133461, 4, 17, 544, 243, 508, 399, 0, 4
1758355133461, 6, 30, 543, 243, 511, 387, 1, 3
1758355133461, 7, 33, 534, 244, 512, 390, 1, 3
1758355133461, 3, 12, 539, 248, 511, 399, 3, 4
1758355133461, 11, 16, 536, 243, 513, 392, 2, 3
1758355133461, 3, 4, 539, 244, 504, 392, 2, 3
1758355133461, 1, 0, 536, 253, 511, 393, 2, 2
1758355133461, 2, 0, 534, 244, 507, 399, 1, 3
1758355133461, 4, 0, 537, 244, 510, 392, 1, 3
1758355133461, 3, 0, 536, 243, 511, 393, 2, 3
1758355133461, 0, 5, 531, 241, 504, 395, 2, 2
1758355133461, 5, 1, 531, 247, 510, 392, 2, 3
1758355133461, 3, 14, 536, 243, 508, 388, 0, 3
1758355133461, 0, 8, 536, 245, 510, 396, 3, 3
1758355133461, 3, 6, 536, 243, 510, 394, 0, 3
1758355133461, 4, 23, 539, 244, 505, 390, 6, 3
1758355133461, 3, 12, 536, 250, 503, 393, 1, 8
1758355133461, 5, 12, 533, 249, 514, 392, 0, 4
1758355133461, 3, 15, 539, 245, 511, 387, 3, 3
1758355133461, 3, 18, 537, 243, 520, 391, 2, 2
1758355133461, 3, 17, 539, 244, 511, 391, 10, 3
1758355133461, 9, 17, 539, 245, 515, 392, 3, 3
1758355133461, 1, 19, 532, 244, 507, 389, 2, 3
1758355133461, 10, 11, 536, 247, 520, 389, 2, 2
1758355133461, 0, 7, 544, 245, 507, 392, 2, 4
1758355133461, 7, 3, 534, 247, 507, 395, 0, 10
1758355133461, 1, 0, 531, 243, 511, 393, 2, 4
1758355133461, 5, 0, 537, 244, 520, 391, 2, 2
1758355133461, 3, 7, 532, 253, 505, 395, 2, 7
1758355133461, 5, 9, 531, 242, 512, 391, 2, 3
1758355133461, 4, 0, 535, 244, 508, 387, 2, 3
1758355133461, 2, 10, 539, 248, 507, 393, 2, 3
1758355133461, 2, 17, 537, 243, 513, 395, 3, 4
1758355133461, 0, 6, 531, 243, 507, 397, 2, 3
1758355133461, 2, 6, 536, 245, 506, 392, 2, 3
1758355133461, 4, 7, 535, 243, 513, 396, 3, 3
1758355133461, 9, 10, 532, 249, 512, 393, 2, 3
1758355133461, 4, 12, 530, 243, 510, 398, 0, 3
1758355133461, 3, 23, 533, 241, 513, 394, 1, 3
1758355133461, 1, 19, 533, 244, 513, 392, 1, 3
1758355133461, 2, 17, 539, 243, 511, 391, 2, 5
1758355133461, 4, 18, 534, 244, 507, 394, 0, 3
1758355133461, 0, 16, 541, 241, 503, 392, 3, 3
1758355133461, 7, 11, 532, 246, 511, 392, 3, 2
1758355133461, 0, 6, 537, 244, 515, 391, 2, 3
1758355133461, 0, 19, 531, 244, 507, 392, 4, 4
1758355133461, 5, 0, 537, 241, 506, 390, 1, 3
1758355133461, 0, 0, 534, 242, 509, 391, 3, 3
1758355133461, 2, 0, 535, 246, 513, 389, 1, 3
1758355133461, 4, 8, 534, 244, 505, 393, 5, 3
1758355133461, 2, 9, 535, 242, 511, 390, 2, 4
1758355133461, 7, 2, 535, 241, 507, 395, 2, 3
1758355133461, 0, 16, 535, 247, 511, 393, 0, 3
1758355133461, 6, 5, 531, 243, 509, 393, 0, 4
1758355133461, 9, 5, 532, 242, 507, 392, 3, 1
1758355133461, 5, 7, 533, 242, 511, 395, 3, 3
1758355133461, 3, 9, 535, 241, 505, 394, 0, 3
1758355133461, 2, 11, 532, 242, 512, 392, 2, 3
1758355133461, 5, 15, 532, 243, 511, 391, 3, 3
1758355133461, 4, 18, 529, 241, 505, 394, 2, 3
1758355133461, 3, 16, 529, 243, 510, 386, 3, 4
1758355133461, 3, 18, 535, 243, 515, 392, 2, 3
1758355133461, 7, 30, 529, 242, 508, 391, 3, 3
1758355133461, 5, 29, 531, 244, 504, 390, 0, 3
1758355133461, 7, 9, 532, 243, 506, 400, 3, 3
1758355133461, 1, 3, 537, 243, 510, 395, 3, 8
1758355133461, 3, 0, 537, 244, 507, 395, 2, 3
1758355133461, 0, 0, 535, 241, 512, 397, 1, 12
1758355133461, 1, 0, 535, 242, 506, 391, 1, 3
1758355133461, 3, 0, 532, 244, 512, 391, 1, 3
1758355133461, 0, 0, 531, 245, 512, 399, 1, 3
1758355133461, 6, 9, 531, 241, 508, 391, 1, 2
1758355133461, 2, 2, 535, 243, 508, 391, 2, 1
1758355133461, 7, 3, 531, 241, 507, 391, 3, 4
1758355133461, 2, 5, 530, 244, 511, 399, 2, 12
1758355133461, 7, 15, 534, 244, 514, 393, 2, 3
1758355133461, 5, 11, 532, 243, 511, 395, 2, 3
1758355133461, 13, 13, 533, 245, 511, 391, 2, 5
1758355133461, 0, 16, 534, 253, 513, 391, 2, 3
1758355133461, 2, 32, 532, 245, 516, 397, 3, 3
1758355133461, 2, 19, 535, 243, 509, 391, 2, 12
1758355133461, 5, 19, 537, 244, 511, 393, 2, 3
1758355133461, 4, 16, 535, 243, 506, 393, 3, 5
1758355133461, 0, 11, 537, 243, 508, 403, 1, 3
1758355133461, 3, 7, 530, 243, 508, 395, 4, 3
1758355133461, 4, 13, 534, 243, 502, 400, 5, 3
1758355133461, 4, 13, 532, 243, 508, 393, 0, 4
1758355133461, 2, 0, 537, 254, 505, 392, 1, 2
1758355133461, 2, 0, 544, 243, 511, 393, 1, 2
1758355133461, 3, 0, 535, 245, 507, 396, 2, 3
1758355133461, 3, 0, 539, 243, 507, 396, 2, 4
1758355133461, 4, 0, 534, 245, 512, 391, 3, 4
