unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758352550085, L, -1, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758352550142, 6, 8, 808, 49, 236, 268, 1, 3
1758352550142, 3, 5, 815, 46, 236, 272, 1, 3
1758352550142, 2, 3, 813, 44, 235, 269, 2, 3
1758352550142, 8, 4, 812, 42, 235, 270, 9, 3
1758352550142, 2, 3, 812, 44, 241, 269, 1, 3
1758352550142, 2, 3, 805, 45, 233, 271, 2, 3
1758352550142, 6, 11, 814, 44, 235, 269, 2, 2
1758352550142, 4, 19, 815, 44, 235, 270, 1, 2
1758352550142, 3, 6, 813, 47, 236, 270, 1, 3
1758352550142, 3, 5, 812, 44, 231, 268, 2, 1
1758352550142, 3, 4, 814, 45, 237, 273, 2, 3
1758352550142, 4, 6, 815, 45, 235, 269, 6, 2
1758352550142, 2, 6, 803, 45, 235, 268, 2, 3
1758352550142, 6, 9, 812, 46, 232, 273, 2, 4
1758352550142, 10, 8, 815, 45, 233, 268, 1, 3
1758352550142, 5, 9, 805, 45, 234, 269, 5, 3
1758352550142, 3, 9, 807, 43, 237, 272, 1, 4
1758352550142, 4, 10, 810, 43, 235, 269, 1, 2
1758352550142, 7, 7, 815, 46, 239, 270, 3, 3
1758352550142, 3, 21, 810, 44, 238, 279, 2, 3
1758352550142, 3, 9, 802, 46, 233, 273, 2, 2
1758352550142, 2, 6, 815, 44, 232, 278, 2, 3
1758352550142, 7, 4, 799, 45, 234, 272, 2, 3
1758352550142, 5, 5, 810, 44, 234, 270, 2, 3
1758352550142, 5, 17, 808, 45, 236, 268, 1, 3
1758352550142, 4, 5, 808, 46, 235, 271, 2, 4
1758352550142, 3, 5, 813, 43, 235, 269, 1, 3
1758352550142, 3, 3, 818, 44, 233, 270, 2, 3
1758352550142, 3, 3, 813, 45, 236, 265, 2, 3
1758352550142, 4, 4, 808, 44, 236, 270, 1, 4
1758352550142, 5, 4, 805, 51, 233, 267, 1, 3
1758352550142, 6, 5, 813, 45, 232, 267, 1, 4
1758352550142, 3, 6, 806, 44, 234, 266, 2, 7
1758352550142, 5, 7, 815, 45, 236, 270, 2, 4
1758352550142, 5, 8, 819, 45, 236, 271, 1, 9
1758352550142, 2, 7, 819, 44, 236, 270, 2, 3
1758352550142, 4, 9, 805, 45, 235, 269, 1, 3
1758352550142, 7, 8, 813, 44, 231, 270, 2, 3
1758352550142, 4, 9, 808, 43, 233, 271, 3, 13
1758352550142, 5, 9, 815, 45, 239, 270, 2, 4
1758352550142, 0, 7, 807, 45, 243, 267, 6, 3
1758352550142, 3, 6, 803, 42, 242, 273, 2, 3
1758352550142, 4, 4, 815, 44, 234, 268, 2, 12
1758352550142, 8, 5, 810, 43, 239, 267, 2, 3
1758352550142, 3, 3, 820, 45, 238, 264, 2, 3
1758352550142, 4, 3, 805, 52, 237, 271, 1, 6
1758352550142, 3, 4, 805, 50, 233, 268, 0, 3
1758352550142, 6, 4, 813, 44, 236, 270, 3, 3
1758352550142, 3, 3, 816, 43, 237, 267, 1, 3
1758352550142, 3, 4, 808, 45, 236, 267, 1, 4
1758352550142, 2, 4, 804, 45, 234, 267, 1, 3
1758352550142, 2, 4, 816, 45, 234, 268, 2, 4
1758352550142, 3, 5, 807, 45, 236, 270, 1, 3
1758352550142, 8, 6, 814, 45, 234, 268, 2, 3
1758352550142, 2, 8, 815, 44, 233, 269, 2, 2
1758352550142, 3, 8, 815, 45, 236, 271, 3, 4
1758352550142, 3, 9, 807, 50, 236, 271, 3, 3
1758352550142, 10, 9, 808, 46, 240, 268, 3, 4
1758352550142, 3, 7, 815, 43, 234, 271, 2, 1
1758352550142, 4, 7, 807, 40, 234, 271, 8, 3
1758352550142, 11, 8, 808, 42, 237, 272, 1, 3
1758352550142, 5, 6, 812, 43, 234, 271, 3, 4
1758352550142, 10, 4, 812, 44, 233, 272, 2, 3
1758352550142, 5, 19, 815, 43, 239, 269, 2, 3
1758352550142, 3, 5, 807, 43, 235, 269, 1, 10
