unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758352831757, L, -2, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758352831923, 7, 11, 815, 78, 405, 218, 0, 2
1758352831923, 1, 11, 824, 78, 399, 219, 1, 4
1758352831923, 2, 8, 813, 77, 393, 220, 3, 2
1758352831923, 4, 7, 811, 79, 394, 220, 2, 2
1758352831923, 2, 6, 811, 76, 398, 220, 2, 3
1758352831923, 0, 6, 811, 76, 399, 220, 2, 4
1758352831923, 3, 4, 815, 76, 397, 220, 4, 3
1758352831923, 5, 3, 818, 76, 399, 217, 2, 3
1758352831923, 0, 4, 819, 79, 393, 225, 9, 3
1758352831923, 3, 12, 824, 77, 395, 216, 2, 3
1758352831923, 6, 5, 816, 76, 400, 220, 1, 2
1758352831923, 9, 4, 823, 78, 393, 218, 2, 4
1758352831923, 1, 5, 819, 76, 396, 227, 1, 2
1758352831923, 2, 4, 827, 79, 392, 221, 2, 4
1758352831923, 1, 6, 827, 78, 404, 218, 2, 3
1758352831923, 4, 6, 824, 75, 394, 221, 2, 3
1758352831923, 6, 6, 824, 76, 399, 220, 2, 3
1758352831923, 5, 7, 830, 77, 395, 220, 4, 3
1758352831923, 3, 8, 828, 77, 396, 217, 2, 4
1758352831923, 7, 8, 827, 76, 398, 221, 2, 3
1758352831923, 2, 9, 815, 76, 409, 220, 2, 2
1758352831923, 4, 8, 829, 77, 395, 222, 2, 7
1758352831923, 3, 7, 821, 77, 397, 221, 2, 3
1758352831923, 7, 7, 819, 75, 394, 222, 1, 3
1758352831923, 5, 6, 827, 81, 399, 223, 1, 3
1758352831923, 1, 5, 831, 76, 399, 220, 2, 3
1758352831923, 3, 16, 826, 77, 399, 220, 10, 3
1758352831923, 2, 5, 819, 78, 396, 222, 2, 3
1758352831923, 2, 18, 826, 75, 400, 229, 1, 2
1758352831923, 3, 6, 819, 78, 399, 223, 1, 6
1758352831923, 7, 10, 824, 80, 400, 222, 3, 3
1758352831923, 3, 5, 829, 77, 397, 223, 1, 3
1758352831923, 4, 5, 827, 79, 397, 222, 9, 12
1758352831923, 5, 5, 824, 78, 397, 224, 1, 3
1758352831923, 6, 6, 815, 80, 400, 222, 2, 3
1758352831923, 5, 5, 815, 85, 397, 221, 1, 3
1758352831923, 13, 22, 822, 76, 397, 226, 3, 3
1758352831923, 4, 9, 828, 79, 398, 223, 2, 4
1758352831923, 6, 8, 827, 79, 402, 220, 3, 3
1758352831923, 13, 10, 817, 76, 397, 220, 2, 3
1758352831923, 4, 9, 815, 78, 400, 225, 2, 2
1758352831923, 4, 23, 818, 80, 400, 219, 2, 3
1758352831923, 3, 11, 811, 82, 400, 220, 2, 3
1758352831923, 4, 7, 809, 76, 398, 219, 6, 4
1758352831923, 1, 7, 807, 76, 399, 220, 2, 3
1758352831923, 4, 4, 806, 77, 398, 216, 2, 3
1758352831923, 6, 4, 811, 79, 399, 219, 1, 3
1758352831923, 3, 3, 819, 75, 402, 218, 2, 2
1758352831923, 3, 4, 811, 78, 401, 218, 2, 3
1758352831923, 7, 18, 824, 76, 400, 218, 2, 3
1758352831923, 4, 19, 822, 78, 402, 223, 5, 4
1758352831923, 7, 7, 819, 79, 404, 217, 3, 3
1758352831923, 5, 5, 826, 82, 404, 218, 6, 2
1758352831923, 1, 5, 827, 82, 397, 221, 3, 3
1758352831923, 3, 7, 821, 79, 397, 218, 2, 4
1758352831923, 9, 6, 827, 77, 400, 217, 3, 2
1758352831923, 4, 8, 823, 77, 404, 226, 2, 3
1758352831923, 8, 9, 821, 77, 399, 219, 1, 4
1758352831923, 4, 9, 824, 77, 400, 230, 10, 3
1758352831923, 5, 10, 827, 76, 400, 221, 2, 2
1758352831923, 3, 8, 820, 76, 402, 223, 2, 4
1758352831923, 3, 8, 818, 75, 399, 225, 3, 3
1758352831923, 1, 8, 815, 78, 402, 219, 2, 3
1758352831923, 3, 7, 820, 76, 400, 218, 1, 3
1758352831923, 4, 6, 819, 76, 399, 220, 2, 4
1758352831923, 2, 19, 825, 79, 403, 219, 2, 4
1758352831923, 4, 7, 827, 81, 402, 219, 2, 3
1758352831923, 4, 4, 824, 80, 401, 220, 2, 3
1758352831923, 4, 4, 819, 77, 397, 220, 1, 3
1758352831923, 2, 4, 831, 78, 401, 224, 2, 4
1758352831923, 3, 13, 830, 73, 403, 220, 3, 3
1758352831923, 3, 6, 824, 76, 403, 222, 2, 3
1758352831923, 6, 4, 821, 73, 397, 221, 2, 3
1758352831923, 1, 6, 828, 75, 400, 223, 2, 2
