unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758352855764, L, 1, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758352855884, 4, 4, 763, 95, 381, 283, 1, 3
1758352855884, 1, 4, 755, 96, 380, 284, 2, 3
1758352855884, 8, 3, 755, 94, 376, 284, 4, 3
1758352855884, 5, 6, 759, 102, 385, 287, 2, 3
1758352855884, 6, 4, 751, 95, 377, 284, 2, 3
1758352855884, 3, 4, 759, 95, 379, 287, 3, 4
1758352855884, 1, 4, 763, 93, 380, 287, 2, 4
1758352855884, 0, 17, 756, 95, 378, 287, 2, 3
1758352855884, 3, 7, 756, 93, 375, 284, 2, 3
1758352855884, 4, 7, 752, 95, 377, 283, 2, 8
1758352855884, 5, 8, 752, 95, 380, 286, 4, 3
1758352855884, 4, 8, 755, 105, 382, 284, 2, 3
1758352855884, 4, 10, 763, 96, 381, 295, 2, 3
1758352855884, 8, 13, 758, 102, 383, 287, 6, 5
1758352855884, 4, 10, 759, 93, 380, 285, 2, 2
1758352855884, 4, 9, 755, 94, 375, 285, 2, 8
1758352855884, 4, 13, 751, 95, 382, 286, 1, 2
1758352855884, 5, 7, 756, 96, 377, 288, 2, 3
1758352855884, 5, 6, 763, 96, 381, 287, 2, 7
1758352855884, 8, 5, 761, 95, 379, 284, 2, 3
1758352855884, 3, 4, 760, 96, 379, 283, 1, 3
1758352855884, 2, 4, 755, 100, 378, 283, 3, 2
1758352855884, 2, 4, 763, 94, 379, 284, 4, 3
1758352855884, 3, 19, 767, 95, 376, 281, 10, 3
1758352855884, 7, 5, 767, 95, 379, 287, 1, 4
1758352855884, 5, 19, 763, 94, 378, 284, 2, 3
1758352855884, 2, 6, 754, 92, 377, 288, 3, 11
1758352855884, 6, 5, 760, 91, 375, 289, 11, 3
1758352855884, 5, 21, 763, 95, 377, 286, 10, 2
1758352855884, 3, 8, 760, 93, 377, 286, 2, 4
1758352855884, 8, 7, 754, 93, 378, 282, 2, 2
1758352855884, 7, 23, 762, 93, 375, 287, 1, 4
1758352855884, 2, 11, 762, 92, 381, 286, 2, 3
1758352855884, 3, 10, 764, 96, 375, 286, 2, 11
1758352855884, 10, 9, 762, 96, 381, 287, 2, 3
1758352855884, 1, 9, 763, 96, 383, 287, 1, 7
1758352855884, 11, 8, 766, 93, 380, 284, 2, 8
1758352855884, 11, 6, 762, 102, 380, 283, 2, 1
1758352855884, 4, 5, 759, 95, 381, 287, 1, 3
1758352855884, 2, 5, 755, 95, 375, 283, 2, 3
1758352855884, 9, 15, 760, 94, 376, 284, 2, 3
1758352855884, 1, 5, 760, 92, 377, 290, 2, 3
1758352855884, 2, 4, 765, 94, 379, 286, 2, 3
1758352855884, 8, 4, 766, 96, 375, 287, 2, 4
1758352855884, 5, 3, 760, 94, 381, 284, 1, 3
1758352855884, 1, 5, 763, 98, 380, 286, 2, 4
1758352855884, 5, 4, 759, 94, 377, 284, 8, 2
1758352855884, 3, 5, 768, 95, 379, 283, 3, 4
1758352855884, 4, 21, 765, 94, 379, 285, 1, 3
1758352855884, 1, 9, 759, 95, 377, 288, 2, 4
1758352855884, 4, 8, 759, 97, 380, 287, 2, 2
1758352855884, 5, 9, 759, 97, 375, 287, 1, 3
1758352855884, 3, 9, 759, 95, 376, 282, 2, 3
1758352855884, 2, 10, 765, 96, 389, 292, 2, 5
1758352855884, 2, 8, 760, 95, 382, 281, 3, 2
1758352855884, 3, 8, 760, 96, 385, 285, 1, 3
1758352855884, 15, 7, 757, 95, 376, 283, 2, 3
1758352855884, 5, 7, 762, 96, 381, 284, 2, 3
1758352855884, 6, 6, 759, 95, 385, 284, 2, 3
1758352855884, 3, 4, 765, 95, 377, 285, 2, 2
1758352855884, 3, 3, 760, 95, 376, 283, 2, 2
1758352855884, 4, 3, 765, 95, 380, 287, 1, 3
1758352855884, 2, 17, 755, 96, 375, 285, 2, 2
1758352855884, 4, 6, 757, 96, 381, 283, 2, 3
1758352855884, 5, 5, 763, 94, 377, 285, 2, 4
1758352855884, 2, 4, 755, 96, 380, 286, 10, 4
1758352855884, 1, 4, 757, 100, 376, 283, 1, 3
1758352855884, 4, 6, 755, 93, 377, 284, 2, 4
1758352855884, 5, 6, 763, 95, 377, 283, 2, 3
1758352855884, 3, 8, 755, 96, 380, 286, 1, 3
1758352855884, 3, 23, 767, 96, 379, 287, 2, 8
1758352855884, 4, 10, 760, 95, 380, 290, 2, 4
1758352855884, 4, 10, 763, 96, 381, 283, 3, 3
1758352855884, 10, 10, 764, 96, 374, 292, 2, 3
1758352855884, 1, 9, 763, 96, 376, 285, 4, 1
1758352855884, 7, 9, 755, 94, 377, 286, 1, 4
1758352855884, 5, 8, 757, 97, 376, 283, 5, 3
1758352855884, 6, 19, 755, 95, 377, 290, 2, 3
1758352855884, 4, 7, 763, 95, 375, 283, 2, 3
1758352855884, 3, 5, 755, 95, 377, 283, 3, 3
1758352855884, 4, 5, 760, 95, 377, 283, 2, 3
1758352855884, 3, 3, 755, 95, 381, 286, 6, 3
1758352855884, 10, 4, 754, 93, 381, 287, 9, 3
1758352855884, 6, 3, 755, 92, 375, 287, 10, 9
1758352855884, 6, 3, 755, 93, 376, 287, 1, 2
1758352855884, 4, 3, 765, 96, 375, 284, 1, 4
1758352855884, 5, 5, 755, 95, 380, 289, 2, 3
1758352855884, 0, 14, 756, 96, 380, 284, 2, 3
1758352855884, 2, 6, 756, 94, 382, 287, 1, 4
1758352855884, 5, 7, 753, 94, 376, 285, 2, 3
1758352855884, 5, 9, 752, 94, 377, 283, 5, 3
1758352855884, 4, 23, 752, 96, 383, 287, 1, 3
1758352855884, 5, 14, 755, 92, 381, 286, 1, 3
1758352855884, 6, 9, 759, 96, 379, 286, 10, 3
1758352855884, 6, 9, 748, 94, 384, 286, 3, 3
1758352855884, 3, 9, 752, 96, 386, 283, 2, 3
1758352855884, 1, 8, 755, 93, 378, 285, 2, 2
1758352855884, 3, 7, 755, 95, 383, 284, 2, 6
1758352855884, 2, 6, 752, 95, 379, 283, 1, 9
1758352855884, 3, 4, 754, 95, 377, 284, 2, 3
1758352855884, 3, 3, 754, 93, 377, 285, 11, 2
1758352855884, 2, 17, 747, 93, 378, 291, 1, 3
1758352855884, 1, 7, 751, 94, 375, 283, 3, 3
1758352855884, 1, 4, 757, 93, 382, 284, 2, 7
1758352855884, 2, 4, 751, 94, 381, 286, 3, 4
1758352855884, 5, 4, 757, 94, 378, 284, 2, 3
1758352855884, 2, 4, 743, 91, 381, 284, 2, 3
1758352855884, 3, 4, 747, 97, 380, 284, 2, 2
1758352855884, 1, 5, 751, 95, 377, 287, 2, 3
1758352855884, 5, 7, 743, 96, 380, 287, 3, 7
1758352855884, 2, 8, 751, 92, 378, 282, 2, 3
1758352855884, 6, 7, 751, 95, 381, 283, 1, 3
1758352855884, 10, 8, 746, 97, 382, 285, 1, 4
1758352855884, 3, 25, 743, 101, 379, 292, 2, 3
1758352855884, 5, 12, 748, 103, 379, 287, 2, 2
1758352855884, 4, 9, 740, 93, 381, 283, 3, 4
1758352855884, 8, 9, 744, 95, 377, 283, 2, 6
1758352855884, 4, 12, 744, 95, 380, 286, 2, 4
1758352855884, 1, 21, 741, 93, 381, 286, 2, 3
1758352855884, 6, 7, 739, 95, 380, 292, 2, 3
1758352855886, 2, 4, 739, 95, 382, 285, 1, 3
1758352855886, 3, 4, 737, 94, 380, 286, 1, 2
1758352855886, 11, 3, 744, 94, 381, 292, 1, 3
1758352855898, 3, 3, 739, 94, 382, 284, 4, 3
1758352855898, 3, 3, 744, 92, 384, 284, 2, 3
1758352855898, 2, 18, 747, 92, 381, 287, 7, 2
1758352855898, 9, 6, 746, 95, 385, 283, 2, 2
1758352855898, 10, 6, 747, 94, 380, 284, 2, 3
1758352855898, 4, 6, 740, 93, 377, 285, 2, 3
1758352855898, 4, 21, 743, 92, 381, 287, 2, 3
1758352855898, 3, 10, 735, 93, 377, 283, 2, 6
1758352855898, 4, 23, 744, 93, 377, 284, 2, 4
1758352855898, 9, 12, 740, 95, 381, 283, 2, 4
1758352855898, 1, 11, 739, 97, 382, 283, 2, 9
1758352855911, 4, 23, 739, 95, 377, 286, 2, 4
1758352855911, 9, 11, 737, 97, 377, 286, 1, 2
1758352855911, 4, 9, 743, 96, 377, 285, 2, 3
1758352855911, 4, 7, 744, 93, 380, 286, 2, 2
1758352855911, 2, 5, 745, 93, 379, 286, 2, 3
1758352855911, 3, 3, 735, 92, 381, 283, 3, 3
1758352855911, 1, 4, 743, 93, 380, 285, 2, 3
1758352855911, 3, 3, 743, 96, 381, 287, 1, 3
1758352855911, 9, 4, 748, 93, 381, 283, 2, 3
1758352855911, 4, 4, 741, 94, 378, 284, 2, 3
1758352855911, 4, 7, 731, 96, 377, 286, 8, 4
1758352855911, 3, 5, 736, 93, 381, 284, 2, 1
1758352855911, 6, 4, 736, 93, 378, 285, 1, 5
1758352855925, 9, 6, 737, 93, 377, 292, 11, 8
1758352855925, 3, 4, 736, 99, 381, 285, 2, 3
1758352855925, 5, 6, 736, 97, 380, 291, 2, 5
1758352855925, 6, 8, 736, 95, 379, 283, 2, 3
1758352855925, 2, 7, 731, 97, 384, 283, 7, 3
1758352855925, 4, 10, 731, 96, 377, 286, 3, 4
1758352855925, 1, 10, 732, 97, 380, 287, 1, 3
1758352855925, 1, 9, 734, 97, 379, 287, 2, 3
1758352855925, 7, 8, 735, 93, 378, 283, 2, 4
1758352855925, 3, 7, 735, 97, 377, 282, 2, 2
1758352855925, 1, 7, 739, 99, 377, 284, 2, 3
1758352855925, 3, 5, 732, 97, 380, 284, 2, 6
1758352855925, 3, 3, 731, 94, 377, 284, 2, 3
1758352855925, 3, 5, 729, 94, 376, 282, 1, 3
1758352855938, 5, 3, 729, 96, 387, 284, 1, 3
1758352855938, 4, 4, 735, 96, 379, 281, 1, 3
1758352855938, 4, 4, 731, 94, 385, 282, 2, 2
