unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758352903777, L, 5, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758352903920, 7, 3, 760, 80, 324, 270, 3, 3
1758352903920, 7, 3, 760, 80, 323, 270, 1, 3
1758352903920, 3, 3, 760, 81, 327, 270, 3, 2
1758352903920, 3, 3, 755, 79, 329, 270, 2, 3
1758352903920, 4, 4, 763, 79, 327, 267, 3, 4
1758352903920, 1, 17, 764, 78, 326, 275, 4, 3
1758352903920, 4, 9, 762, 77, 327, 267, 2, 3
1758352903920, 4, 21, 759, 82, 325, 269, 2, 2
1758352903920, 6, 25, 758, 80, 325, 271, 2, 3
1758352903920, 0, 11, 756, 79, 326, 267, 5, 3
1758352903920, 3, 9, 760, 78, 324, 271, 1, 3
1758352903920, 5, 10, 765, 80, 324, 268, 2, 4
1758352903920, 5, 9, 758, 79, 327, 268, 4, 8
1758352903920, 4, 8, 761, 78, 324, 267, 1, 2
1758352903920, 4, 9, 761, 80, 329, 270, 2, 2
1758352903920, 3, 20, 758, 76, 331, 270, 2, 4
1758352903920, 4, 7, 755, 78, 330, 268, 3, 3
1758352903920, 4, 4, 759, 80, 325, 269, 2, 3
1758352903920, 12, 4, 759, 79, 323, 267, 2, 4
1758352903920, 3, 4, 759, 79, 326, 267, 2, 2
1758352903920, 7, 4, 755, 87, 326, 271, 2, 3
1758352903920, 0, 4, 756, 84, 327, 268, 2, 2
1758352903920, 11, 4, 755, 81, 326, 270, 2, 2
1758352903920, 0, 17, 753, 80, 327, 272, 1, 2
1758352903920, 5, 6, 752, 77, 331, 267, 2, 0
1758352903920, 3, 5, 755, 80, 326, 271, 2, 12
1758352903920, 2, 5, 758, 81, 324, 267, 2, 10
1758352903920, 4, 6, 764, 89, 325, 268, 2, 3
1758352903920, 5, 7, 759, 82, 329, 268, 1, 4
1758352903920, 7, 8, 758, 80, 324, 271, 1, 4
1758352903920, 4, 10, 751, 81, 325, 267, 7, 3
1758352903920, 5, 10, 762, 80, 327, 267, 2, 3
1758352903920, 3, 9, 757, 88, 333, 269, 3, 3
1758352903920, 2, 9, 756, 79, 325, 268, 1, 5
1758352903920, 6, 8, 752, 78, 328, 270, 0, 3
1758352903920, 3, 5, 756, 78, 327, 270, 4, 3
1758352903920, 5, 7, 751, 86, 333, 270, 1, 3
