unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758352915783, L, -1, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758352915909, 3, 5, 633, 81, 379, 274, 9, 2
1758352915909, 5, 5, 640, 81, 376, 280, 1, 6
1758352915909, 3, 6, 637, 81, 376, 278, 2, 3
1758352915909, 4, 9, 636, 85, 376, 275, 3, 4
1758352915909, 4, 8, 639, 83, 376, 278, 2, 3
1758352915909, 3, 9, 641, 80, 379, 275, 1, 3
1758352915909, 4, 24, 631, 80, 377, 280, 4, 3
1758352915909, 5, 26, 640, 83, 376, 275, 5, 3
1758352915909, 14, 11, 639, 84, 376, 278, 0, 3
1758352915909, 1, 23, 637, 82, 375, 273, 2, 4
1758352915909, 7, 9, 636, 83, 378, 276, 2, 3
1758352915909, 11, 6, 635, 81, 374, 277, 2, 12
1758352915909, 4, 5, 635, 81, 376, 284, 2, 5
1758352915909, 3, 3, 642, 82, 373, 277, 1, 3
1758352915909, 2, 4, 635, 81, 375, 276, 1, 3
1758352915909, 3, 3, 646, 81, 379, 276, 1, 4
1758352915909, 8, 4, 635, 79, 373, 278, 2, 2
1758352915909, 4, 4, 635, 82, 381, 276, 2, 3
1758352915909, 3, 5, 635, 83, 373, 277, 2, 4
1758352915909, 3, 4, 643, 84, 376, 275, 2, 3
1758352915909, 2, 3, 636, 90, 377, 276, 2, 4
1758352915909, 4, 20, 641, 78, 379, 273, 1, 6
1758352915909, 7, 8, 635, 83, 376, 283, 2, 4
1758352915909, 3, 10, 643, 81, 383, 274, 2, 4
1758352915909, 5, 8, 638, 80, 373, 272, 1, 4
1758352915909, 5, 9, 645, 82, 375, 276, 11, 4
1758352915909, 14, 10, 639, 81, 387, 276, 2, 3
1758352915909, 4, 10, 636, 77, 377, 276, 3, 4
1758352915909, 7, 8, 643, 78, 375, 280, 2, 3
1758352915909, 3, 8, 638, 82, 376, 279, 10, 2
1758352915909, 3, 6, 643, 81, 378, 275, 1, 3
1758352915909, 2, 7, 635, 83, 373, 275, 2, 4
1758352915909, 4, 5, 637, 85, 377, 275, 2, 2
1758352915909, 3, 3, 635, 80, 385, 275, 1, 3
1758352915909, 4, 3, 638, 80, 371, 275, 2, 2
1758352915909, 4, 4, 644, 82, 375, 277, 2, 3
1758352915909, 2, 4, 640, 83, 372, 278, 0, 2
1758352915909, 4, 4, 641, 79, 371, 278, 1, 3
1758352915909, 9, 4, 639, 81, 372, 279, 1, 4
1758352915909, 4, 4, 641, 90, 371, 276, 2, 3
1758352915909, 0, 6, 638, 81, 377, 275, 2, 3
1758352915909, 0, 7, 637, 80, 371, 277, 8, 3
1758352915909, 4, 7, 643, 79, 377, 276, 2, 4
1758352915909, 1, 7, 641, 81, 375, 275, 2, 12
1758352915909, 8, 8, 639, 80, 372, 278, 2, 6
1758352915909, 2, 9, 644, 81, 376, 275, 2, 4
1758352915909, 4, 8, 644, 88, 371, 275, 1, 3
1758352915909, 5, 25, 636, 81, 374, 274, 5, 4
1758352915909, 8, 12, 639, 81, 379, 276, 4, 3
1758352915909, 4, 9, 639, 79, 373, 278, 10, 3
1758352915909, 3, 6, 637, 81, 373, 277, 2, 4
1758352915909, 5, 5, 638, 81, 376, 275, 1, 4
1758352915909, 5, 4, 634, 80, 372, 275, 2, 4
1758352915909, 4, 4, 637, 80, 374, 279, 2, 2
1758352915909, 2, 17, 642, 80, 373, 276, 2, 2
1758352915909, 4, 7, 637, 78, 375, 276, 1, 2
1758352915909, 3, 3, 638, 80, 377, 276, 1, 1
1758352915909, 7, 3, 637, 80, 385, 275, 6, 3
1758352915909, 3, 3, 637, 82, 373, 276, 6, 3
1758352915909, 3, 3, 655, 81, 378, 276, 9, 3
1758352915909, 1, 6, 639, 80, 377, 275, 1, 2
1758352915909, 7, 6, 640, 80, 380, 276, 3, 4
1758352915909, 4, 20, 638, 81, 377, 274, 2, 4
1758352915909, 3, 10, 637, 85, 373, 276, 2, 4
1758352915909, 4, 8, 639, 81, 376, 277, 2, 3
1758352915909, 7, 9, 645, 81, 376, 275, 2, 3
1758352915909, 4, 10, 637, 79, 371, 276, 2, 3
1758352915909, 4, 8, 637, 82, 376, 274, 3, 3
1758352915909, 5, 8, 637, 81, 373, 274, 3, 5
1758352915909, 5, 8, 645, 77, 377, 276, 3, 4
1758352915909, 3, 7, 638, 80, 371, 275, 2, 4
1758352915909, 3, 19, 638, 82, 374, 276, 1, 3
1758352915909, 1, 7, 643, 82, 375, 277, 10, 3
1758352915909, 2, 3, 643, 81, 372, 275, 2, 2
1758352915909, 1, 4, 637, 83, 375, 276, 1, 3
1758352915909, 4, 4, 647, 81, 371, 283, 1, 3
1758352915909, 3, 4, 637, 81, 373, 277, 2, 3
1758352915909, 5, 4, 637, 82, 373, 283, 2, 1
1758352915909, 5, 4, 637, 81, 373, 275, 1, 3
1758352915909, 7, 17, 637, 81, 373, 281, 4, 3
1758352915909, 4, 7, 643, 83, 371, 279, 2, 3
1758352915909, 4, 6, 636, 82, 375, 275, 4, 4
1758352915909, 5, 22, 643, 82, 375, 278, 1, 11
1758352915909, 4, 10, 643, 83, 375, 278, 1, 3
1758352915909, 14, 9, 643, 83, 375, 277, 2, 4
1758352915909, 5, 8, 639, 83, 375, 276, 3, 2
1758352915909, 3, 10, 637, 82, 376, 276, 4, 4
