unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758352927789, L, -2, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758352927919, 6, 23, 863, 77, 344, 275, 2, 3
1758352927919, 2, 9, 864, 79, 345, 273, 1, 3
1758352927919, 0, 8, 864, 81, 347, 273, 2, 6
1758352927919, 3, 6, 861, 81, 344, 282, 1, 3
1758352927919, 6, 4, 863, 84, 347, 275, 1, 3
1758352927919, 1, 5, 863, 80, 344, 273, 1, 2
1758352927919, 3, 4, 872, 80, 347, 284, 4, 3
1758352927919, 2, 3, 863, 82, 344, 272, 2, 3
1758352927919, 4, 2, 856, 81, 347, 272, 2, 3
1758352927919, 4, 5, 855, 80, 346, 271, 1, 5
1758352927919, 2, 4, 863, 81, 345, 274, 1, 3
1758352927919, 0, 3, 862, 90, 343, 275, 1, 3
1758352927919, 5, 6, 863, 80, 345, 272, 2, 8
1758352927919, 3, 5, 867, 80, 346, 272, 0, 3
1758352927919, 5, 6, 862, 79, 346, 272, 1, 2
1758352927919, 3, 7, 855, 82, 342, 276, 3, 5
1758352927919, 5, 8, 863, 79, 346, 277, 2, 3
1758352927919, 5, 24, 854, 79, 342, 283, 3, 4
1758352927919, 4, 24, 855, 80, 344, 273, 1, 4
1758352927919, 5, 12, 863, 86, 346, 273, 2, 5
1758352927919, 1, 9, 863, 80, 344, 273, 2, 3
1758352927919, 0, 9, 868, 80, 343, 274, 1, 4
1758352927919, 14, 8, 855, 81, 343, 278, 2, 3
1758352927919, 3, 18, 855, 81, 349, 278, 10, 5
1758352927919, 4, 20, 863, 78, 344, 272, 1, 3
1758352927919, 5, 7, 862, 79, 343, 273, 1, 2
1758352927919, 2, 3, 855, 80, 345, 276, 1, 3
1758352927919, 4, 4, 851, 76, 340, 283, 1, 3
1758352927919, 0, 4, 874, 78, 344, 285, 1, 2
1758352927919, 5, 4, 854, 78, 352, 273, 1, 12
1758352927919, 5, 18, 856, 87, 340, 272, 2, 13
1758352927919, 2, 20, 867, 79, 343, 274, 2, 4
