unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758353121345, L, 2, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758353121711, 6, 14, 871, 65, 328, 322, 1, 2
1758353121711, 3, 6, 871, 58, 329, 326, 1, 1
1758353121711, 5, 4, 876, 60, 329, 316, 1, 3
1758353121711, 4, 4, 864, 62, 329, 319, 1, 2
1758353121711, 3, 3, 864, 60, 328, 319, 2, 3
1758353121711, 3, 4, 871, 59, 335, 320, 2, 3
1758353121711, 2, 4, 871, 61, 327, 324, 1, 3
1758353121711, 2, 4, 864, 60, 326, 320, 2, 2
1758353121711, 4, 19, 865, 60, 327, 319, 1, 6
1758353121711, 6, 7, 871, 58, 330, 318, 7, 3
1758353121711, 1, 6, 868, 58, 330, 315, 2, 4
1758353121711, 5, 7, 870, 57, 327, 319, 1, 3
1758353121711, 8, 8, 868, 59, 329, 325, 2, 3
1758353121711, 4, 9, 865, 58, 329, 321, 1, 4
1758353121711, 3, 24, 873, 58, 325, 315, 3, 4
1758353121711, 3, 12, 871, 62, 326, 316, 2, 3
1758353121711, 4, 10, 877, 61, 330, 325, 1, 4
1758353121711, 3, 10, 875, 60, 328, 315, 3, 0
1758353121711, 2, 8, 871, 57, 327, 316, 3, 3
1758353121711, 3, 7, 871, 60, 327, 316, 3, 2
1758353121711, 1, 6, 868, 57, 329, 315, 3, 3
1758353121711, 1, 6, 871, 57, 325, 318, 2, 3
1758353121711, 3, 19, 864, 59, 332, 325, 2, 10
1758353121711, 3, 5, 864, 60, 328, 319, 1, 3
1758353121711, 4, 4, 868, 60, 324, 316, 2, 2
1758353121711, 3, 4, 864, 59, 327, 319, 2, 3
1758353121711, 7, 3, 864, 60, 329, 315, 0, 4
1758353121711, 5, 19, 871, 59, 327, 319, 1, 3
1758353121711, 4, 22, 871, 61, 327, 316, 3, 3
1758353121711, 2, 6, 863, 58, 327, 319, 3, 3
1758353121711, 4, 5, 870, 57, 327, 318, 2, 3
1758353121711, 3, 5, 873, 61, 329, 316, 3, 4
1758353121711, 6, 7, 865, 59, 329, 317, 1, 4
1758353121711, 5, 8, 879, 61, 330, 318, 1, 4
1758353121711, 9, 8, 865, 58, 328, 317, 1, 4
1758353121711, 6, 24, 865, 57, 328, 320, 5, 4
1758353121711, 5, 14, 865, 60, 331, 316, 2, 4
1758353121711, 8, 11, 871, 59, 326, 318, 3, 3
1758353121711, 4, 9, 870, 56, 328, 318, 2, 3
1758353121711, 4, 23, 870, 58, 328, 318, 11, 3
1758353121711, 8, 8, 865, 60, 329, 318, 1, 2
1758353121711, 2, 20, 879, 58, 330, 319, 2, 4
1758353121711, 5, 6, 865, 62, 327, 319, 1, 2
1758353121711, 5, 5, 874, 58, 330, 318, 2, 4
1758353121711, 3, 4, 865, 57, 328, 319, 10, 4
1758353121711, 3, 4, 868, 57, 325, 316, 2, 2
1758353121711, 5, 3, 872, 63, 324, 320, 0, 4
1758353121711, 3, 18, 875, 60, 328, 320, 3, 3
1758353121711, 3, 7, 875, 58, 328, 318, 4, 3
1758353121711, 3, 5, 867, 60, 330, 317, 2, 2
1758353121711, 10, 5, 871, 58, 334, 316, 2, 8
1758353121711, 10, 6, 865, 59, 330, 316, 2, 3
1758353121711, 2, 7, 872, 56, 326, 317, 2, 3
1758353121711, 3, 9, 872, 60, 334, 317, 3, 3
1758353121711, 8, 24, 867, 58, 328, 320, 3, 3
1758353121711, 4, 12, 865, 59, 326, 316, 3, 5
1758353121711, 4, 26, 877, 61, 329, 318, 2, 3
1758353121711, 4, 12, 877, 61, 333, 316, 1, 9
1758353121711, 1, 9, 872, 60, 326, 319, 0, 3
1758353121711, 4, 8, 865, 59, 327, 321, 0, 8
1758353121711, 8, 6, 875, 58, 333, 317, 2, 6
1758353121711, 5, 5, 870, 58, 326, 321, 2, 6
1758353121711, 0, 4, 865, 60, 327, 326, 1, 2
1758353121711, 2, 3, 870, 56, 327, 329, 1, 3
1758353121711, 2, 4, 864, 57, 327, 319, 10, 4
1758353121711, 3, 2, 865, 58, 326, 317, 2, 12
1758353121711, 6, 3, 865, 59, 326, 318, 3, 3
1758353121711, 13, 4, 871, 57, 329, 318, 4, 3
1758353121711, 3, 4, 871, 57, 331, 317, 4, 2
1758353121711, 8, 5, 865, 58, 331, 317, 2, 1
1758353121711, 8, 6, 864, 60, 327, 321, 1, 4
1758353121711, 11, 21, 867, 57, 328, 315, 2, 2
1758353121711, 0, 10, 870, 57, 328, 322, 2, 3
1758353121711, 3, 8, 865, 57, 328, 321, 2, 2
1758353121711, 6, 23, 876, 60, 328, 319, 2, 3
1758353121711, 6, 11, 865, 62, 331, 319, 1, 4
1758353121711, 3, 10, 879, 60, 329, 317, 3, 12
1758353121711, 6, 8, 868, 60, 329, 321, 10, 2
1758353121711, 1, 23, 864, 59, 330, 319, 1, 2
1758353121711, 5, 10, 868, 61, 330, 329, 3, 3
1758353121711, 3, 22, 863, 58, 326, 319, 3, 3
1758353121711, 2, 7, 875, 56, 330, 317, 2, 3
1758353121711, 4, 4, 875, 58, 327, 318, 1, 3
1758353121711, 5, 3, 867, 57, 329, 319, 3, 4
1758353121711, 3, 18, 867, 56, 330, 319, 4, 5
1758353121711, 4, 5, 869, 57, 331, 319, 3, 2
1758353121711, 5, 4, 875, 58, 328, 321, 1, 3
1758353121711, 3, 19, 867, 57, 326, 318, 3, 2
1758353121711, 3, 6, 863, 60, 328, 319, 1, 3
1758353121711, 2, 4, 874, 60, 328, 320, 3, 4
1758353121711, 3, 6, 870, 62, 330, 317, 2, 3
1758353121711, 3, 6, 875, 58, 328, 316, 2, 2
1758353121711, 4, 8, 875, 59, 328, 317, 3, 4
1758353121711, 5, 8, 870, 59, 327, 318, 2, 4
1758353121711, 5, 11, 869, 58, 326, 320, 3, 5
1758353121711, 6, 10, 878, 66, 331, 329, 2, 4
1758353121711, 5, 24, 874, 60, 331, 317, 1, 4
1758353121711, 3, 11, 875, 59, 330, 320, 2, 4
1758353121711, 1, 9, 867, 59, 326, 320, 2, 5
1758353121711, 1, 8, 867, 58, 328, 318, 1, 3
1758353121711, 5, 6, 865, 68, 328, 323, 2, 3
1758353121711, 4, 5, 870, 58, 332, 322, 1, 2
1758353121711, 4, 13, 872, 58, 328, 318, 5, 3
1758353121711, 3, 4, 867, 57, 329, 318, 2, 3
1758353121711, 3, 3, 866, 60, 329, 318, 1, 2
1758353121711, 6, 4, 866, 60, 338, 317, 1, 2
1758353121711, 3, 3, 872, 59, 325, 317, 8, 3
1758353121711, 3, 5, 872, 61, 327, 317, 1, 3
1758353121711, 7, 3, 877, 60, 327, 322, 1, 3
1758353121711, 4, 6, 879, 59, 326, 318, 12, 1
1758353121711, 3, 6, 865, 59, 331, 318, 2, 3
1758353121711, 3, 6, 875, 60, 328, 317, 3, 4
1758353121711, 6, 8, 869, 59, 330, 327, 2, 3
1758353121711, 5, 8, 875, 60, 330, 323, 2, 2
1758353121711, 8, 11, 865, 60, 327, 316, 3, 3
1758353121711, 7, 10, 863, 67, 334, 319, 2, 4
1758353121711, 0, 10, 865, 60, 330, 317, 2, 3
1758353121711, 5, 10, 880, 61, 330, 317, 4, 3
1758353121711, 8, 8, 875, 64, 327, 316, 2, 6
1758353121711, 0, 8, 870, 59, 328, 321, 2, 1
1758353121711, 3, 6, 864, 61, 328, 318, 10, 3
1758353121711, 6, 4, 867, 58, 326, 318, 8, 4
1758353121711, 4, 5, 870, 57, 326, 319, 1, 3
1758353121711, 4, 4, 871, 58, 329, 318, 1, 3
1758353121711, 0, 4, 871, 60, 326, 319, 0, 3
1758353121711, 4, 4, 864, 66, 327, 319, 4, 4
1758353121711, 3, 3, 865, 60, 327, 320, 2, 4
1758353121711, 6, 4, 864, 59, 331, 316, 0, 4
1758353121711, 3, 4, 865, 58, 328, 320, 2, 2
1758353121711, 3, 4, 868, 60, 331, 317, 2, 4
1758353121711, 4, 21, 870, 62, 328, 319, 1, 3
1758353121711, 3, 24, 868, 59, 331, 317, 3, 3
1758353121711, 5, 25, 871, 59, 331, 317, 2, 3
1758353121711, 4, 11, 864, 58, 330, 318, 3, 4
1758353121711, 4, 10, 871, 60, 331, 320, 1, 4
1758353121711, 5, 10, 871, 59, 328, 319, 2, 7
1758353121711, 7, 10, 864, 60, 327, 321, 1, 3
1758353121711, 5, 9, 864, 60, 334, 318, 3, 3
1758353121711, 2, 9, 866, 60, 329, 317, 2, 4
1758353121711, 4, 20, 871, 59, 331, 323, 1, 4
1758353121711, 6, 7, 864, 58, 328, 319, 5, 2
1758353121711, 3, 19, 866, 59, 327, 321, 2, 3
1758353121711, 9, 6, 864, 59, 328, 319, 2, 2
1758353121711, 4, 4, 863, 58, 328, 317, 1, 2
1758353121711, 10, 17, 867, 57, 328, 317, 11, 3
1758353121711, 3, 12, 867, 58, 328, 317, 1, 3
1758353121711, 5, 20, 860, 57, 337, 317, 1, 2
1758353121711, 3, 7, 869, 57, 331, 319, 9, 4
1758353121711, 3, 5, 864, 62, 326, 318, 1, 3
1758353121711, 1, 5, 871, 57, 330, 318, 1, 2
1758353121711, 4, 6, 859, 56, 327, 319, 1, 8
1758353121711, 3, 6, 867, 64, 331, 318, 2, 3
1758353121711, 6, 8, 860, 58, 328, 319, 5, 2
1758353121711, 9, 12, 863, 58, 330, 316, 1, 4
1758353121711, 3, 10, 864, 59, 330, 317, 2, 2
1758353121711, 4, 15, 867, 57, 331, 318, 2, 4
1758353121711, 2, 10, 864, 59, 327, 318, 0, 4
1758353121711, 3, 10, 866, 60, 330, 319, 4, 2
1758353121711, 5, 23, 862, 64, 328, 325, 2, 2
1758353121711, 4, 10, 867, 56, 327, 319, 1, 3
1758353121711, 4, 6, 863, 59, 327, 319, 1, 3
1758353121711, 2, 6, 860, 62, 328, 321, 1, 3
1758353121711, 2, 4, 868, 59, 330, 316, 2, 3
1758353121711, 1, 3, 867, 58, 328, 324, 5, 4
1758353121711, 4, 4, 862, 59, 329, 321, 1, 4
1758353121711, 3, 3, 855, 59, 327, 315, 1, 5
1758353121711, 1, 3, 864, 59, 329, 317, 2, 3
1758353121711, 2, 3, 860, 58, 328, 326, 0, 0
1758353121711, 3, 3, 871, 61, 331, 317, 1, 3
1758353121711, 3, 19, 863, 56, 328, 318, 3, 3
1758353121711, 3, 7, 869, 57, 331, 318, 2, 3
1758353121711, 6, 7, 859, 58, 328, 318, 1, 7
1758353121711, 3, 23, 868, 59, 326, 321, 3, 2
1758353121711, 5, 10, 864, 59, 332, 319, 5, 7
1758353121711, 4, 10, 867, 62, 327, 318, 1, 3
1758353121711, 8, 11, 859, 63, 333, 317, 2, 4
1758353121711, 5, 11, 862, 61, 331, 317, 1, 9
1758353121711, 3, 9, 864, 60, 330, 318, 2, 1
1758353121711, 4, 8, 866, 61, 330, 317, 4, 5
1758353121711, 5, 7, 867, 60, 327, 319, 3, 4
1758353121711, 3, 6, 866, 58, 330, 321, 2, 1
1758353121711, 2, 4, 859, 58, 326, 319, 2, 3
1758353121711, 5, 4, 864, 57, 328, 320, 1, 3
1758353121711, 3, 16, 855, 58, 330, 318, 1, 3
1758353121711, 3, 5, 867, 56, 331, 317, 3, 2
1758353121711, 3, 6, 864, 59, 328, 317, 2, 2
1758353121711, 2, 11, 859, 56, 328, 325, 3, 3
1758353121711, 2, 17, 867, 58, 332, 325, 3, 4
1758353121711, 3, 6, 867, 59, 328, 323, 1, 1
1758353121711, 3, 20, 867, 58, 331, 316, 1, 3
1758353121711, 5, 8, 860, 59, 330, 317, 1, 2
1758353121711, 4, 7, 860, 60, 328, 319, 2, 4
1758353121711, 2, 8, 864, 59, 330, 323, 12, 3
1758353121711, 5, 9, 868, 59, 330, 322, 2, 4
1758353121711, 5, 10, 864, 60, 328, 322, 1, 1
1758353121711, 4, 11, 864, 61, 330, 319, 2, 3
1758353121711, 6, 10, 863, 60, 329, 318, 1, 5
1758353121711, 5, 8, 871, 65, 329, 317, 3, 6
1758353121711, 7, 10, 868, 59, 327, 322, 8, 12
1758353121711, 2, 7, 871, 59, 326, 323, 2, 4
1758353121711, 4, 6, 870, 61, 328, 320, 2, 2
1758353121711, 5, 20, 868, 58, 330, 320, 2, 3
1758353121711, 3, 6, 864, 59, 328, 317, 2, 3
1758353121711, 4, 4, 864, 59, 328, 322, 2, 3
1758353121711, 6, 19, 864, 59, 328, 319, 1, 4
1758353121711, 2, 6, 871, 59, 331, 318, 10, 2
1758353121711, 4, 4, 869, 59, 329, 319, 2, 3
1758353121711, 3, 4, 864, 60, 328, 319, 3, 4
1758353121711, 4, 5, 869, 60, 331, 318, 9, 3
1758353121711, 4, 5, 864, 61, 328, 319, 1, 6
1758353121711, 4, 6, 864, 62, 328, 325, 3, 4
1758353121711, 4, 12, 866, 57, 326, 323, 2, 3
1758353121711, 4, 9, 868, 60, 328, 322, 1, 3
1758353121711, 4, 24, 871, 61, 331, 318, 2, 4
