unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758353356265, L, 0, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758353356411, 6, 19, 972, 128, 358, 322, 1, 4
1758353356411, 6, 7, 976, 133, 360, 321, 2, 3
1758353356411, 2, 5, 965, 129, 361, 321, 1, 4
1758353356411, 2, 5, 970, 131, 355, 321, 2, 3
1758353356411, 5, 8, 980, 130, 358, 324, 2, 4
1758353356411, 4, 9, 963, 132, 360, 321, 7, 3
1758353356411, 4, 9, 965, 132, 367, 321, 2, 3
1758353356411, 6, 10, 970, 130, 362, 321, 10, 2
1758353356411, 4, 24, 970, 131, 360, 326, 2, 3
1758353356411, 4, 10, 975, 130, 365, 333, 1, 3
1758353356411, 1, 9, 968, 133, 359, 323, 1, 4
1758353356411, 0, 6, 975, 131, 363, 333, 2, 4
1758353356411, 3, 5, 971, 129, 361, 324, 4, 3
1758353356411, 4, 4, 964, 138, 364, 321, 1, 3
1758353356411, 0, 3, 971, 130, 360, 327, 1, 3
1758353356411, 3, 4, 967, 130, 363, 321, 1, 4
1758353356411, 3, 3, 961, 133, 359, 324, 1, 3
1758353356411, 4, 3, 974, 132, 362, 320, 2, 11
1758353356411, 9, 4, 959, 133, 372, 324, 2, 7
1758353356411, 6, 4, 971, 130, 359, 327, 0, 3
1758353356411, 3, 4, 960, 131, 359, 324, 2, 4
1758353356411, 4, 5, 967, 136, 360, 325, 3, 3
1758353356411, 0, 6, 967, 132, 361, 324, 4, 4
1758353356411, 1, 7, 960, 132, 359, 323, 2, 3
1758353356411, 6, 9, 967, 132, 361, 320, 1, 3
1758353356411, 2, 8, 954, 131, 359, 321, 1, 3
1758353356411, 6, 8, 952, 130, 358, 324, 2, 3
1758353356411, 6, 9, 955, 132, 362, 321, 1, 3
1758353356411, 4, 23, 964, 130, 363, 320, 7, 3
1758353356411, 2, 10, 967, 132, 358, 321, 2, 2
1758353356411, 4, 8, 960, 133, 363, 332, 2, 3
1758353356411, 5, 21, 964, 130, 360, 325, 1, 3
1758353356411, 4, 15, 969, 133, 360, 322, 1, 3
1758353356411, 4, 5, 955, 130, 363, 321, 2, 3
1758353356411, 5, 17, 960, 129, 359, 323, 1, 4
1758353356411, 2, 6, 960, 129, 363, 323, 2, 12
1758353356411, 8, 4, 960, 129, 364, 321, 2, 2
1758353356411, 3, 4, 959, 128, 363, 320, 2, 3
1758353356411, 5, 4, 960, 130, 363, 320, 1, 2
1758353356411, 3, 19, 965, 129, 373, 320, 2, 3
1758353356411, 1, 21, 965, 131, 364, 319, 1, 3
1758353356411, 3, 8, 967, 128, 362, 323, 5, 3
1758353356411, 2, 6, 967, 131, 360, 320, 2, 3
1758353356411, 5, 7, 963, 133, 367, 320, 2, 3
1758353356411, 4, 8, 955, 129, 365, 320, 2, 3
1758353356411, 7, 8, 960, 132, 361, 322, 3, 3
1758353356411, 3, 8, 967, 140, 359, 320, 2, 3
1758353356411, 4, 9, 960, 133, 360, 322, 2, 4
1758353356411, 2, 9, 963, 131, 365, 323, 2, 4
1758353356411, 7, 14, 957, 129, 359, 320, 2, 3
1758353356411, 4, 9, 953, 131, 364, 322, 1, 3
1758353356411, 8, 5, 956, 131, 359, 325, 1, 10
1758353356411, 3, 4, 955, 132, 361, 320, 2, 3
1758353356411, 3, 5, 967, 128, 364, 321, 2, 3
1758353356411, 3, 2, 959, 130, 363, 321, 0, 3
1758353356411, 3, 3, 967, 132, 362, 321, 2, 3
1758353356411, 3, 4, 967, 128, 366, 320, 2, 3
1758353356411, 11, 2, 955, 131, 367, 324, 2, 3
1758353356411, 4, 4, 977, 131, 360, 324, 2, 3
1758353356411, 4, 4, 967, 129, 365, 323, 2, 3
1758353356411, 6, 4, 972, 129, 364, 321, 3, 3
1758353356411, 7, 5, 962, 129, 366, 321, 2, 3
