unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758353629617, L, 4, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758353629845, 6, 3, 521, 84, 303, 261, 3, 3
1758353629845, 8, 4, 515, 93, 300, 261, 2, 3
1758353629845, 1, 5, 519, 83, 302, 261, 4, 3
1758353629845, 5, 19, 521, 88, 300, 269, 2, 3
1758353629845, 6, 7, 515, 85, 301, 261, 3, 2
1758353629845, 12, 6, 522, 84, 301, 262, 2, 3
1758353629845, 3, 7, 519, 84, 303, 262, 1, 3
1758353629845, 10, 7, 523, 84, 299, 262, 2, 4
1758353629845, 3, 8, 520, 84, 300, 259, 2, 13
1758353629845, 7, 10, 515, 83, 300, 263, 2, 7
1758353629845, 3, 8, 518, 81, 305, 262, 2, 3
1758353629845, 10, 8, 520, 83, 299, 262, 2, 2
1758353629845, 5, 20, 519, 82, 302, 260, 2, 2
1758353629845, 0, 13, 515, 82, 299, 263, 1, 7
1758353629845, 4, 7, 514, 84, 303, 261, 2, 3
1758353629845, 6, 4, 520, 84, 303, 261, 2, 3
1758353629845, 4, 18, 517, 80, 303, 263, 2, 2
1758353629845, 3, 5, 520, 82, 299, 263, 2, 3
1758353629845, 10, 3, 519, 83, 301, 261, 2, 4
1758353629845, 2, 4, 524, 80, 301, 261, 1, 3
1758353629845, 5, 3, 524, 85, 300, 263, 10, 4
1758353629845, 0, 19, 519, 87, 299, 263, 2, 4
1758353629845, 9, 7, 525, 82, 303, 261, 1, 2
1758353629845, 4, 18, 526, 85, 304, 262, 2, 3
1758353629845, 0, 7, 520, 83, 301, 262, 1, 3
1758353629845, 0, 6, 527, 82, 304, 262, 1, 3
1758353629845, 7, 7, 521, 85, 300, 265, 5, 3
1758353629845, 5, 7, 527, 85, 304, 261, 1, 3
1758353629845, 2, 9, 527, 84, 302, 264, 2, 5
1758353629845, 4, 9, 523, 84, 302, 264, 2, 3
1758353629845, 6, 9, 531, 84, 310, 262, 3, 6
1758353629845, 5, 23, 519, 81, 301, 266, 2, 3
1758353629845, 5, 9, 525, 86, 301, 264, 4, 4
1758353629845, 4, 8, 524, 83, 304, 263, 2, 2
1758353629845, 3, 21, 527, 83, 301, 261, 2, 9
1758353629845, 4, 7, 519, 82, 303, 265, 1, 3
1758353629845, 4, 16, 519, 82, 297, 267, 2, 3
1758353629845, 2, 4, 525, 82, 302, 260, 5, 3
1758353629845, 1, 4, 525, 82, 303, 263, 3, 2
1758353629845, 3, 4, 527, 80, 300, 262, 1, 3
1758353629845, 2, 3, 521, 82, 298, 262, 2, 3
1758353629845, 4, 4, 527, 83, 303, 264, 1, 3
1758353629845, 2, 3, 523, 83, 298, 264, 2, 2
1758353629845, 7, 4, 525, 83, 299, 264, 2, 3
1758353629845, 2, 5, 522, 83, 303, 263, 2, 3
1758353629845, 3, 6, 526, 81, 299, 267, 2, 2
1758353629845, 1, 8, 519, 83, 308, 261, 2, 3
1758353629845, 4, 8, 524, 81, 300, 267, 2, 7
1758353629845, 3, 8, 522, 81, 303, 263, 2, 6
1758353629845, 16, 9, 526, 83, 303, 264, 10, 3
1758353629845, 1, 25, 524, 80, 299, 263, 2, 2
1758353629845, 3, 11, 535, 85, 300, 263, 2, 4
1758353629845, 4, 8, 528, 82, 300, 262, 0, 5
1758353629845, 6, 8, 524, 82, 302, 264, 2, 2
1758353629845, 9, 5, 531, 82, 299, 264, 2, 2
1758353629845, 7, 5, 528, 83, 301, 264, 2, 3
1758353629845, 3, 4, 523, 84, 299, 265, 2, 3
1758353629845, 4, 3, 523, 88, 299, 268, 2, 2
1758353629845, 5, 4, 526, 81, 308, 261, 2, 3
1758353629845, 15, 4, 529, 84, 298, 262, 1, 3
1758353629845, 4, 4, 527, 84, 298, 267, 2, 2
1758353629845, 3, 4, 523, 84, 299, 263, 4, 4
1758353629845, 4, 20, 536, 81, 299, 271, 2, 1
1758353629845, 7, 6, 527, 80, 300, 261, 2, 2
1758353629845, 3, 5, 525, 89, 298, 274, 2, 4
1758353629845, 2, 5, 527, 83, 301, 266, 2, 5
1758353629845, 5, 6, 526, 83, 300, 261, 3, 3
1758353629845, 5, 9, 523, 83, 302, 260, 2, 3
1758353629845, 3, 8, 525, 83, 301, 264, 2, 3
1758353629845, 12, 10, 522, 84, 297, 266, 6, 3
1758353629845, 3, 9, 520, 84, 300, 261, 2, 3
1758353629845, 3, 7, 528, 86, 299, 265, 3, 3
1758353629845, 12, 7, 527, 82, 300, 273, 4, 3
1758353629845, 5, 12, 523, 83, 299, 267, 2, 2
1758353629845, 2, 6, 524, 81, 304, 267, 3, 4
1758353629845, 0, 4, 525, 84, 297, 265, 2, 3
1758353629845, 9, 18, 523, 82, 301, 265, 2, 5
1758353629845, 5, 5, 520, 83, 303, 268, 1, 2
1758353629845, 1, 19, 520, 83, 300, 259, 1, 3
1758353629845, 3, 6, 517, 83, 300, 261, 2, 4
1758353629845, 0, 4, 519, 87, 301, 261, 2, 2
1758353629845, 7, 3, 522, 81, 297, 262, 3, 4
1758353629845, 7, 19, 520, 82, 299, 270, 1, 4
1758353629845, 5, 7, 523, 83, 301, 262, 2, 2
1758353629845, 4, 21, 524, 82, 302, 263, 2, 3
1758353629845, 11, 8, 522, 83, 299, 263, 3, 4
1758353629845, 3, 7, 519, 87, 300, 263, 1, 3
1758353629845, 4, 16, 523, 83, 308, 264, 2, 7
