unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758355444202, M, 0, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758355444352, 4, 23, 961, 211, 449, 323, 9, 3
1758355444352, 4, 25, 968, 210, 453, 321, 2, 4
1758355444352, 3, 11, 969, 214, 450, 323, 6, 3
1758355444352, 6, 8, 963, 208, 452, 321, 2, 2
1758355444352, 5, 7, 967, 211, 454, 325, 2, 7
1758355444352, 12, 21, 968, 212, 453, 321, 2, 3
1758355444352, 6, 8, 961, 211, 452, 325, 1, 3
1758355444352, 1, 6, 964, 213, 451, 328, 6, 3
1758355444352, 3, 4, 960, 210, 448, 324, 3, 3
1758355444352, 3, 3, 961, 211, 452, 327, 2, 3
1758355444352, 4, 2, 967, 212, 462, 323, 2, 10
1758355444352, 5, 4, 967, 210, 448, 324, 2, 3
1758355444352, 3, 16, 960, 213, 453, 325, 2, 4
1758355444352, 4, 6, 961, 211, 452, 323, 2, 12
1758355444352, 4, 5, 961, 210, 452, 328, 2, 7
1758355444352, 4, 4, 971, 212, 449, 323, 1, 3
1758355444352, 2, 13, 960, 210, 452, 324, 1, 3
1758355444352, 3, 6, 971, 210, 448, 324, 1, 3
1758355444352, 5, 6, 961, 210, 452, 322, 2, 4
1758355444352, 3, 7, 968, 219, 453, 322, 2, 4
1758355444352, 11, 7, 971, 210, 448, 323, 3, 3
1758355444352, 3, 7, 971, 208, 454, 322, 2, 4
1758355444352, 4, 9, 963, 213, 452, 321, 2, 3
1758355444352, 2, 8, 971, 208, 448, 325, 2, 3
1758355444352, 4, 8, 975, 210, 453, 333, 1, 2
1758355444352, 3, 7, 963, 211, 452, 321, 2, 11
1758355444352, 5, 6, 971, 209, 448, 322, 1, 2
1758355444352, 3, 20, 968, 209, 451, 327, 1, 3
1758355444352, 5, 6, 963, 211, 450, 327, 1, 12
1758355444352, 4, 4, 968, 208, 458, 328, 2, 3
1758355444352, 1, 4, 973, 211, 447, 329, 1, 9
1758355444352, 4, 4, 963, 212, 449, 324, 1, 12
1758355444352, 3, 3, 973, 209, 450, 324, 1, 3
1758355444352, 2, 3, 973, 212, 451, 325, 2, 3
1758355444352, 0, 17, 984, 212, 452, 326, 1, 4
1758355444352, 7, 6, 967, 212, 452, 324, 1, 2
1758355444352, 6, 20, 967, 210, 451, 323, 2, 4
1758355444352, 2, 7, 967, 214, 453, 323, 2, 4
1758355444352, 5, 5, 959, 211, 449, 321, 2, 8
1758355444352, 12, 7, 971, 212, 454, 322, 2, 3
1758355444352, 4, 7, 975, 213, 452, 321, 2, 3
1758355444352, 5, 7, 971, 212, 449, 321, 2, 3
1758355444352, 2, 9, 968, 214, 451, 321, 2, 2
1758355444352, 4, 8, 960, 208, 448, 321, 3, 4
1758355444352, 9, 7, 968, 210, 455, 324, 1, 4
1758355444352, 4, 8, 976, 209, 454, 321, 2, 3
1758355444352, 3, 7, 968, 215, 449, 320, 2, 3
1758355444352, 4, 4, 963, 212, 453, 322, 3, 3
1758355444352, 2, 4, 973, 211, 447, 324, 1, 3
1758355444352, 4, 3, 963, 213, 461, 324, 2, 3
1758355444352, 3, 3, 972, 212, 448, 321, 1, 3
1758355444352, 12, 3, 971, 209, 453, 321, 5, 3
1758355444352, 3, 3, 968, 211, 449, 321, 1, 3
1758355444352, 3, 3, 972, 212, 454, 322, 1, 3
