unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758355456206, M, 1, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758355456454, 6, 5, 1047, 206, 453, 327, 1, 3
1758355456454, 4, 5, 1051, 207, 451, 323, 2, 3
1758355456454, 1, 4, 1056, 206, 448, 323, 2, 3
1758355456454, 4, 18, 1062, 209, 448, 323, 1, 3
1758355456454, 3, 6, 1044, 207, 448, 323, 2, 4
1758355456454, 2, 4, 1047, 205, 448, 326, 1, 7
1758355456454, 2, 3, 1040, 205, 448, 327, 1, 3
1758355456454, 0, 4, 1041, 205, 448, 324, 3, 3
1758355456454, 3, 4, 1051, 205, 448, 327, 1, 5
1758355456454, 2, 4, 1051, 206, 455, 324, 2, 3
1758355456454, 7, 4, 1047, 205, 448, 326, 2, 3
1758355456454, 6, 6, 1047, 205, 450, 327, 2, 4
1758355456454, 3, 6, 1051, 207, 448, 326, 2, 3
1758355456454, 3, 7, 1051, 214, 454, 327, 2, 3
1758355456454, 1, 7, 1047, 204, 448, 332, 2, 2
1758355456454, 7, 9, 1056, 207, 448, 324, 1, 5
1758355456454, 4, 8, 1056, 206, 450, 326, 2, 2
1758355456454, 11, 21, 1056, 204, 448, 328, 1, 7
1758355456454, 4, 24, 1046, 206, 451, 322, 2, 3
1758355456454, 4, 10, 1038, 204, 451, 323, 1, 3
1758355456454, 9, 6, 1049, 209, 451, 323, 2, 4
1758355456454, 5, 5, 1049, 206, 450, 327, 2, 3
1758355456454, 6, 4, 1040, 203, 453, 323, 2, 11
1758355456454, 5, 4, 1040, 209, 448, 327, 2, 3
1758355456454, 5, 4, 1039, 204, 451, 323, 1, 2
1758355456454, 3, 3, 1040, 206, 446, 323, 2, 6
1758355456454, 7, 12, 1040, 203, 448, 327, 2, 3
1758355456454, 3, 5, 1040, 205, 451, 320, 2, 3
1758355456454, 1, 5, 1046, 203, 447, 323, 1, 3
1758355456454, 5, 4, 1044, 201, 459, 323, 2, 4
1758355456454, 4, 16, 1040, 204, 459, 321, 8, 2
1758355456454, 6, 17, 1051, 204, 448, 323, 1, 3
1758355456454, 2, 8, 1051, 205, 458, 323, 4, 3
1758355456454, 5, 7, 1040, 207, 448, 320, 2, 13
1758355456454, 4, 7, 1046, 207, 448, 320, 1, 3
1758355456454, 3, 9, 1052, 203, 451, 327, 3, 3
1758355456454, 7, 17, 1039, 207, 459, 321, 10, 3
1758355456454, 6, 8, 1040, 202, 450, 320, 1, 3
1758355456454, 3, 8, 1047, 204, 451, 322, 1, 9
1758355456454, 3, 20, 1050, 203, 448, 324, 2, 3
1758355456454, 2, 6, 1047, 203, 450, 321, 2, 2
1758355456454, 4, 5, 1039, 205, 448, 325, 1, 3
1758355456454, 4, 18, 1041, 206, 448, 324, 2, 3
1758355456454, 3, 6, 1056, 204, 450, 324, 1, 3
1758355456454, 1, 3, 1047, 205, 448, 322, 2, 3
1758355456454, 2, 4, 1048, 207, 448, 326, 10, 3
1758355456454, 4, 3, 1047, 207, 448, 324, 1, 4
1758355456454, 4, 5, 1047, 202, 447, 323, 1, 3
1758355456454, 0, 5, 1044, 207, 448, 326, 2, 1
1758355456454, 1, 5, 1047, 204, 451, 321, 2, 4
1758355456454, 6, 5, 1043, 206, 448, 325, 1, 4
1758355456454, 4, 21, 1046, 206, 451, 322, 2, 3
1758355456454, 4, 9, 1044, 209, 448, 325, 2, 3
1758355456454, 3, 7, 1040, 206, 450, 322, 3, 3
1758355456454, 5, 7, 1044, 205, 450, 327, 1, 3
1758355456454, 2, 11, 1040, 206, 450, 322, 2, 7
1758355456454, 4, 8, 1040, 207, 448, 326, 2, 3
1758355456454, 7, 7, 1047, 206, 450, 327, 1, 3
1758355456454, 3, 7, 1052, 206, 448, 327, 2, 4
1758355456454, 2, 6, 1047, 208, 447, 326, 1, 3
1758355456454, 10, 5, 1037, 207, 448, 325, 1, 2
1758355456454, 2, 5, 1044, 205, 453, 325, 2, 3
1758355456454, 6, 4, 1039, 209, 446, 326, 2, 3
1758355456454, 5, 3, 1040, 206, 448, 327, 2, 3
1758355456454, 3, 9, 1040, 206, 449, 327, 1, 4
1758355456454, 2, 4, 1046, 204, 449, 325, 2, 3
1758355456454, 2, 4, 1040, 206, 459, 326, 1, 3
1758355456454, 6, 3, 1047, 204, 455, 325, 1, 9
1758355456454, 3, 4, 1044, 204, 459, 324, 10, 3
1758355456454, 4, 5, 1034, 209, 448, 325, 2, 3
1758355456454, 3, 5, 1040, 207, 448, 327, 1, 4
1758355456454, 3, 5, 1040, 215, 451, 325, 1, 8
1758355456454, 1, 7, 1031, 209, 454, 325, 2, 2
1758355456454, 4, 7, 1045, 205, 448, 321, 2, 4
1758355456454, 4, 23, 1040, 207, 449, 321, 2, 3
1758355456454, 9, 10, 1040, 210, 451, 320, 3, 3
1758355456454, 4, 8, 1043, 206, 448, 320, 2, 3
1758355456454, 3, 8, 1047, 210, 448, 322, 1, 3
1758355456454, 5, 7, 1035, 213, 447, 324, 2, 4
1758355456454, 3, 7, 1040, 205, 451, 321, 2, 3
1758355456454, 7, 5, 1047, 207, 448, 325, 2, 8
1758355456454, 2, 4, 1045, 207, 446, 321, 10, 3
1758355456454, 2, 4, 1044, 213, 448, 321, 2, 3
1758355456454, 4, 3, 1040, 207, 448, 322, 1, 3
1758355456454, 1, 19, 1052, 206, 455, 320, 2, 7
1758355456454, 1, 6, 1046, 204, 451, 322, 1, 4
1758355456454, 3, 20, 1040, 204, 448, 323, 2, 4
