unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758355653277, M, -2, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758355653352, 1, 7, 800, 237, 497, 251, 18, 3
1758355653352, 0, 14, 804, 237, 497, 255, 9, 2
1758355653352, 7, 31, 787, 233, 503, 255, 10, 2
1758355653352, 7, 29, 797, 234, 511, 251, 13, 4
1758355653352, 3, 49, 791, 238, 511, 261, 10, 4
1758355653352, 4, 36, 792, 235, 502, 255, 11, 3
1758355653352, 8, 40, 799, 234, 500, 255, 14, 4
1758355653352, 4, 33, 791, 237, 503, 254, 16, 4
1758355653352, 4, 22, 791, 236, 503, 267, 10, 6
1758355653352, 2, 11, 793, 234, 499, 260, 12, 3
1758355653352, 2, 4, 792, 236, 500, 256, 18, 3
1758355653352, 2, 0, 793, 235, 510, 254, 14, 3
1758355653352, 4, 0, 799, 244, 496, 256, 19, 3
1758355653352, 4, 0, 798, 239, 499, 256, 15, 3
1758355653352, 4, 0, 791, 234, 500, 257, 11, 2
1758355653352, 0, 0, 799, 235, 501, 254, 15, 3
1758355653352, 1, 0, 799, 234, 503, 258, 14, 8
1758355653352, 0, 0, 798, 233, 503, 257, 15, 4
1758355653352, 4, 0, 801, 236, 509, 262, 15, 2
1758355653352, 1, 2, 791, 234, 499, 256, 20, 2
1758355653352, 2, 7, 802, 232, 500, 256, 13, 2
1758355653352, 6, 14, 803, 236, 503, 259, 16, 4
1758355653352, 0, 18, 792, 233, 499, 258, 14, 3
1758355653352, 5, 28, 800, 233, 498, 256, 13, 3
1758355653352, 1, 36, 800, 235, 503, 259, 15, 4
1758355653352, 4, 35, 799, 234, 500, 258, 13, 4
1758355653352, 4, 46, 795, 238, 503, 259, 14, 4
1758355653352, 10, 34, 807, 235, 500, 256, 12, 4
1758355653352, 18, 22, 790, 238, 503, 255, 9, 4
1758355653352, 3, 12, 795, 233, 497, 255, 14, 6
1758355653352, 5, 3, 798, 233, 498, 253, 14, 4
1758355653352, 1, 0, 795, 234, 505, 257, 9, 3
1758355653352, 6, 0, 795, 234, 500, 259, 16, 3
1758355653352, 5, 0, 810, 239, 498, 254, 16, 2
1758355653352, 2, 0, 801, 235, 496, 258, 13, 1
1758355653352, 0, 0, 808, 237, 497, 255, 15, 3
1758355653352, 4, 0, 809, 233, 500, 259, 13, 3
1758355653352, 7, 0, 800, 232, 503, 255, 12, 3
1758355653352, 4, 11, 806, 244, 500, 256, 11, 3
1758355653352, 8, 4, 800, 233, 509, 259, 15, 10
1758355653352, 5, 6, 802, 232, 499, 255, 11, 3
1758355653352, 3, 14, 798, 234, 498, 256, 11, 4
1758355653352, 1, 24, 797, 236, 503, 259, 14, 4
1758355653352, 4, 29, 800, 246, 499, 255, 13, 4
1758355653352, 4, 34, 807, 233, 503, 255, 16, 3
1758355653352, 3, 35, 804, 235, 505, 254, 13, 2
1758355653352, 7, 38, 803, 237, 509, 258, 14, 2
1758355653352, 2, 33, 800, 241, 505, 256, 16, 3
1758355653352, 3, 27, 806, 233, 499, 255, 15, 5
1758355653352, 2, 12, 813, 237, 497, 256, 15, 3
1758355653352, 5, 13, 800, 236, 500, 253, 15, 2
1758355653352, 0, 0, 800, 239, 499, 262, 12, 3
1758355653352, 1, 0, 799, 231, 503, 256, 14, 3
1758355653352, 6, 0, 804, 233, 499, 253, 16, 11
1758355653352, 2, 0, 800, 233, 509, 254, 14, 2
1758355653352, 0, 0, 800, 234, 498, 259, 14, 4
1758355653352, 4, 0, 807, 234, 507, 254, 16, 3
1758355653352, 3, 0, 807, 237, 500, 255, 15, 1
1758355653352, 0, 0, 811, 238, 503, 256, 11, 3
1758355653352, 7, 17, 804, 234, 502, 252, 22, 2
1758355653352, 13, 8, 801, 234, 498, 255, 16, 4
1758355653352, 5, 15, 807, 234, 502, 255, 16, 2
1758355653352, 9, 19, 807, 233, 502, 254, 14, 3
1758355653352, 9, 29, 804, 235, 499, 255, 13, 9
1758355653352, 3, 34, 806, 236, 503, 252, 15, 2
1758355653352, 2, 34, 801, 234, 502, 256, 13, 4
1758355653352, 0, 37, 807, 236, 503, 255, 13, 6
1758355653352, 3, 33, 809, 233, 500, 261, 13, 2
1758355653352, 6, 21, 800, 233, 503, 252, 12, 3
