unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758355905527, M, 4, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758355905672, 3, 20, 672, 175, 471, 291, 11, 3
1758355905672, 3, 0, 683, 178, 475, 295, 1, 3
1758355905672, 1, 0, 675, 176, 475, 294, 9, 2
1758355905672, 6, 0, 676, 174, 470, 294, 10, 3
1758355905672, 1, 0, 681, 177, 475, 291, 11, 4
1758355905672, 7, 0, 683, 176, 468, 288, 13, 9
1758355905672, 4, 4, 686, 174, 471, 289, 23, 2
1758355905672, 2, 0, 673, 175, 469, 293, 5, 1
1758355905672, 11, 0, 679, 174, 472, 291, 12, 0
1758355905672, 6, 1, 676, 176, 469, 290, 19, 1
1758355905672, 1, 19, 683, 177, 476, 291, 14, 4
1758355905672, 4, 15, 673, 177, 468, 293, 8, 2
1758355905672, 5, 17, 671, 184, 469, 294, 12, 4
1758355905672, 2, 24, 683, 178, 467, 294, 6, 5
1758355905672, 5, 32, 676, 177, 472, 291, 10, 3
1758355905672, 5, 32, 685, 176, 475, 289, 11, 4
1758355905672, 7, 36, 685, 177, 475, 294, 11, 5
1758355905672, 6, 32, 679, 175, 473, 293, 11, 5
1758355905672, 7, 23, 672, 179, 468, 291, 8, 4
1758355905672, 8, 14, 673, 176, 468, 294, 13, 6
1758355905672, 3, 7, 673, 176, 471, 291, 10, 4
1758355905672, 4, 0, 679, 176, 474, 292, 16, 1
1758355905672, 10, 0, 687, 176, 473, 289, 11, 2
1758355905672, 3, 0, 677, 174, 475, 297, 13, 3
1758355905672, 3, 0, 679, 184, 468, 291, 9, 4
1758355905672, 0, 0, 688, 176, 474, 296, 10, 2
1758355905672, 3, 0, 680, 175, 475, 290, 14, 2
1758355905672, 0, 0, 680, 175, 472, 291, 11, 3
1758355905672, 3, 0, 675, 175, 473, 293, 16, 2
1758355905672, 2, 0, 681, 178, 473, 292, 14, 4
1758355905672, 6, 5, 681, 177, 467, 290, 10, 10
1758355905672, 0, 12, 680, 177, 468, 292, 10, 2
1758355905672, 3, 16, 683, 177, 472, 293, 10, 5
1758355905672, 5, 24, 684, 176, 472, 292, 10, 4
1758355905672, 0, 30, 679, 177, 472, 291, 16, 4
1758355905672, 4, 47, 679, 176, 472, 288, 11, 4
1758355905672, 3, 37, 675, 176, 475, 292, 14, 3
1758355905672, 12, 34, 682, 177, 474, 292, 13, 6
1758355905672, 1, 24, 676, 176, 472, 289, 13, 2
1758355905672, 5, 15, 683, 178, 471, 292, 21, 4
1758355905672, 1, 7, 672, 186, 474, 296, 7, 4
1758355905672, 6, 0, 673, 177, 467, 291, 14, 2
1758355905672, 0, 0, 678, 176, 473, 289, 4, 2
1758355905672, 1, 0, 678, 174, 473, 290, 10, 1
1758355905672, 2, 0, 683, 176, 467, 286, 10, 3
1758355905672, 2, 0, 675, 177, 467, 292, 9, 0
1758355905672, 2, 0, 679, 176, 473, 290, 7, 2
1758355905672, 7, 0, 672, 182, 474, 293, 11, 2
1758355905672, 8, 0, 679, 176, 473, 288, 14, 2
1758355905672, 3, 0, 672, 175, 476, 291, 11, 6
1758355905672, 7, 20, 679, 184, 471, 290, 10, 2
1758355905672, 2, 13, 671, 177, 470, 288, 11, 10
1758355905672, 2, 17, 673, 174, 472, 291, 11, 5
1758355905672, 1, 25, 680, 177, 479, 293, 12, 3
1758355905672, 3, 45, 671, 176, 468, 294, 11, 3
1758355905672, 4, 33, 676, 175, 468, 290, 9, 4
1758355905672, 1, 36, 671, 175, 469, 290, 12, 3
1758355905672, 3, 32, 673, 176, 473, 292, 15, 5
1758355905672, 7, 24, 683, 172, 474, 288, 6, 3
1758355905672, 8, 30, 673, 176, 477, 292, 12, 4
1758355905672, 2, 9, 678, 176, 470, 291, 10, 9
1758355905672, 5, 0, 684, 176, 476, 293, 10, 4
1758355905672, 4, 0, 679, 176, 483, 289, 9, 4
1758355905672, 3, 0, 673, 175, 477, 289, 11, 2
1758355905672, 2, 0, 679, 176, 470, 288, 10, 5
1758355905672, 1, 0, 675, 175, 472, 289, 12, 3
1758355905672, 3, 3, 675, 179, 472, 299, 11, 2
1758355905672, 4, 0, 675, 177, 480, 292, 12, 5
1758355905672, 1, 0, 676, 176, 475, 289, 9, 6
1758355905672, 1, 1, 673, 177, 477, 293, 15, 4
1758355905672, 5, 5, 679, 177, 471, 288, 12, 4
1758355905672, 4, 13, 675, 176, 477, 292, 12, 10
1758355905672, 2, 16, 683, 177, 472, 297, 13, 4
1758355905672, 1, 24, 672, 178, 472, 298, 11, 4
1758355905672, 4, 31, 673, 175, 470, 294, 11, 9
1758355905672, 5, 33, 675, 176, 476, 291, 8, 2
1758355905673, 5, 36, 679, 175, 476, 295, 9, 4
1758355905673, 9, 32, 676, 177, 472, 291, 10, 5
1758355905673, 9, 23, 676, 175, 470, 292, 11, 3
1758355905673, 12, 15, 678, 172, 481, 293, 12, 2
1758355905673, 3, 6, 673, 173, 478, 302, 15, 2
1758355905673, 3, 5, 676, 183, 472, 299, 12, 7
1758355905673, 2, 0, 675, 178, 475, 294, 9, 3
1758355905673, 4, 0, 681, 178, 479, 295, 12, 4
1758355905673, 3, 0, 675, 176, 475, 289, 9, 8
1758355905673, 4, 0, 679, 176, 469, 295, 9, 5
1758355905673, 9, 4, 679, 179, 471, 293, 16, 4
1758355905673, 0, 0, 682, 176, 472, 291, 9, 2
1758355905673, 9, 0, 673, 171, 470, 292, 6, 4
1758355905673, 3, 0, 675, 185, 471, 293, 18, 4
1758355905673, 3, 4, 674, 174, 470, 295, 10, 6
1758355905673, 1, 27, 682, 181, 470, 292, 9, 12
1758355905673, 1, 31, 678, 177, 471, 297, 10, 4
1758355905673, 4, 27, 675, 176, 472, 301, 12, 4
1758355905673, 3, 46, 684, 174, 472, 292, 10, 12
1758355905673, 6, 49, 680, 176, 475, 289, 12, 4
1758355905673, 6, 38, 683, 176, 469, 293, 10, 3
1758355905673, 4, 34, 679, 173, 471, 294, 6, 0
1758355905673, 7, 24, 673, 178, 480, 296, 9, 4
1758355905673, 8, 15, 678, 175, 467, 292, 19, 5
1758355905673, 5, 7, 685, 176, 472, 292, 10, 2
1758355905673, 4, 5, 673, 177, 469, 290, 9, 2
1758355905673, 2, 0, 683, 177, 472, 291, 14, 3
1758355905673, 4, 0, 672, 178, 471, 294, 8, 3
1758355905673, 3, 0, 679, 177, 472, 291, 11, 2
1758355905673, 3, 0, 675, 175, 475, 292, 10, 3
1758355905673, 2, 0, 684, 178, 474, 292, 19, 0
1758355905673, 5, 0, 671, 174, 469, 291, 11, 5
1758355905673, 4, 0, 675, 186, 470, 295, 10, 2
1758355905673, 6, 0, 682, 177, 470, 298, 5, 0
1758355905673, 5, 5, 676, 174, 472, 299, 10, 3
1758355905673, 3, 12, 673, 175, 475, 292, 9, 4
1758355905673, 6, 31, 672, 176, 469, 295, 11, 3
1758355905673, 9, 27, 677, 181, 472, 295, 10, 4
1758355905673, 5, 31, 679, 175, 472, 297, 8, 3
1758355905673, 4, 33, 683, 176, 483, 297, 14, 2
1758355905673, 5, 36, 679, 174, 471, 292, 14, 1
1758355905673, 1, 32, 681, 176, 476, 294, 11, 5
1758355905673, 1, 24, 679, 176, 474, 292, 9, 4
1758355905673, 4, 14, 675, 173, 470, 293, 15, 4
1758355905673, 3, 22, 676, 177, 476, 293, 5, 0
1758355905673, 2, 0, 679, 174, 474, 301, 12, 8
1758355905673, 3, 0, 677, 175, 472, 292, 10, 4
1758355905673, 0, 0, 675, 174, 468, 297, 9, 4
1758355905673, 3, 0, 675, 179, 473, 296, 11, 4
1758355905673, 3, 0, 685, 176, 471, 294, 6, 2
1758355905673, 2, 0, 672, 173, 474, 293, 9, 4
1758355905673, 3, 0, 672, 174, 472, 297, 7, 4
1758355905673, 4, 0, 675, 175, 475, 290, 11, 4
1758355905673, 3, 0, 673, 176, 467, 297, 3, 0
1758355905673, 5, 5, 679, 175, 469, 293, 11, 6
1758355905673, 6, 11, 675, 178, 474, 291, 10, 3
1758355905673, 4, 16, 683, 176, 475, 291, 12, 3
1758355905673, 5, 25, 685, 179, 472, 300, 9, 5
1758355905673, 5, 32, 675, 176, 470, 291, 9, 4
1758355905673, 4, 32, 675, 181, 470, 293, 8, 2
1758355905673, 7, 34, 683, 177, 472, 293, 15, 5
1758355905673, 7, 32, 683, 174, 472, 300, 13, 4
1758355905673, 6, 24, 687, 178, 475, 294, 11, 4
1758355905673, 0, 15, 672, 181, 472, 297, 11, 5
1758355905673, 7, 6, 673, 173, 470, 302, 13, 2
1758355905673, 7, 0, 675, 178, 475, 291, 20, 2
1758355905673, 2, 0, 678, 173, 469, 295, 12, 1
1758355905673, 1, 0, 672, 178, 468, 289, 8, 6
1758355905673, 1, 0, 678, 173, 475, 295, 8, 3
1758355905674, 1, 0, 678, 176, 482, 290, 10, 14
1758355905674, 2, 3, 683, 175, 477, 291, 13, 7
1758355905674, 5, 0, 679, 176, 472, 292, 12, 4
1758355905676, 0, 0, 683, 177, 476, 301, 8, 1
1758355905678, 5, 17, 682, 176, 470, 287, 9, 2
1758355905678, 3, 6, 680, 177, 476, 303, 12, 1
1758355905678, 3, 19, 677, 173, 473, 295, 14, 3
1758355905692, 4, 17, 683, 176, 473, 297, 10, 5
1758355905692, 4, 25, 680, 176, 469, 293, 8, 3
1758355905692, 5, 46, 677, 175, 480, 293, 14, 3
1758355905692, 5, 48, 677, 177, 472, 297, 10, 5
1758355905692, 5, 37, 683, 174, 474, 292, 10, 4
1758355905692, 3, 33, 679, 175, 469, 294, 7, 0
1758355905692, 4, 24, 686, 177, 475, 292, 11, 3
1758355905692, 7, 17, 688, 177, 467, 294, 12, 13
1758355905693, 5, 7, 683, 176, 473, 294, 10, 5
1758355905693, 3, 0, 680, 175, 470, 295, 13, 7
