unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758355917528, M, 5, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758355917648, 3, 23, 700, 172, 461, 319, 17, 5
1758355917648, 6, 17, 695, 169, 460, 315, 16, 3
1758355917648, 11, 24, 699, 170, 471, 324, 16, 3
1758355917648, 3, 31, 702, 169, 464, 318, 19, 5
1758355917648, 4, 31, 695, 168, 463, 316, 14, 9
1758355917648, 6, 35, 699, 169, 461, 319, 15, 7
1758355917648, 2, 48, 703, 167, 463, 317, 15, 4
1758355917648, 8, 26, 703, 174, 461, 317, 15, 2
1758355917648, 3, 18, 707, 168, 459, 314, 14, 11
1758355917648, 5, 8, 702, 167, 459, 316, 12, 1
1758355917648, 2, 0, 703, 168, 460, 317, 15, 2
1758355917648, 0, 0, 704, 169, 463, 316, 16, 6
1758355917648, 2, 0, 703, 170, 459, 325, 13, 6
1758355917648, 2, 0, 711, 167, 461, 323, 13, 6
1758355917648, 2, 0, 703, 168, 459, 313, 13, 2
1758355917648, 1, 0, 701, 168, 461, 321, 8, 3
1758355917648, 5, 0, 703, 167, 470, 315, 15, 5
1758355917648, 6, 0, 701, 170, 460, 313, 15, 4
1758355917648, 12, 0, 696, 166, 467, 313, 16, 4
1758355917648, 3, 4, 699, 170, 459, 312, 13, 2
1758355917648, 3, 11, 698, 171, 467, 313, 18, 4
1758355917648, 3, 20, 699, 168, 468, 317, 13, 2
1758355917648, 3, 26, 702, 169, 467, 316, 13, 2
1758355917648, 4, 44, 711, 170, 468, 326, 12, 4
1758355917648, 1, 31, 702, 170, 463, 315, 14, 3
1758355917648, 3, 36, 707, 170, 464, 318, 16, 3
1758355917648, 4, 48, 716, 172, 467, 318, 14, 1
1758355917648, 11, 25, 698, 170, 460, 314, 17, 5
1758355917648, 0, 30, 701, 167, 463, 314, 14, 1
1758355917648, 6, 25, 701, 167, 458, 312, 12, 3
1758355917648, 0, 0, 705, 169, 468, 315, 16, 2
1758355917648, 4, 0, 703, 168, 463, 319, 17, 1
1758355917648, 2, 0, 700, 167, 467, 317, 16, 3
1758355917648, 3, 0, 706, 177, 461, 315, 15, 3
1758355917648, 4, 0, 695, 170, 463, 315, 16, 3
1758355917648, 2, 0, 703, 169, 461, 315, 15, 6
1758355917648, 7, 6, 700, 166, 463, 317, 15, 4
1758355917648, 9, 0, 704, 169, 463, 319, 14, 3
1758355917648, 4, 1, 696, 168, 459, 316, 16, 2
1758355917648, 4, 12, 705, 172, 465, 316, 21, 4
1758355917648, 4, 13, 695, 170, 463, 316, 15, 7
1758355917648, 2, 16, 695, 175, 472, 316, 14, 3
1758355917648, 7, 24, 702, 170, 463, 318, 15, 5
1758355917648, 1, 32, 705, 172, 465, 319, 17, 2
1758355917648, 2, 30, 695, 172, 460, 316, 16, 3
1758355917648, 2, 35, 700, 169, 459, 319, 15, 3
1758355917648, 6, 33, 703, 177, 462, 315, 15, 6
1758355917648, 0, 24, 703, 171, 463, 323, 17, 5
1758355917648, 7, 15, 703, 171, 463, 315, 16, 4
1758355917648, 3, 17, 700, 173, 463, 315, 16, 0
1758355917648, 3, 0, 696, 172, 461, 315, 14, 8
1758355917648, 1, 0, 704, 169, 462, 320, 14, 3
1758355917648, 3, 0, 695, 174, 459, 315, 12, 2
1758355917648, 1, 0, 702, 170, 471, 318, 16, 9
1758355917648, 3, 0, 692, 173, 463, 314, 12, 3
1758355917648, 1, 0, 687, 171, 467, 315, 13, 2
1758355917648, 4, 7, 696, 169, 459, 315, 20, 2
1758355917648, 0, 0, 691, 171, 459, 318, 14, 3
1758355917648, 6, 14, 689, 169, 459, 318, 15, 8
1758355917648, 2, 6, 688, 170, 460, 318, 23, 1
1758355917648, 5, 11, 695, 169, 463, 315, 12, 11
1758355917648, 3, 16, 695, 180, 459, 319, 13, 4
1758355917648, 3, 24, 699, 169, 463, 315, 16, 4
1758355917648, 3, 31, 690, 170, 462, 315, 13, 6
1758355917648, 1, 31, 688, 177, 462, 320, 13, 4
1758355917648, 3, 35, 689, 171, 462, 315, 10, 4
1758355917648, 2, 32, 694, 171, 463, 316, 13, 7
1758355917648, 1, 24, 697, 167, 469, 316, 9, 6
1758355917648, 4, 15, 687, 169, 460, 317, 17, 5
1758355917648, 4, 7, 687, 175, 460, 314, 15, 2
1758355917648, 0, 0, 693, 168, 459, 316, 10, 12
1758355917648, 3, 0, 691, 171, 471, 318, 15, 2
1758355917648, 3, 0, 694, 172, 463, 318, 7, 3
1758355917648, 1, 0, 688, 171, 465, 319, 12, 2
1758355917648, 2, 0, 688, 170, 463, 316, 14, 3
1758355917648, 4, 0, 687, 183, 463, 319, 14, 5
1758355917648, 6, 0, 687, 170, 467, 319, 13, 1
1758355917648, 4, 0, 695, 175, 469, 318, 8, 11
1758355917648, 7, 7, 684, 174, 469, 319, 12, 6
1758355917648, 7, 6, 695, 173, 464, 316, 12, 5
1758355917648, 8, 11, 694, 171, 471, 315, 12, 3
1758355917648, 5, 17, 695, 174, 465, 316, 12, 3
1758355917648, 3, 24, 695, 171, 463, 315, 15, 3
1758355917648, 5, 32, 695, 172, 462, 316, 15, 4
1758355917648, 6, 31, 695, 174, 464, 314, 14, 2
1758355917648, 6, 35, 692, 174, 472, 323, 13, 9
1758355917648, 0, 32, 689, 171, 463, 319, 13, 4
1758355917648, 7, 36, 702, 175, 468, 319, 10, 3
1758355917648, 6, 16, 693, 173, 463, 327, 8, 10
1758355917648, 6, 21, 688, 174, 461, 324, 12, 2
1758355917648, 1, 0, 701, 174, 461, 317, 10, 1
1758355917648, 3, 0, 687, 173, 463, 318, 14, 4
1758355917648, 3, 0, 687, 173, 464, 316, 10, 1
1758355917648, 6, 0, 695, 174, 459, 315, 8, 12
1758355917648, 9, 0, 695, 172, 460, 316, 9, 1
1758355917648, 6, 2, 687, 177, 463, 316, 10, 5
1758355917648, 2, 0, 687, 171, 459, 319, 14, 2
1758355917648, 3, 0, 689, 170, 463, 316, 12, 2
1758355917648, 3, 15, 691, 171, 459, 317, 16, 8
1758355917648, 8, 7, 692, 174, 467, 317, 18, 3
1758355917648, 3, 11, 695, 174, 462, 320, 16, 4
1758355917648, 9, 16, 699, 174, 456, 316, 11, 3
1758355917648, 5, 24, 698, 174, 460, 319, 12, 3
1758355917648, 4, 47, 694, 175, 471, 316, 12, 3
1758355917648, 3, 34, 689, 173, 469, 318, 13, 4
1758355917648, 4, 51, 692, 171, 460, 315, 13, 8
1758355917648, 5, 36, 691, 173, 465, 319, 13, 1
1758355917648, 3, 40, 688, 180, 467, 318, 16, 2
1758355917648, 0, 17, 695, 168, 463, 318, 11, 3
1758355917648, 4, 8, 696, 175, 459, 317, 11, 13
1758355917648, 1, 0, 692, 179, 459, 321, 19, 3
1758355917648, 4, 0, 686, 171, 463, 318, 12, 5
1758355917648, 4, 0, 692, 172, 471, 314, 15, 2
1758355917648, 5, 0, 694, 171, 460, 315, 12, 4
1758355917648, 4, 0, 691, 172, 459, 321, 8, 3
1758355917648, 3, 0, 695, 171, 471, 319, 15, 4
