unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356024863, M, -1, 4, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356024980, 3, 5, 339, 131, 428, 295, 0, 2
1758356024980, 9, 9, 339, 132, 430, 293, 2, 3
1758356024980, 0, 28, 340, 136, 430, 297, 1, 4
1758356024980, 2, 19, 341, 134, 425, 295, 2, 3
1758356024980, 7, 41, 340, 131, 427, 294, 0, 3
1758356024980, 3, 45, 337, 135, 427, 296, 5, 2
1758356024980, 4, 31, 342, 132, 431, 296, 4, 5
1758356024980, 2, 46, 338, 133, 429, 296, 2, 7
1758356024980, 11, 27, 339, 136, 434, 297, 8, 2
1758356024980, 7, 15, 337, 132, 435, 296, 0, 2
1758356024980, 2, 8, 339, 132, 430, 297, 4, 2
1758356024980, 4, 0, 340, 137, 435, 299, 1, 0
1758356024980, 6, 1, 339, 132, 428, 295, 0, 5
1758356024980, 3, 0, 343, 134, 441, 296, 3, 3
1758356024980, 5, 0, 339, 134, 429, 295, 8, 5
1758356024980, 5, 0, 347, 131, 433, 297, 4, 3
1758356024980, 3, 0, 336, 135, 435, 296, 4, 2
1758356024980, 6, 1, 338, 134, 433, 296, 6, 3
1758356024980, 3, 0, 344, 133, 435, 299, 2, 2
1758356024980, 1, 2, 349, 133, 431, 298, 6, 3
1758356024980, 9, 5, 341, 135, 435, 297, 3, 3
1758356024980, 6, 9, 349, 136, 435, 299, 3, 2
1758356024980, 6, 14, 340, 135, 432, 306, 2, 2
1758356024980, 0, 17, 358, 143, 435, 295, 3, 4
1758356024980, 0, 26, 353, 135, 434, 294, 2, 3
1758356024980, 3, 26, 341, 133, 433, 302, 1, 5
1758356024980, 3, 39, 341, 136, 429, 299, 1, 4
1758356024980, 6, 30, 345, 134, 436, 302, 2, 6
1758356024980, 3, 39, 341, 137, 434, 300, 1, 2
1758356024980, 9, 16, 340, 137, 435, 298, 1, 2
1758356024980, 6, 9, 345, 136, 429, 303, 0, 1
1758356024980, 10, 0, 343, 134, 428, 299, 5, 4
1758356024980, 6, 0, 343, 137, 435, 302, 1, 4
1758356024980, 2, 0, 343, 139, 434, 302, 4, 3
1758356024980, 4, 0, 344, 137, 430, 303, 3, 3
1758356024980, 3, 0, 348, 140, 432, 299, 2, 3
1758356024980, 3, 0, 345, 138, 432, 298, 2, 3
1758356024980, 3, 0, 338, 139, 434, 303, 0, 4
1758356024980, 0, 0, 343, 138, 432, 299, 6, 3
1758356024980, 5, 18, 342, 136, 432, 298, 2, 4
1758356024980, 3, 7, 349, 140, 432, 300, 1, 3
1758356024980, 4, 10, 349, 137, 433, 310, 3, 2
1758356024980, 6, 14, 343, 141, 432, 303, 4, 2
1758356024980, 14, 17, 347, 139, 435, 300, 10, 3
1758356024980, 6, 25, 345, 144, 432, 300, 1, 4
1758356024980, 3, 27, 351, 143, 431, 304, 4, 3
1758356024980, 0, 28, 348, 152, 432, 309, 1, 4
1758356024980, 7, 28, 349, 142, 435, 307, 3, 4
1758356024980, 3, 22, 345, 143, 432, 304, 5, 2
1758356024980, 1, 13, 350, 141, 438, 314, 1, 3
1758356024980, 4, 9, 349, 141, 432, 303, 1, 3
1758356024980, 5, 0, 344, 147, 435, 301, 3, 2
1758356024980, 5, 0, 344, 144, 446, 303, 14, 4
1758356024980, 0, 0, 345, 143, 437, 301, 16, 12
