unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356132914, M, -2, 4, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356132994, 13, 24, 728, 215, 468, 267, 3, 3
1758356132994, 5, 13, 731, 208, 469, 265, 1, 3
1758356132994, 5, 20, 731, 215, 469, 268, 1, 4
1758356132994, 5, 0, 725, 213, 471, 271, 0, 1
1758356132994, 6, 0, 728, 212, 465, 268, 2, 2
1758356132994, 2, 0, 728, 210, 471, 268, 3, 3
1758356132994, 5, 0, 731, 210, 471, 264, 0, 2
1758356132994, 1, 0, 735, 210, 471, 267, 1, 3
1758356132994, 0, 0, 731, 209, 471, 269, 3, 3
1758356132994, 0, 0, 728, 210, 468, 274, 3, 2
1758356132994, 3, 0, 732, 212, 467, 268, 1, 4
1758356132994, 1, 1, 736, 210, 471, 266, 1, 3
1758356132994, 3, 19, 732, 209, 473, 269, 4, 10
1758356132994, 5, 15, 731, 210, 467, 271, 0, 3
1758356132994, 6, 19, 736, 210, 467, 270, 4, 2
1758356132994, 6, 26, 731, 211, 465, 270, 1, 3
1758356132994, 4, 37, 725, 211, 471, 267, 3, 1
1758356132994, 2, 34, 732, 211, 465, 267, 3, 3
1758356132994, 1, 37, 723, 206, 470, 270, 0, 3
1758356132994, 1, 46, 727, 210, 467, 268, 3, 9
1758356132994, 6, 25, 730, 208, 467, 267, 2, 3
1758356132994, 11, 14, 731, 210, 471, 268, 10, 13
1758356132994, 2, 3, 734, 211, 473, 268, 3, 3
1758356132994, 0, 0, 732, 211, 475, 276, 3, 3
1758356132994, 0, 0, 730, 208, 471, 267, 0, 2
1758356132994, 2, 0, 731, 212, 467, 269, 0, 4
1758356132994, 2, 0, 728, 210, 469, 263, 1, 2
1758356132994, 2, 0, 726, 211, 469, 273, 0, 5
1758356132994, 5, 0, 728, 210, 471, 264, 0, 1
1758356132994, 7, 0, 723, 212, 468, 270, 0, 3
1758356132994, 0, 0, 728, 208, 467, 268, 5, 2
1758356132994, 3, 0, 731, 209, 475, 268, 0, 2
1758356132994, 4, 5, 731, 213, 465, 266, 2, 2
1758356132994, 4, 14, 731, 211, 471, 269, 0, 8
1758356132994, 0, 18, 731, 208, 477, 265, 3, 4
1758356132994, 0, 28, 725, 212, 468, 275, 2, 3
1758356132994, 12, 37, 723, 210, 477, 265, 2, 3
1758356132994, 1, 34, 730, 209, 465, 268, 3, 4
1758356132994, 3, 39, 723, 212, 469, 265, 0, 5
1758356132994, 2, 37, 730, 212, 471, 268, 2, 2
1758356132994, 0, 24, 727, 212, 471, 263, 7, 5
1758356132994, 3, 13, 728, 209, 469, 267, 1, 2
1758356132994, 8, 4, 728, 214, 468, 262, 2, 3
1758356132994, 3, 0, 724, 211, 469, 265, 3, 7
1758356132994, 4, 0, 733, 211, 463, 266, 1, 3
1758356132994, 7, 0, 734, 211, 467, 268, 1, 4
1758356132994, 4, 0, 729, 209, 470, 267, 2, 4
1758356132994, 3, 0, 722, 211, 469, 267, 0, 4
1758356132994, 8, 0, 724, 212, 471, 268, 0, 3
1758356132994, 12, 6, 724, 209, 465, 268, 3, 3
1758356132994, 3, 10, 724, 219, 472, 267, 1, 4
1758356132994, 9, 4, 723, 213, 467, 266, 7, 3
1758356132994, 5, 5, 728, 209, 464, 268, 3, 3
1758356132994, 2, 13, 719, 211, 463, 266, 3, 3
1758356132994, 1, 19, 720, 212, 468, 267, 1, 3
1758356132994, 7, 28, 727, 210, 465, 265, 1, 3
1758356132994, 7, 36, 724, 216, 468, 265, 1, 2
1758356132994, 6, 47, 732, 212, 470, 266, 1, 3
1758356132994, 1, 41, 720, 210, 469, 268, 3, 3
1758356132994, 4, 35, 715, 211, 471, 265, 9, 3
1758356132994, 9, 23, 728, 213, 468, 263, 9, 8
1758356132994, 5, 14, 728, 211, 464, 269, 0, 4
1758356132994, 8, 4, 721, 211, 466, 271, 1, 4
1758356132994, 3, 0, 731, 212, 463, 269, 0, 3
1758356132994, 1, 0, 721, 211, 466, 267, 1, 3
1758356132994, 5, 0, 727, 209, 466, 269, 0, 4
1758356132994, 1, 0, 721, 211, 471, 264, 1, 2
1758356132994, 3, 0, 724, 213, 469, 264, 4, 2
1758356132994, 5, 0, 728, 209, 469, 267, 2, 2
1758356132994, 4, 0, 723, 210, 464, 267, 0, 10
1758356132994, 6, 0, 724, 216, 468, 271, 3, 2
1758356132994, 5, 1, 731, 212, 467, 267, 0, 3
1758356132994, 7, 17, 724, 211, 467, 266, 2, 4
1758356132994, 6, 15, 723, 221, 463, 269, 0, 1
1758356132994, 3, 32, 728, 209, 467, 269, 2, 4
1758356132994, 4, 29, 730, 211, 468, 266, 4, 4
1758356132994, 2, 36, 719, 214, 463, 269, 4, 3
1758356132994, 6, 34, 723, 217, 464, 266, 0, 3
1758356132994, 12, 46, 729, 211, 470, 267, 0, 5
1758356132994, 8, 37, 731, 213, 464, 263, 1, 3
1758356132994, 3, 22, 732, 211, 463, 271, 4, 4
1758356132995, 4, 12, 727, 208, 465, 267, 1, 5
1758356132997, 5, 19, 728, 212, 464, 271, 3, 2
1758356132997, 4, 0, 723, 213, 465, 267, 2, 4
1758356133000, 1, 0, 728, 210, 469, 268, 1, 4
1758356133001, 3, 0, 727, 212, 468, 269, 3, 3
1758356133002, 0, 0, 729, 211, 464, 275, 0, 3
1758356133002, 5, 0, 728, 210, 467, 268, 1, 3
1758356133032, 5, 0, 728, 211, 469, 265, 3, 4
1758356133032, 1, 0, 723, 209, 472, 266, 3, 2
1758356133032, 5, 0, 729, 211, 470, 265, 0, 4
1758356133032, 10, 0, 721, 215, 471, 273, 1, 4
1758356133032, 9, 5, 731, 213, 467, 267, 7, 4
1758356133032, 13, 13, 724, 210, 466, 268, 1, 3
1758356133032, 2, 19, 721, 212, 462, 268, 2, 3
