unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356258833, M, 2, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356259246, 4, 0, 516, 179, 440, 250, 59, 3
1758356259246, 8, 0, 519, 180, 443, 252, 60, 4
1758356259246, 3, 2, 518, 179, 441, 247, 57, 3
1758356259246, 0, 11, 516, 181, 443, 252, 58, 4
1758356259246, 3, 14, 523, 182, 446, 248, 58, 1
1758356259246, 3, 20, 519, 184, 441, 248, 59, 7
1758356259246, 7, 32, 519, 179, 442, 252, 60, 2
1758356259246, 3, 29, 515, 182, 446, 250, 63, 0
1758356259246, 4, 39, 518, 181, 446, 250, 60, 1
1758356259246, 4, 53, 522, 181, 446, 255, 60, 3
1758356259246, 5, 31, 519, 178, 440, 250, 64, 4
1758356259246, 6, 18, 519, 181, 441, 251, 59, 3
1758356259246, 3, 12, 513, 181, 454, 250, 71, 1
1758356259246, 0, 0, 519, 180, 444, 249, 60, 3
1758356259246, 5, 0, 521, 181, 446, 250, 60, 2
1758356259246, 8, 0, 511, 185, 440, 251, 59, 2
1758356259246, 0, 0, 519, 188, 446, 247, 59, 3
1758356259246, 4, 0, 512, 190, 444, 251, 66, 3
1758356259246, 4, 0, 517, 179, 445, 247, 57, 1
1758356259246, 0, 0, 519, 181, 445, 245, 53, 5
1758356259246, 0, 0, 511, 181, 440, 248, 59, 4
1758356259246, 0, 0, 513, 178, 443, 251, 63, 8
1758356259246, 5, 17, 516, 187, 444, 254, 63, 3
1758356259246, 0, 11, 516, 181, 443, 253, 56, 3
1758356259246, 0, 16, 516, 180, 444, 249, 58, 3
1758356259246, 4, 21, 519, 184, 445, 248, 59, 11
1758356259246, 1, 34, 515, 181, 444, 253, 60, 6
1758356259246, 4, 31, 511, 183, 444, 249, 60, 3
1758356259246, 4, 37, 515, 183, 451, 252, 54, 3
1758356259246, 5, 38, 515, 188, 444, 259, 64, 3
1758356259246, 11, 29, 514, 178, 441, 252, 58, 8
1758356259246, 10, 31, 516, 179, 449, 254, 61, 4
1758356259246, 7, 14, 517, 180, 443, 253, 59, 6
1758356259246, 7, 0, 527, 180, 448, 252, 61, 2
1758356259246, 4, 0, 510, 181, 439, 251, 61, 6
1758356259246, 5, 0, 516, 180, 441, 253, 59, 1
1758356259246, 5, 0, 513, 187, 441, 255, 57, 2
1758356259246, 6, 0, 519, 179, 443, 249, 59, 4
1758356259246, 3, 0, 519, 182, 444, 248, 60, 2
1758356259246, 4, 0, 523, 182, 444, 252, 61, 2
1758356259246, 7, 0, 513, 177, 439, 251, 57, 0
1758356259246, 5, 0, 513, 177, 451, 252, 54, 2
1758356259246, 2, 2, 521, 180, 444, 249, 60, 2
1758356259246, 2, 9, 523, 182, 441, 247, 59, 3
1758356259246, 7, 15, 523, 179, 444, 250, 58, 4
1758356259246, 0, 22, 514, 180, 446, 249, 57, 4
1758356259246, 3, 33, 520, 180, 446, 251, 58, 2
1758356259246, 7, 29, 515, 187, 441, 255, 60, 3
1758356259246, 5, 37, 531, 181, 446, 251, 61, 4
1758356259246, 4, 38, 520, 179, 442, 252, 56, 2
1758356259246, 8, 29, 516, 181, 448, 251, 65, 4
1758356259246, 8, 17, 526, 178, 442, 250, 61, 3
1758356259246, 5, 11, 523, 179, 443, 255, 55, 1
1758356259246, 5, 0, 527, 181, 444, 253, 59, 3
1758356259246, 1, 0, 519, 180, 445, 255, 60, 4
1758356259246, 4, 0, 515, 178, 444, 251, 56, 5
1758356259246, 2, 0, 515, 183, 442, 250, 58, 3
1758356259246, 2, 0, 518, 179, 445, 247, 59, 1
1758356259246, 5, 0, 524, 179, 446, 249, 59, 5
1758356259246, 10, 0, 521, 181, 441, 250, 58, 3
1758356259246, 3, 0, 519, 181, 439, 248, 59, 4
1758356259246, 0, 0, 519, 183, 445, 248, 56, 1
1758356259246, 4, 1, 524, 180, 447, 250, 62, 5
1758356259246, 5, 10, 519, 182, 442, 256, 59, 4
1758356259246, 5, 16, 518, 182, 446, 255, 59, 12
1758356259246, 3, 22, 512, 181, 441, 250, 62, 11
1758356259246, 5, 33, 515, 181, 447, 249, 61, 1
1758356259246, 3, 31, 520, 182, 443, 251, 59, 2
1758356259246, 4, 36, 514, 180, 447, 255, 57, 4
1758356259246, 6, 37, 520, 180, 443, 254, 64, 3
1758356259246, 8, 28, 516, 181, 443, 253, 65, 0
1758356259246, 0, 17, 512, 183, 446, 250, 60, 0
1758356259246, 3, 12, 521, 181, 444, 253, 56, 2
1758356259246, 4, 0, 515, 178, 443, 253, 59, 1
1758356259246, 1, 0, 517, 182, 445, 252, 57, 2
1758356259246, 1, 0, 513, 181, 446, 250, 60, 3
1758356259246, 2, 0, 517, 180, 444, 248, 60, 2
1758356259246, 3, 0, 517, 181, 451, 249, 60, 3
1758356259246, 4, 0, 521, 181, 446, 247, 58, 5
1758356259246, 0, 0, 516, 179, 440, 248, 67, 3
1758356259246, 0, 10, 515, 183, 441, 251, 61, 8
1758356259246, 4, 2, 516, 181, 447, 248, 59, 7
1758356259246, 2, 3, 519, 179, 449, 250, 62, 1
1758356259246, 4, 11, 516, 178, 447, 250, 60, 0
