unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356270834, M, 3, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356270933, 1, 9, 537, 183, 445, 253, 45, 4
1758356270933, 0, 0, 536, 179, 446, 255, 47, 5
1758356270933, 6, 0, 539, 180, 448, 256, 46, 0
1758356270933, 2, 0, 536, 183, 451, 256, 44, 1
1758356270933, 5, 0, 533, 179, 444, 256, 45, 3
1758356270933, 4, 0, 537, 182, 447, 252, 48, 3
1758356270933, 5, 0, 531, 181, 446, 258, 47, 3
1758356270933, 3, 4, 539, 185, 451, 254, 46, 3
1758356270933, 6, 0, 530, 182, 455, 253, 55, 3
1758356270933, 1, 15, 532, 183, 447, 257, 46, 4
1758356270933, 4, 6, 534, 181, 445, 253, 44, 3
1758356270933, 6, 11, 537, 180, 443, 256, 48, 0
1758356270933, 0, 16, 531, 190, 445, 255, 46, 3
1758356270933, 2, 24, 535, 185, 450, 254, 47, 0
1758356270933, 7, 33, 529, 183, 445, 262, 48, 3
1758356270933, 6, 31, 533, 182, 444, 254, 46, 4
1758356270933, 5, 47, 535, 181, 445, 254, 46, 2
1758356270933, 5, 37, 536, 182, 445, 255, 42, 2
1758356270933, 6, 25, 532, 182, 447, 253, 43, 3
1758356270933, 0, 16, 536, 180, 451, 256, 44, 2
1758356270933, 1, 9, 531, 181, 447, 253, 46, 3
1758356270933, 2, 3, 531, 179, 445, 257, 44, 3
1758356270933, 1, 0, 533, 182, 448, 261, 45, 4
1758356270933, 6, 0, 537, 180, 445, 255, 46, 4
1758356270933, 3, 0, 532, 185, 443, 256, 43, 3
1758356270933, 5, 0, 534, 193, 451, 255, 44, 3
1758356270933, 7, 0, 535, 182, 443, 257, 43, 3
1758356270933, 9, 0, 539, 183, 447, 252, 47, 3
1758356270933, 5, 11, 533, 181, 446, 254, 42, 2
1758356270933, 0, 2, 539, 181, 446, 260, 42, 3
1758356270933, 7, 4, 537, 183, 445, 257, 42, 0
1758356270933, 2, 16, 532, 180, 447, 253, 46, 4
1758356270933, 3, 18, 536, 180, 453, 256, 48, 1
1758356270933, 2, 24, 530, 185, 445, 263, 42, 3
1758356270933, 3, 34, 538, 183, 445, 256, 42, 2
1758356270933, 3, 31, 538, 181, 449, 256, 45, 3
1758356270933, 4, 36, 532, 184, 445, 259, 50, 0
1758356270933, 7, 34, 537, 183, 450, 256, 45, 3
1758356270933, 6, 27, 532, 188, 447, 252, 46, 3
1758356270933, 3, 15, 531, 185, 445, 262, 47, 4
1758356270933, 5, 8, 534, 187, 447, 253, 42, 2
1758356270933, 3, 6, 531, 189, 447, 251, 43, 3
1758356270933, 5, 0, 535, 182, 446, 265, 52, 4
1758356270933, 11, 0, 537, 183, 444, 254, 44, 3
1758356270933, 0, 0, 534, 181, 445, 260, 44, 3
1758356270933, 3, 0, 529, 180, 446, 256, 45, 2
1758356270933, 1, 0, 535, 183, 446, 256, 44, 3
1758356270933, 3, 0, 537, 182, 448, 254, 47, 2
1758356270933, 10, 0, 534, 180, 449, 255, 42, 4
1758356270933, 6, 15, 532, 193, 451, 255, 43, 0
1758356270933, 0, 7, 531, 185, 443, 255, 45, 2
1758356270933, 5, 13, 534, 183, 451, 254, 46, 4
1758356270933, 3, 16, 530, 184, 448, 259, 44, 3
1758356270933, 11, 35, 528, 184, 447, 254, 46, 3
1758356270933, 6, 34, 528, 182, 451, 254, 44, 2
1758356270933, 5, 32, 527, 183, 446, 256, 45, 3
1758356270933, 2, 52, 533, 185, 451, 255, 44, 3
1758356270933, 4, 37, 533, 181, 453, 258, 43, 5
1758356270933, 6, 41, 536, 182, 446, 256, 47, 3
1758356270933, 6, 17, 527, 181, 443, 255, 40, 2
1758356270933, 6, 8, 529, 190, 451, 255, 40, 0
1758356270933, 2, 0, 528, 183, 447, 256, 46, 2
1758356270933, 1, 0, 530, 181, 447, 253, 40, 2
1758356270933, 4, 0, 532, 183, 448, 255, 46, 2
1758356270933, 1, 0, 531, 180, 446, 253, 43, 3
1758356270933, 5, 0, 528, 185, 447, 252, 39, 7
1758356270933, 2, 3, 527, 183, 446, 253, 44, 4
1758356270933, 6, 5, 530, 180, 451, 255, 43, 2
1758356270933, 0, 12, 530, 184, 448, 265, 46, 1
1758356270933, 7, 3, 528, 183, 447, 256, 44, 3
1758356270933, 11, 5, 528, 182, 447, 252, 43, 2
1758356270933, 5, 11, 531, 184, 448, 254, 45, 3
1758356270933, 2, 17, 528, 181, 451, 255, 44, 6
1758356270933, 3, 40, 534, 185, 450, 254, 44, 1
1758356270933, 3, 35, 528, 183, 450, 259, 43, 4
1758356270933, 3, 34, 539, 184, 448, 255, 44, 2
1758356270933, 5, 37, 529, 185, 450, 253, 44, 5
1758356270933, 3, 34, 527, 181, 445, 258, 44, 4
1758356270933, 6, 24, 528, 183, 447, 256, 43, 1
1758356270933, 5, 30, 530, 182, 453, 255, 44, 3
1758356270933, 6, 9, 532, 193, 450, 252, 44, 2
1758356270933, 5, 0, 531, 181, 446, 253, 51, 4
1758356270933, 5, 0, 528, 180, 447, 255, 41, 2
1758356270933, 6, 0, 531, 182, 445, 253, 42, 3
1758356270933, 3, 0, 528, 183, 447, 257, 41, 6
1758356270933, 4, 0, 527, 181, 454, 257, 46, 0
1758356270933, 2, 0, 525, 180, 447, 254, 51, 4
1758356270933, 0, 0, 525, 188, 447, 258, 44, 3
1758356270933, 3, 0, 528, 183, 451, 259, 39, 4
1758356270933, 0, 0, 530, 182, 445, 254, 41, 5
1758356270933, 6, 4, 530, 185, 449, 254, 40, 7
1758356270933, 4, 12, 530, 182, 447, 263, 41, 1
1758356270933, 7, 18, 523, 183, 446, 255, 44, 4
1758356270933, 1, 41, 535, 182, 451, 254, 46, 4
1758356270933, 3, 35, 528, 183, 443, 256, 45, 3
