unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356306852, M, -1, 5, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356306978, 6, 0, 551, 177, 464, 275, 56, 10
1758356306978, 3, 0, 559, 183, 457, 274, 52, 5
1758356306978, 4, 0, 554, 182, 457, 274, 58, 12
1758356306978, 5, 0, 553, 177, 457, 276, 62, 1
1758356306978, 5, 8, 555, 179, 455, 273, 57, 0
1758356306978, 2, 6, 560, 184, 461, 272, 67, 5
1758356306978, 5, 13, 556, 180, 464, 269, 58, 3
1758356306978, 3, 17, 551, 189, 460, 275, 55, 2
1758356306978, 4, 27, 555, 181, 456, 276, 63, 12
1758356306978, 3, 36, 559, 179, 461, 275, 59, 4
1758356306978, 8, 35, 561, 183, 460, 276, 59, 2
1758356306978, 0, 52, 556, 182, 457, 279, 58, 5
1758356306978, 4, 36, 563, 183, 456, 275, 58, 4
1758356306978, 2, 38, 559, 183, 460, 277, 59, 3
1758356306978, 5, 17, 551, 180, 457, 273, 57, 4
1758356306978, 7, 4, 556, 179, 461, 272, 58, 1
1758356306978, 0, 0, 559, 181, 463, 276, 56, 3
1758356306978, 6, 0, 560, 179, 455, 274, 54, 2
1758356306978, 3, 0, 556, 179, 456, 276, 55, 1
1758356306978, 6, 0, 558, 180, 460, 272, 57, 4
1758356306978, 2, 0, 558, 181, 459, 275, 64, 2
1758356306978, 5, 0, 559, 178, 460, 274, 56, 2
1758356306978, 3, 0, 555, 177, 455, 273, 57, 3
1758356306978, 0, 0, 559, 182, 456, 277, 66, 5
1758356306978, 1, 1, 553, 179, 457, 275, 54, 3
1758356306978, 8, 6, 560, 182, 456, 275, 55, 3
1758356306978, 4, 14, 563, 179, 461, 273, 60, 3
1758356306978, 3, 18, 556, 181, 457, 276, 57, 3
1758356306978, 9, 29, 556, 183, 463, 275, 55, 5
1758356306978, 8, 32, 555, 190, 460, 273, 59, 3
1758356306978, 4, 35, 553, 182, 457, 276, 59, 5
1758356306978, 4, 38, 558, 180, 457, 275, 56, 8
1758356306978, 5, 33, 555, 180, 456, 275, 58, 2
1758356306978, 6, 23, 554, 181, 461, 275, 56, 4
1758356306978, 2, 13, 551, 181, 455, 276, 56, 2
1758356306978, 6, 3, 560, 179, 460, 272, 58, 8
1758356306978, 3, 0, 554, 182, 462, 277, 57, 2
1758356306978, 4, 0, 559, 186, 456, 274, 57, 2
1758356306978, 4, 0, 558, 180, 463, 273, 54, 3
1758356306978, 1, 0, 556, 182, 460, 277, 60, 2
1758356306978, 10, 0, 569, 179, 461, 274, 56, 3
1758356306978, 10, 0, 556, 183, 456, 270, 56, 1
1758356306978, 4, 0, 559, 176, 461, 271, 53, 3
1758356306978, 0, 0, 567, 181, 462, 272, 58, 3
1758356306978, 6, 1, 563, 181, 461, 274, 60, 3
1758356306978, 7, 20, 556, 180, 459, 273, 57, 4
1758356306978, 3, 23, 559, 180, 462, 272, 56, 7
1758356306978, 7, 19, 555, 182, 463, 286, 54, 5
1758356306978, 6, 28, 555, 182, 458, 275, 56, 2
1758356306978, 11, 31, 556, 179, 461, 273, 63, 3
1758356306978, 2, 33, 563, 181, 460, 279, 57, 8
1758356306978, 3, 52, 560, 183, 460, 275, 58, 3
1758356306978, 9, 34, 555, 179, 457, 274, 54, 4
1758356306978, 9, 23, 556, 186, 456, 272, 59, 4
1758356306978, 2, 14, 559, 180, 459, 273, 64, 3
1758356306978, 3, 3, 559, 182, 454, 272, 52, 3
1758356306978, 3, 0, 558, 178, 462, 273, 57, 5
1758356306978, 1, 0, 565, 180, 461, 277, 56, 4
1758356306978, 4, 0, 559, 182, 464, 270, 56, 2
1758356306978, 3, 0, 553, 181, 455, 273, 57, 3
1758356306978, 4, 0, 559, 182, 462, 272, 57, 2
1758356306978, 2, 0, 553, 182, 461, 272, 57, 2
1758356306978, 5, 0, 551, 181, 462, 274, 56, 2
1758356306978, 4, 9, 559, 181, 456, 271, 53, 8
1758356306978, 3, 3, 557, 177, 462, 273, 59, 9
1758356306978, 0, 6, 559, 178, 460, 272, 60, 0
1758356306978, 5, 13, 559, 180, 461, 276, 57, 3
1758356306978, 5, 18, 559, 177, 457, 274, 55, 11
1758356306978, 5, 35, 554, 183, 463, 274, 57, 3
1758356306978, 4, 33, 559, 185, 457, 280, 58, 3
1758356306978, 5, 35, 553, 179, 461, 271, 62, 3
1758356306978, 5, 38, 559, 180, 464, 275, 55, 3
1758356306978, 4, 33, 553, 179, 457, 271, 57, 6
1758356306978, 3, 22, 555, 180, 463, 273, 56, 4
1758356306978, 3, 27, 555, 183, 462, 270, 53, 1
1758356306978, 6, 5, 555, 182, 455, 272, 61, 3
1758356306978, 5, 0, 557, 181, 459, 273, 58, 3
1758356306978, 4, 0, 556, 179, 461, 275, 61, 3
1758356306978, 4, 0, 556, 181, 463, 276, 57, 2
1758356306978, 3, 0, 553, 183, 460, 275, 55, 2
1758356306978, 2, 0, 553, 181, 460, 273, 52, 4
1758356306978, 3, 0, 560, 181, 459, 272, 56, 2
1758356306978, 3, 0, 559, 183, 459, 274, 56, 3
1758356306978, 1, 12, 565, 188, 456, 272, 62, 7
1758356306978, 6, 3, 563, 181, 463, 279, 55, 7
1758356306978, 3, 6, 560, 182, 463, 273, 54, 0
1758356306978, 4, 13, 566, 181, 461, 273, 58, 2
1758356306978, 4, 18, 559, 181, 455, 275, 58, 3
1758356306978, 4, 29, 563, 183, 457, 274, 56, 7
1758356306978, 2, 47, 558, 182, 457, 275, 54, 3
1758356306978, 14, 38, 563, 183, 457, 272, 60, 4
1758356306978, 11, 38, 555, 193, 460, 275, 56, 3
1758356306978, 2, 31, 559, 183, 460, 279, 57, 2
1758356306978, 5, 34, 560, 184, 456, 273, 52, 3
1758356306978, 5, 25, 555, 183, 457, 277, 52, 5
1758356306978, 4, 5, 563, 180, 457, 282, 56, 4
1758356306978, 4, 0, 563, 183, 455, 281, 56, 3
1758356306978, 1, 0, 561, 183, 458, 275, 56, 2
1758356306978, 2, 0, 551, 183, 464, 276, 52, 1
1758356306978, 7, 0, 551, 182, 460, 272, 55, 3
1758356306978, 2, 0, 554, 191, 457, 271, 61, 0
1758356306978, 2, 0, 564, 181, 455, 272, 59, 3
1758356306978, 2, 0, 556, 181, 461, 272, 60, 6
1758356306978, 0, 0, 552, 179, 460, 275, 56, 2
1758356306978, 12, 10, 556, 179, 455, 276, 57, 7
1758356306978, 0, 7, 555, 183, 469, 278, 59, 3
1758356306978, 1, 13, 560, 184, 461, 273, 56, 4
1758356306978, 5, 34, 555, 180, 461, 272, 57, 3
1758356306978, 4, 31, 556, 182, 459, 273, 57, 3
1758356306978, 5, 46, 553, 182, 455, 282, 59, 3
1758356306978, 7, 39, 562, 187, 458, 275, 56, 13
1758356306978, 3, 52, 556, 180, 469, 275, 58, 5
1758356306978, 9, 34, 555, 181, 457, 280, 57, 2
1758356306978, 6, 22, 555, 182, 456, 275, 53, 4
1758356306978, 4, 14, 555, 180, 463, 269, 56, 3
1758356306978, 8, 2, 557, 178, 456, 275, 56, 1
1758356306978, 1, 0, 553, 179, 455, 274, 59, 2
1758356306978, 0, 0, 562, 179, 465, 273, 53, 7
1758356306978, 0, 0, 552, 180, 456, 275, 55, 0
1758356306978, 8, 0, 551, 183, 456, 275, 55, 2
1758356306978, 2, 0, 553, 182, 458, 275, 55, 1
1758356306978, 3, 0, 556, 180, 460, 272, 52, 2
1758356306978, 3, 0, 561, 182, 466, 273, 52, 3
1758356306978, 2, 0, 553, 181, 461, 274, 54, 2
1758356306979, 1, 0, 557, 181, 455, 277, 55, 11
1758356306979, 4, 7, 559, 178, 461, 274, 55, 2
1758356306979, 6, 13, 566, 180, 460, 273, 58, 0
1758356306981, 3, 17, 559, 181, 463, 273, 54, 12
1758356306982, 3, 29, 557, 183, 472, 272, 55, 1
1758356306982, 3, 31, 555, 188, 463, 272, 55, 10
1758356306993, 3, 35, 558, 181, 460, 277, 54, 7
1758356306993, 5, 38, 554, 181, 456, 276, 60, 3
1758356306993, 4, 47, 556, 180, 461, 272, 54, 2
1758356306993, 7, 23, 554, 181, 461, 273, 49, 2
1758356306993, 0, 15, 555, 184, 461, 270, 66, 2
