unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758270326274, N, -1, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758270326366, 7, 22, 773, 129, 351, 252, 12, 3
1758270326366, 0, 37, 779, 128, 352, 252, 4, 3
1758270326366, 14, 23, 776, 129, 351, 251, 2, 3
1758270326366, 7, 16, 780, 131, 347, 251, 4, 2
1758270326366, 11, 7, 776, 126, 352, 259, 0, 5
1758270326366, 2, 5, 779, 131, 350, 253, 2, 2
1758270326366, 2, 0, 781, 130, 351, 253, 6, 5
1758270326366, 8, 0, 771, 128, 351, 248, 1, 2
1758270326366, 3, 0, 771, 130, 351, 252, 3, 2
1758270326366, 2, 0, 781, 130, 351, 256, 3, 2
1758270326366, 3, 0, 771, 129, 354, 259, 3, 3
1758270326366, 4, 1, 784, 128, 347, 251, 2, 4
1758270326366, 0, 16, 779, 129, 351, 251, 4, 1
1758270326366, 9, 5, 776, 130, 349, 249, 3, 6
1758270326366, 3, 4, 776, 132, 349, 252, 2, 4
1758270326366, 4, 3, 776, 129, 355, 253, 8, 0
1758270326366, 3, 6, 775, 130, 349, 251, 2, 4
1758270326366, 3, 21, 778, 128, 353, 251, 1, 2
1758270326366, 3, 23, 772, 129, 347, 251, 1, 2
1758270326366, 3, 15, 776, 132, 349, 255, 2, 4
1758270326366, 4, 23, 786, 128, 351, 255, 0, 4
1758270326366, 12, 24, 769, 130, 349, 258, 0, 4
1758270326366, 3, 21, 772, 137, 349, 256, 0, 2
1758270326366, 10, 15, 779, 130, 351, 251, 4, 3
1758270326366, 1, 20, 779, 129, 350, 249, 2, 4
1758270326366, 3, 19, 768, 127, 349, 251, 0, 4
1758270326366, 0, 0, 775, 130, 350, 249, 0, 2
1758270326366, 3, 0, 772, 128, 360, 251, 1, 3
1758270326366, 7, 0, 776, 131, 356, 255, 3, 2
1758270326366, 3, 0, 776, 129, 351, 252, 1, 1
1758270326366, 2, 0, 775, 129, 351, 249, 11, 3
1758270326366, 1, 1, 776, 129, 352, 260, 1, 1
1758270326366, 1, 3, 783, 129, 351, 248, 0, 3
1758270326366, 4, 4, 771, 129, 350, 254, 1, 2
1758270326366, 2, 3, 774, 128, 349, 249, 4, 3
1758270326366, 4, 4, 775, 130, 349, 256, 3, 4
1758270326366, 6, 4, 771, 129, 351, 254, 3, 3
1758270326366, 5, 22, 778, 129, 351, 249, 3, 4
1758270326366, 5, 18, 780, 129, 353, 251, 4, 2
1758270326366, 13, 29, 773, 130, 350, 250, 3, 5
1758270326366, 6, 24, 782, 126, 351, 250, 0, 2
1758270326366, 2, 24, 779, 129, 351, 250, 2, 3
1758270326366, 5, 21, 779, 139, 350, 253, 4, 3
1758270326366, 4, 30, 774, 128, 350, 252, 2, 3
1758270326366, 1, 27, 778, 133, 349, 253, 1, 3
1758270326366, 3, 7, 776, 128, 351, 255, 2, 4
1758270326366, 3, 0, 779, 129, 349, 248, 3, 6
1758270326366, 5, 0, 771, 129, 348, 251, 1, 3
1758270326366, 0, 9, 776, 128, 348, 254, 3, 2
1758270326366, 0, 10, 783, 130, 351, 256, 2, 11
1758270326366, 4, 0, 776, 127, 349, 251, 3, 2
1758270326366, 2, 2, 783, 128, 351, 253, 1, 2
1758270326366, 0, 2, 771, 128, 351, 255, 2, 4
1758270326366, 15, 4, 769, 129, 347, 250, 0, 3
1758270326366, 4, 5, 779, 137, 351, 251, 3, 3
1758270326366, 2, 3, 779, 127, 352, 254, 3, 3
1758270326366, 3, 20, 779, 139, 353, 251, 3, 4
1758270326366, 3, 8, 771, 129, 351, 252, 1, 3
1758270326366, 0, 8, 778, 127, 353, 258, 1, 4
1758270326366, 6, 12, 778, 129, 355, 250, 3, 4
1758270326366, 0, 37, 783, 135, 352, 254, 2, 3
1758270326366, 0, 25, 781, 128, 349, 254, 3, 3
1758270326366, 4, 22, 776, 129, 350, 252, 2, 4
1758270326366, 6, 14, 781, 128, 353, 253, 3, 3
1758270326366, 10, 9, 773, 129, 348, 255, 0, 4
1758270326366, 0, 3, 778, 137, 356, 259, 2, 11
1758270326366, 0, 0, 781, 127, 353, 252, 3, 3
1758270326366, 4, 0, 781, 128, 351, 250, 6, 3
1758270326366, 4, 0, 776, 128, 349, 256, 1, 3
1758270326366, 4, 0, 772, 128, 357, 252, 2, 2
1758270326366, 11, 0, 775, 129, 351, 255, 2, 7
1758270326366, 8, 1, 783, 127, 351, 249, 6, 3
1758270326366, 11, 2, 776, 128, 347, 252, 3, 3
1758270326366, 0, 4, 771, 128, 348, 261, 0, 3
1758270326366, 5, 4, 780, 126, 353, 256, 0, 5
1758270326366, 3, 5, 777, 125, 359, 254, 2, 2
1758270326366, 2, 6, 773, 126, 350, 255, 5, 3
1758270326366, 1, 6, 776, 127, 351, 257, 4, 3
1758270326366, 8, 18, 772, 126, 351, 254, 1, 3
1758270326366, 1, 13, 782, 131, 351, 252, 0, 3
1758270326366, 5, 24, 779, 126, 349, 253, 1, 2
1758270326366, 3, 23, 775, 124, 349, 253, 0, 2
1758270326366, 3, 21, 775, 125, 352, 259, 2, 8
1758270326366, 0, 14, 775, 125, 349, 252, 3, 3
1758270326366, 10, 8, 779, 127, 350, 251, 4, 3
1758270326366, 2, 3, 776, 135, 348, 251, 1, 4
1758270326366, 7, 0, 785, 127, 359, 252, 2, 3
1758270326366, 6, 0, 789, 125, 361, 251, 2, 4
1758270326366, 4, 11, 779, 126, 349, 251, 1, 4
1758270326366, 2, 0, 773, 127, 350, 252, 1, 12
1758270326366, 7, 0, 776, 128, 348, 256, 8, 3
1758270326366, 5, 0, 783, 125, 349, 253, 8, 2
1758270326366, 8, 4, 783, 126, 350, 253, 0, 2
1758270326366, 3, 2, 778, 126, 348, 257, 2, 4
1758270326366, 9, 3, 775, 128, 361, 248, 0, 1
1758270326366, 5, 9, 773, 126, 348, 259, 0, 5
1758270326366, 0, 7, 773, 126, 350, 255, 1, 2
