unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758270386305, N, 3, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758270386370, 3, 9, 811, 141, 412, 324, 2, 3
1758270386370, 4, 11, 802, 142, 415, 320, 2, 2
1758270386370, 1, 17, 815, 141, 411, 317, 2, 2
1758270386370, 11, 18, 816, 143, 415, 318, 2, 11
1758270386370, 5, 14, 812, 141, 413, 319, 0, 2
1758270386370, 14, 27, 805, 143, 412, 321, 2, 3
1758270386370, 3, 10, 806, 141, 412, 328, 1, 2
1758270386370, 11, 6, 820, 144, 412, 323, 0, 7
1758270386370, 3, 12, 812, 139, 420, 321, 2, 0
1758270386370, 2, 0, 817, 142, 409, 323, 2, 7
1758270386370, 0, 0, 815, 143, 408, 319, 1, 2
1758270386370, 6, 8, 805, 139, 412, 321, 1, 3
1758270386370, 2, 0, 815, 140, 411, 329, 3, 3
1758270386370, 2, 2, 812, 138, 415, 319, 1, 3
1758270386370, 3, 2, 816, 145, 410, 319, 0, 5
1758270386370, 6, 4, 816, 142, 411, 320, 7, 3
1758270386370, 0, 4, 814, 139, 411, 318, 3, 5
1758270386370, 9, 4, 815, 142, 415, 322, 3, 3
1758270386370, 8, 5, 805, 142, 411, 319, 1, 3
1758270386370, 8, 5, 805, 141, 409, 325, 3, 12
1758270386370, 4, 7, 816, 143, 411, 319, 1, 3
1758270386370, 1, 26, 812, 143, 411, 323, 2, 4
1758270386370, 11, 18, 812, 142, 414, 323, 0, 3
1758270386370, 7, 33, 814, 140, 410, 320, 2, 4
1758270386370, 7, 32, 812, 140, 418, 323, 0, 4
1758270386370, 5, 14, 807, 139, 411, 322, 2, 4
1758270386370, 6, 9, 808, 140, 414, 323, 5, 3
1758270386370, 2, 4, 808, 140, 412, 319, 3, 2
1758270386370, 0, 5, 805, 140, 409, 316, 1, 2
1758270386370, 3, 0, 810, 139, 415, 321, 9, 3
1758270386370, 3, 0, 801, 148, 411, 323, 4, 7
1758270386370, 6, 0, 799, 138, 414, 320, 2, 3
1758270386370, 9, 0, 811, 142, 410, 323, 2, 3
1758270386370, 5, 16, 811, 138, 411, 320, 3, 3
1758270386370, 4, 5, 812, 138, 412, 323, 3, 3
1758270386370, 5, 5, 816, 141, 411, 324, 2, 2
1758270386370, 7, 3, 809, 141, 414, 320, 3, 3
1758270386370, 0, 5, 812, 149, 408, 323, 0, 11
1758270386370, 4, 5, 813, 141, 414, 320, 4, 2
1758270386370, 6, 5, 800, 144, 422, 318, 0, 3
1758270386370, 3, 7, 811, 147, 411, 324, 1, 3
1758270386370, 0, 26, 799, 140, 411, 323, 2, 3
1758270386370, 3, 19, 801, 141, 414, 319, 3, 3
1758270386370, 13, 17, 799, 139, 413, 325, 1, 3
1758270386370, 5, 29, 800, 142, 413, 324, 2, 4
