unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758270600074, N, -2, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758270600180, 0, 13, 919, 167, 396, 318, 6, 3
1758270600180, 3, 14, 911, 171, 392, 321, 2, 12
1758270600180, 2, 12, 914, 170, 394, 321, 2, 2
1758270600180, 1, 8, 910, 167, 393, 315, 2, 3
1758270600180, 4, 9, 907, 168, 395, 316, 3, 2
1758270600180, 1, 5, 905, 169, 392, 319, 3, 11
1758270600180, 0, 1, 907, 169, 392, 316, 1, 3
1758270600180, 3, 0, 911, 171, 392, 319, 5, 3
1758270600180, 0, 1, 908, 171, 397, 319, 1, 11
1758270600180, 9, 12, 915, 172, 391, 316, 2, 7
1758270600180, 7, 4, 905, 171, 392, 319, 2, 3
1758270600180, 8, 4, 908, 167, 392, 318, 2, 2
1758270600180, 7, 2, 907, 178, 390, 317, 2, 3
1758270600180, 5, 4, 919, 167, 397, 318, 4, 4
1758270600180, 8, 15, 915, 167, 396, 317, 2, 3
1758270600180, 14, 6, 907, 171, 394, 320, 2, 2
1758270600180, 3, 5, 920, 171, 391, 325, 2, 4
1758270600180, 3, 5, 907, 170, 398, 318, 0, 3
1758270600180, 3, 6, 919, 169, 397, 324, 8, 5
1758270600180, 2, 25, 912, 169, 395, 315, 2, 3
1758270600180, 5, 15, 912, 170, 393, 315, 2, 3
1758270600180, 6, 13, 907, 166, 395, 318, 2, 4
1758270600180, 4, 12, 914, 165, 391, 316, 11, 2
1758270600180, 7, 9, 911, 166, 395, 319, 2, 5
1758270600180, 9, 8, 907, 169, 395, 318, 2, 3
1758270600180, 6, 4, 908, 172, 393, 315, 1, 10
1758270600180, 4, 0, 907, 169, 391, 319, 0, 2
1758270600180, 1, 15, 907, 166, 397, 319, 8, 3
1758270600180, 6, 18, 907, 168, 393, 318, 1, 2
1758270600180, 1, 1, 907, 164, 391, 316, 1, 2
1758270600180, 1, 9, 911, 168, 388, 316, 3, 3
1758270600180, 0, 4, 903, 164, 389, 324, 1, 4
1758270600180, 4, 18, 908, 167, 392, 327, 2, 7
1758270600180, 1, 6, 903, 163, 393, 315, 1, 8
1758270600180, 0, 4, 911, 163, 391, 316, 2, 11
1758270600180, 4, 5, 903, 166, 391, 319, 1, 6
