unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758270624075, N, 1, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758270624139, 16, 4, 855, 196, 394, 392, 2, 3
1758270624139, 0, 4, 848, 196, 391, 391, 1, 3
1758270624139, 12, 6, 855, 196, 390, 392, 10, 4
1758270624139, 6, 12, 848, 198, 390, 395, 3, 1
1758270624139, 3, 7, 853, 195, 389, 390, 2, 5
1758270624139, 11, 11, 851, 196, 389, 389, 1, 3
1758270624139, 5, 13, 851, 195, 390, 391, 2, 3
1758270624139, 13, 14, 859, 196, 391, 389, 1, 3
1758270624139, 3, 12, 851, 196, 391, 387, 1, 3
1758270624139, 6, 9, 853, 197, 395, 395, 0, 4
1758270624139, 9, 9, 843, 197, 391, 390, 1, 3
1758270624139, 1, 3, 843, 198, 389, 391, 2, 2
1758270624139, 10, 0, 843, 196, 393, 388, 2, 4
1758270624139, 7, 6, 848, 198, 395, 389, 3, 3
1758270624139, 3, 1, 855, 198, 389, 391, 1, 3
1758270624139, 4, 0, 855, 200, 393, 391, 3, 2
1758270624139, 3, 0, 848, 207, 389, 391, 2, 3
1758270624139, 13, 3, 853, 200, 399, 392, 2, 3
1758270624139, 4, 18, 848, 203, 388, 393, 1, 11
1758270624139, 6, 21, 854, 198, 391, 391, 0, 3
1758270624139, 0, 21, 847, 199, 392, 389, 3, 5
1758270624139, 12, 7, 848, 198, 392, 387, 2, 3
1758270624139, 4, 5, 855, 195, 395, 388, 2, 4
1758270624139, 0, 6, 848, 198, 387, 387, 2, 3
1758270624139, 2, 6, 855, 207, 391, 392, 3, 3
1758270624139, 1, 10, 855, 196, 387, 389, 2, 3
1758270624139, 6, 21, 848, 198, 401, 388, 2, 2
1758270624139, 0, 16, 847, 198, 389, 392, 1, 4
1758270624139, 3, 13, 848, 199, 389, 392, 1, 4
1758270624139, 7, 10, 855, 204, 393, 397, 4, 3
1758270624139, 6, 8, 856, 197, 386, 396, 2, 2
1758270624139, 2, 3, 847, 198, 387, 395, 2, 3
1758270624139, 4, 1, 848, 195, 393, 392, 1, 4
1758270624139, 12, 0, 855, 201, 393, 395, 1, 2
1758270624139, 1, 1, 855, 196, 395, 391, 1, 7
1758270624139, 0, 0, 849, 195, 391, 387, 1, 3
1758270624139, 3, 1, 848, 196, 399, 391, 2, 3
1758270624139, 4, 2, 855, 197, 397, 392, 2, 3
1758270624139, 4, 3, 855, 198, 387, 394, 1, 3
1758270624139, 0, 4, 855, 196, 389, 387, 1, 4
1758270624139, 9, 5, 847, 196, 395, 391, 3, 10
1758270624139, 6, 4, 855, 197, 389, 393, 2, 4
1758270624139, 1, 4, 848, 201, 389, 394, 1, 3
1758270624139, 4, 6, 847, 198, 392, 398, 9, 4
1758270624139, 6, 6, 854, 198, 393, 399, 1, 3
1758270624139, 7, 25, 857, 199, 390, 387, 2, 3
1758270624139, 6, 30, 847, 197, 387, 392, 2, 3
1758270624139, 10, 16, 852, 197, 388, 391, 2, 2
1758270624139, 6, 12, 855, 197, 385, 389, 4, 4
1758270624139, 9, 10, 855, 197, 389, 392, 0, 3
1758270624139, 0, 9, 857, 197, 396, 393, 3, 2
1758270624139, 6, 3, 855, 197, 392, 391, 1, 3
1758270624139, 0, 1, 849, 196, 392, 391, 1, 4
1758270624139, 8, 0, 855, 206, 392, 386, 2, 3
1758270624139, 4, 2, 861, 196, 390, 391, 1, 3
1758270624139, 5, 0, 852, 203, 391, 390, 1, 4
1758270624139, 2, 1, 851, 197, 399, 385, 2, 3
1758270624139, 4, 2, 854, 196, 392, 389, 2, 2
1758270624139, 9, 3, 856, 197, 389, 387, 1, 4
1758270624139, 4, 4, 848, 198, 394, 388, 0, 5
1758270624139, 3, 4, 845, 197, 391, 391, 1, 3
1758270624139, 9, 4, 848, 199, 393, 389, 5, 5
1758270624139, 0, 5, 843, 197, 392, 391, 2, 3
1758270624139, 3, 5, 856, 198, 389, 390, 7, 2
1758270624141, 3, 5, 853, 196, 391, 395, 1, 3
1758270624141, 5, 12, 847, 195, 389, 395, 2, 4
1758270624142, 2, 15, 843, 197, 393, 385, 1, 4
1758270624142, 7, 13, 853, 198, 391, 390, 2, 12
1758270624144, 0, 18, 851, 195, 392, 389, 3, 2
1758270624146, 3, 10, 853, 197, 397, 387, 1, 8
1758270624146, 0, 8, 843, 196, 394, 386, 2, 9
1758270624158, 3, 4, 843, 198, 398, 389, 3, 3
1758270624158, 3, 0, 851, 198, 387, 389, 2, 2
1758270624158, 1, 0, 851, 195, 389, 387, 5, 2
1758270624158, 1, 2, 843, 195, 393, 389, 1, 4
1758270624158, 6, 0, 848, 197, 390, 395, 2, 4
1758270624158, 7, 1, 843, 203, 387, 387, 0, 1
1758270624158, 0, 2, 855, 197, 395, 389, 3, 2
1758270624158, 0, 3, 848, 196, 395, 392, 1, 3
1758270624158, 11, 3, 853, 196, 391, 395, 1, 3
1758270624158, 8, 4, 848, 194, 388, 385, 3, 3
1758270624158, 6, 4, 855, 194, 397, 387, 1, 3
1758270624158, 8, 5, 839, 195, 395, 391, 2, 4
1758270624173, 0, 5, 841, 195, 392, 387, 2, 3
1758270624173, 0, 6, 843, 198, 390, 392, 2, 2
1758270624173, 4, 11, 851, 199, 393, 395, 3, 3
1758270624173, 4, 14, 839, 198, 393, 392, 2, 3
1758270624173, 2, 16, 848, 197, 392, 399, 6, 9
1758270624173, 0, 12, 846, 198, 388, 391, 2, 4
1758270624173, 4, 23, 843, 194, 396, 389, 0, 3
1758270624173, 5, 9, 843, 198, 395, 391, 1, 2
1758270624173, 3, 4, 848, 195, 391, 395, 6, 3
1758270624173, 0, 0, 852, 196, 396, 399, 1, 5
1758270624173, 7, 13, 851, 197, 392, 392, 1, 3
1758270624173, 4, 3, 846, 206, 397, 393, 3, 3
1758270624173, 12, 0, 847, 197, 395, 390, 10, 4
1758270624173, 6, 2, 851, 198, 392, 393, 0, 3
1758270624173, 10, 2, 839, 204, 391, 390, 9, 5
1758270624188, 0, 11, 839, 197, 399, 394, 2, 3
1758270624188, 10, 13, 847, 205, 390, 396, 2, 3
1758270624188, 4, 4, 853, 195, 386, 398, 2, 2
1758270624188, 9, 5, 843, 197, 392, 393, 6, 3
