unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758270871272, N, 4, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758270871333, 5, 6, 1003, 133, 325, 240, 2, 3
1758270871333, 4, 5, 1002, 131, 329, 244, 2, 4
1758270871333, 4, 15, 1004, 131, 328, 241, 2, 3
1758270871333, 1, 13, 1000, 140, 329, 242, 2, 3
1758270871333, 6, 8, 1000, 133, 336, 246, 2, 3
1758270871333, 5, 8, 1003, 130, 334, 240, 2, 4
1758270871333, 8, 7, 1005, 130, 329, 235, 3, 2
1758270871333, 0, 7, 1009, 131, 331, 234, 2, 3
1758270871333, 3, 21, 1003, 131, 331, 245, 2, 2
1758270871333, 3, 22, 995, 129, 329, 235, 2, 3
1758270871333, 5, 7, 995, 130, 332, 237, 1, 3
1758270871333, 1, 5, 1007, 128, 333, 237, 1, 7
1758270871333, 4, 5, 1004, 129, 331, 241, 5, 3
1758270871333, 6, 18, 1007, 129, 332, 239, 2, 3
1758270871333, 4, 22, 1000, 129, 337, 241, 1, 3
1758270871333, 6, 7, 1004, 127, 338, 243, 1, 3
1758270871333, 12, 20, 1000, 128, 339, 238, 2, 3
1758270871333, 3, 6, 1006, 126, 343, 236, 2, 3
1758270871333, 5, 6, 1006, 130, 341, 232, 2, 3
1758270871333, 3, 5, 999, 131, 343, 242, 2, 3
1758270871333, 2, 5, 1015, 129, 343, 231, 2, 4
1758270871333, 4, 5, 1003, 127, 340, 238, 2, 2
1758270871333, 3, 20, 1007, 126, 347, 233, 3, 8
1758270871333, 7, 8, 1007, 132, 345, 233, 2, 3
1758270871333, 7, 7, 1002, 127, 341, 244, 1, 3
1758270871333, 3, 7, 1005, 139, 341, 231, 1, 4
1758270871333, 3, 23, 1008, 132, 342, 231, 2, 3
1758270871333, 8, 9, 1008, 127, 342, 233, 3, 3
1758270871333, 5, 7, 1016, 139, 343, 237, 6, 3
1758270871333, 3, 6, 998, 128, 341, 234, 1, 3
1758270871333, 3, 19, 1003, 128, 343, 233, 2, 3
1758270871333, 3, 21, 1001, 135, 339, 241, 2, 4
1758270871333, 2, 7, 1006, 127, 343, 241, 2, 3
1758270871333, 7, 18, 1003, 128, 339, 241, 2, 4
1758270871333, 1, 22, 1007, 132, 351, 235, 2, 3
1758270871333, 3, 6, 999, 130, 342, 240, 1, 4
1758270871333, 7, 5, 1015, 128, 342, 236, 1, 3
1758270871333, 3, 8, 1000, 129, 344, 237, 2, 3
1758270871333, 4, 5, 1007, 128, 344, 236, 11, 3
1758270871333, 2, 5, 1011, 128, 343, 235, 2, 3
1758270871333, 1, 5, 1011, 130, 347, 236, 2, 3
1758270871333, 3, 5, 999, 129, 346, 237, 2, 3
1758270871333, 4, 6, 999, 134, 341, 235, 1, 3
1758270871333, 3, 19, 999, 129, 339, 236, 2, 3
1758270871333, 6, 8, 999, 128, 343, 236, 1, 3
1758270871333, 6, 7, 1007, 129, 346, 236, 2, 3
1758270871333, 2, 22, 1001, 128, 346, 239, 2, 4
1758270871333, 0, 9, 1015, 126, 340, 241, 2, 3
1758270871333, 5, 7, 994, 126, 344, 239, 1, 3
1758270871333, 7, 6, 999, 127, 342, 237, 2, 3
1758270871333, 2, 18, 1006, 128, 342, 238, 2, 3
1758270871333, 3, 6, 999, 129, 347, 238, 3, 3
1758270871333, 3, 6, 1011, 131, 343, 240, 2, 3
1758270871333, 5, 4, 999, 132, 343, 239, 1, 4
1758270871333, 5, 5, 1007, 131, 342, 237, 3, 2
1758270871333, 6, 4, 999, 135, 340, 241, 2, 3
1758270871333, 4, 5, 999, 130, 344, 243, 1, 4
1758270871333, 4, 5, 1011, 133, 342, 237, 2, 3
1758270871333, 6, 5, 1007, 132, 340, 237, 3, 2
1758270871333, 3, 19, 1016, 131, 343, 239, 1, 3
1758270871333, 6, 20, 999, 134, 352, 238, 1, 3
1758270871335, 2, 7, 1008, 130, 343, 241, 1, 3
1758270871335, 3, 5, 995, 132, 344, 238, 2, 3
1758270871337, 6, 6, 995, 130, 344, 240, 1, 3
1758270871337, 2, 6, 1003, 136, 348, 238, 2, 3
1758270871339, 5, 8, 1004, 140, 347, 237, 1, 3
1758270871339, 5, 7, 1004, 130, 352, 240, 2, 2
1758270871350, 3, 21, 1004, 131, 346, 241, 2, 5
1758270871350, 5, 8, 1011, 133, 348, 237, 4, 3
1758270871350, 5, 6, 997, 134, 348, 239, 1, 3
1758270871350, 2, 5, 1000, 140, 349, 238, 1, 3
1758270871350, 6, 4, 999, 134, 346, 241, 2, 3
1758270871350, 5, 4, 1008, 128, 350, 238, 2, 3
1758270871350, 4, 4, 1016, 129, 348, 238, 2, 3
1758270871350, 2, 5, 1008, 132, 351, 238, 1, 2
1758270871350, 2, 4, 1009, 130, 351, 237, 4, 3
1758270871350, 6, 19, 1022, 128, 347, 237, 1, 3
1758270871350, 3, 6, 1022, 130, 350, 237, 5, 2
1758270871364, 3, 5, 1007, 124, 342, 240, 2, 3
1758270871364, 4, 5, 1020, 128, 350, 238, 1, 3
1758270871364, 5, 5, 1013, 130, 350, 238, 1, 3
1758270871364, 0, 5, 1020, 132, 356, 238, 2, 3
1758270871364, 5, 15, 1025, 129, 346, 241, 3, 11
1758270871364, 4, 8, 1022, 129, 349, 238, 2, 3
1758270871364, 15, 23, 1011, 130, 352, 238, 2, 6
1758270871364, 4, 10, 1020, 130, 347, 242, 2, 6
1758270871364, 5, 8, 1023, 129, 361, 240, 3, 4
1758270871364, 3, 7, 1022, 125, 350, 238, 2, 4
1758270871364, 5, 7, 1016, 123, 347, 240, 2, 4
1758270871364, 3, 7, 1031, 127, 351, 242, 2, 2
1758270871364, 4, 5, 1027, 127, 347, 243, 1, 5
1758270871364, 3, 4, 1024, 128, 351, 243, 1, 2
1758270871378, 8, 5, 1024, 124, 354, 238, 2, 2
1758270871378, 3, 3, 1020, 123, 347, 239, 2, 3
1758270871378, 3, 4, 1024, 120, 348, 243, 2, 3
1758270871378, 2, 3, 1034, 122, 351, 247, 3, 3
1758270871378, 6, 4, 1032, 122, 348, 250, 1, 3
1758270871378, 5, 5, 1035, 122, 350, 241, 2, 3
1758270871378, 1, 6, 1037, 123, 349, 241, 2, 2
