unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758270895290, N, -1, 3, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758270895408, 5, 7, 1162, 235, 386, 264, 6, 4
1758270895408, 3, 5, 1175, 230, 381, 261, 2, 2
1758270895408, 1, 5, 1175, 232, 382, 266, 2, 4
1758270895408, 2, 5, 1179, 238, 383, 263, 1, 3
1758270895408, 3, 5, 1176, 231, 384, 261, 2, 10
1758270895408, 6, 5, 1169, 230, 380, 264, 2, 3
1758270895408, 12, 5, 1179, 230, 378, 273, 1, 3
1758270895408, 12, 7, 1179, 228, 381, 263, 2, 3
1758270895408, 5, 10, 1168, 237, 377, 267, 2, 3
1758270895408, 6, 23, 1174, 246, 377, 263, 2, 4
1758270895408, 7, 9, 1176, 234, 379, 268, 2, 3
1758270895408, 4, 7, 1184, 244, 377, 265, 1, 3
1758270895408, 11, 6, 1176, 253, 389, 266, 2, 3
1758270895408, 2, 5, 1171, 245, 381, 266, 2, 2
1758270895408, 2, 20, 1192, 242, 383, 265, 1, 3
1758270895408, 2, 7, 1180, 244, 378, 268, 3, 3
1758270895408, 3, 4, 1175, 246, 379, 267, 4, 2
1758270895408, 3, 4, 1184, 249, 382, 269, 2, 3
1758270895408, 3, 20, 1183, 251, 379, 267, 2, 2
1758270895408, 7, 6, 1184, 250, 385, 266, 2, 3
1758270895408, 4, 5, 1191, 252, 391, 266, 2, 4
1758270895408, 5, 5, 1180, 256, 384, 263, 2, 12
1758270895408, 7, 4, 1179, 253, 387, 263, 1, 6
1758270895408, 6, 4, 1176, 255, 389, 263, 2, 2
1758270895408, 5, 5, 1175, 259, 384, 261, 2, 3
1758270895408, 3, 5, 1183, 260, 385, 261, 3, 3
1758270895408, 2, 5, 1184, 262, 382, 263, 2, 3
1758270895408, 2, 6, 1175, 260, 385, 263, 2, 3
1758270895408, 3, 7, 1191, 258, 384, 264, 1, 3
