unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758271036625, N, 0, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758271036713, 3, 20, 434, 77, 368, 241, 2, 3
1758271036713, 4, 6, 433, 78, 371, 242, 1, 3
1758271036713, 8, 6, 436, 77, 370, 241, 2, 3
1758271036713, 1, 6, 430, 77, 381, 244, 1, 3
1758271036713, 3, 5, 432, 78, 368, 249, 2, 3
1758271036713, 4, 5, 429, 77, 368, 246, 2, 4
1758271036713, 5, 5, 435, 83, 371, 244, 3, 3
1758271036713, 3, 5, 431, 78, 369, 254, 1, 2
1758271036713, 4, 5, 431, 77, 371, 243, 2, 2
1758271036713, 0, 6, 433, 79, 371, 244, 2, 3
1758271036713, 4, 6, 429, 79, 370, 246, 1, 3
1758271036713, 2, 21, 432, 84, 368, 244, 2, 3
1758271036713, 0, 9, 432, 79, 370, 243, 2, 3
1758271036713, 2, 7, 435, 78, 371, 244, 2, 3
1758271036713, 1, 8, 432, 80, 369, 243, 1, 3
1758271036713, 10, 6, 433, 82, 369, 245, 1, 3
1758271036713, 4, 6, 433, 77, 368, 244, 2, 3
1758271036713, 6, 18, 435, 77, 368, 243, 2, 3
1758271036713, 0, 6, 436, 79, 371, 243, 2, 3
1758271036713, 4, 6, 445, 79, 368, 246, 2, 6
1758271036713, 2, 4, 431, 78, 370, 241, 2, 2
1758271036713, 4, 3, 435, 81, 371, 245, 2, 4
1758271036713, 3, 4, 434, 84, 367, 246, 2, 3
1758271036713, 4, 5, 431, 77, 369, 245, 1, 3
1758271036713, 3, 5, 434, 80, 371, 243, 4, 3
1758271036713, 4, 14, 432, 79, 370, 245, 2, 3
1758271036713, 2, 7, 432, 79, 370, 244, 2, 3
1758271036713, 6, 8, 438, 79, 371, 248, 2, 3
1758271036713, 4, 19, 432, 81, 373, 244, 2, 3
1758271036713, 4, 8, 432, 78, 371, 245, 1, 3
1758271036713, 1, 19, 432, 77, 375, 253, 2, 2
1758271036713, 6, 8, 431, 79, 368, 241, 2, 3
1758271036713, 4, 8, 436, 78, 368, 244, 3, 3
1758271036713, 4, 7, 441, 76, 373, 244, 2, 2
1758271036713, 9, 7, 435, 78, 371, 241, 10, 3
1758271036713, 5, 7, 437, 82, 368, 243, 2, 3
1758271036713, 2, 17, 433, 78, 370, 246, 2, 3
1758271036713, 6, 6, 439, 79, 370, 243, 3, 3
1758271036713, 0, 5, 432, 79, 375, 245, 1, 3
1758271036713, 3, 4, 444, 80, 371, 244, 2, 3
1758271036713, 2, 4, 436, 79, 371, 250, 2, 3
1758271036713, 12, 4, 432, 76, 371, 243, 3, 2
1758271036713, 3, 4, 431, 77, 379, 243, 2, 7
1758271036713, 5, 4, 431, 75, 372, 247, 1, 2
1758271036713, 6, 4, 429, 74, 369, 245, 2, 3
1758271036713, 2, 4, 431, 76, 380, 246, 2, 2
1758271036713, 3, 5, 439, 74, 366, 244, 2, 3
1758271036713, 3, 4, 427, 75, 367, 245, 2, 3
1758271036713, 5, 16, 436, 75, 372, 243, 2, 2
1758271036713, 6, 6, 432, 74, 373, 243, 1, 3
1758271036713, 9, 6, 430, 74, 369, 245, 2, 6
1758271036713, 3, 13, 432, 76, 368, 243, 2, 3
1758271036713, 2, 8, 439, 76, 365, 243, 2, 2
1758271036713, 7, 23, 432, 77, 368, 244, 2, 3
1758271036713, 6, 18, 432, 76, 366, 243, 2, 3
1758271036713, 1, 22, 434, 76, 369, 243, 0, 2
1758271036713, 5, 9, 441, 74, 366, 244, 1, 3
1758271036713, 8, 5, 431, 78, 369, 243, 1, 5
1758271036713, 3, 4, 434, 75, 369, 246, 2, 3
1758271036713, 3, 4, 436, 75, 371, 243, 2, 3
1758271036713, 2, 4, 438, 81, 366, 247, 1, 3
1758271036713, 3, 4, 432, 77, 374, 247, 10, 3
1758271036713, 2, 19, 434, 79, 371, 246, 2, 3
1758271036713, 6, 7, 437, 78, 370, 243, 1, 3
1758271036713, 1, 5, 440, 76, 371, 242, 2, 8
1758271036713, 4, 5, 432, 74, 370, 247, 5, 7
1758271036713, 4, 7, 436, 76, 370, 245, 2, 3
1758271036713, 2, 5, 435, 77, 368, 247, 2, 3
1758271036713, 1, 4, 433, 77, 368, 242, 1, 3
1758271036713, 1, 20, 433, 78, 370, 246, 2, 3
1758271036713, 5, 21, 434, 77, 368, 245, 2, 3
1758271036713, 6, 21, 436, 74, 374, 245, 1, 12
1758271036713, 5, 9, 437, 74, 373, 247, 2, 3
1758271036713, 7, 7, 434, 73, 368, 255, 1, 3
1758271036713, 12, 6, 434, 75, 371, 244, 1, 3
1758271036713, 5, 6, 433, 77, 379, 243, 2, 2
1758271036713, 8, 6, 444, 75, 372, 246, 2, 3
1758271036713, 2, 20, 433, 75, 369, 244, 3, 3
1758271036713, 4, 22, 436, 76, 369, 247, 2, 3
1758271036713, 2, 22, 433, 76, 375, 246, 1, 3
1758271036713, 6, 20, 439, 78, 371, 244, 1, 3
1758271036713, 5, 6, 432, 77, 371, 244, 10, 3
1758271036713, 3, 13, 434, 84, 377, 243, 2, 3
1758271036713, 4, 6, 436, 78, 377, 244, 2, 3
1758271036713, 3, 4, 436, 76, 374, 243, 2, 2
1758271036713, 5, 19, 436, 77, 371, 253, 1, 3
1758271036713, 3, 10, 432, 77, 374, 246, 3, 4
1758271036714, 0, 6, 432, 76, 374, 247, 2, 10
1758271036715, 12, 20, 433, 77, 374, 244, 2, 3
