unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758271120676, N, -2, 4, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758271120714, 3, 6, 1063, 88, 309, 275, 2, 3
1758271120714, 7, 7, 1056, 86, 312, 279, 3, 3
1758271120714, 1, 8, 1063, 90, 316, 277, 2, 4
1758271120714, 7, 7, 1067, 85, 312, 275, 2, 5
1758271120714, 5, 7, 1067, 87, 313, 276, 1, 2
1758271120714, 15, 6, 1069, 87, 309, 275, 6, 3
1758271120714, 10, 6, 1057, 88, 308, 278, 1, 4
1758271120714, 4, 5, 1076, 89, 307, 276, 2, 3
1758271120714, 4, 4, 1063, 86, 308, 281, 2, 3
1758271120714, 5, 6, 1064, 86, 307, 278, 1, 3
1758271120714, 5, 5, 1056, 89, 304, 275, 1, 3
1758271120714, 3, 4, 1055, 88, 308, 279, 2, 3
1758271120714, 2, 4, 1056, 87, 308, 275, 2, 3
1758271120714, 6, 4, 1062, 86, 307, 276, 1, 6
1758271120714, 3, 9, 1056, 86, 312, 278, 2, 4
1758271120714, 1, 6, 1056, 84, 308, 277, 2, 12
1758271120714, 1, 6, 1060, 87, 309, 285, 2, 3
1758271120714, 4, 14, 1064, 86, 309, 279, 3, 4
1758271120714, 3, 7, 1060, 86, 310, 277, 2, 3
1758271120714, 4, 4, 1056, 89, 307, 277, 1, 3
1758271120714, 10, 6, 1056, 87, 307, 279, 2, 3
1758271120714, 4, 7, 1056, 88, 305, 280, 3, 3
1758271120714, 6, 22, 1060, 88, 309, 279, 2, 3
1758271120714, 4, 10, 1062, 88, 304, 278, 4, 3
1758271120714, 0, 8, 1063, 86, 304, 278, 8, 3
1758271120714, 3, 7, 1062, 86, 311, 278, 6, 4
1758271120714, 6, 6, 1069, 87, 301, 281, 5, 3
1758271120714, 6, 19, 1057, 88, 302, 275, 3, 3
1758271120714, 5, 16, 1063, 89, 309, 277, 2, 9
1758271120714, 3, 6, 1056, 87, 303, 278, 8, 3
1758271120714, 3, 3, 1056, 86, 302, 278, 2, 3
1758271120714, 6, 14, 1056, 87, 302, 277, 2, 4
1758271120714, 0, 6, 1055, 86, 298, 288, 2, 12
1758271120714, 1, 4, 1070, 85, 302, 277, 2, 3
1758271120714, 0, 15, 1057, 92, 303, 275, 8, 3
1758271120714, 0, 21, 1056, 87, 301, 277, 2, 4
1758271120714, 3, 7, 1067, 90, 299, 281, 2, 3
1758271120715, 1, 6, 1069, 89, 302, 277, 2, 3
1758271120715, 4, 5, 1071, 88, 304, 277, 2, 7
1758271120717, 2, 5, 1069, 86, 307, 280, 2, 3
1758271120718, 4, 19, 1059, 88, 303, 280, 1, 3
1758271120718, 4, 9, 1071, 88, 300, 277, 2, 2
1758271120730, 4, 7, 1070, 88, 303, 278, 1, 3
1758271120730, 0, 7, 1057, 85, 305, 279, 2, 3
1758271120730, 2, 20, 1070, 86, 302, 276, 2, 3
1758271120730, 3, 8, 1070, 87, 306, 280, 1, 3
1758271120730, 6, 7, 1061, 89, 299, 278, 1, 3
1758271120730, 6, 4, 1063, 93, 300, 277, 1, 5
