unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758271271457, N, 2, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758271271518, 7, 4, 1071, 82, 430, 289, 2, 3
1758271271518, 3, 15, 1076, 79, 434, 289, 1, 4
1758271271518, 5, 6, 1079, 80, 435, 293, 3, 3
1758271271518, 7, 5, 1064, 79, 431, 292, 2, 3
1758271271518, 7, 4, 1072, 85, 432, 289, 2, 3
1758271271518, 1, 5, 1079, 79, 429, 295, 1, 3
1758271271518, 0, 5, 1067, 79, 432, 295, 2, 3
1758271271518, 2, 19, 1072, 80, 431, 289, 1, 3
1758271271518, 4, 6, 1079, 80, 432, 297, 2, 2
1758271271518, 0, 21, 1076, 81, 439, 294, 2, 4
1758271271518, 4, 8, 1076, 80, 432, 293, 2, 9
1758271271518, 5, 6, 1079, 81, 429, 291, 1, 3
1758271271518, 0, 7, 1074, 80, 432, 290, 2, 3
1758271271518, 3, 8, 1069, 79, 432, 294, 2, 4
1758271271518, 1, 6, 1079, 83, 435, 294, 6, 2
1758271271518, 3, 7, 1078, 82, 435, 292, 6, 3
1758271271518, 3, 21, 1072, 80, 434, 294, 2, 3
1758271271518, 6, 7, 1079, 78, 432, 302, 3, 4
1758271271518, 4, 5, 1079, 79, 428, 291, 2, 3
1758271271518, 6, 4, 1079, 79, 432, 297, 1, 3
1758271271518, 2, 5, 1079, 79, 435, 291, 2, 3
1758271271518, 2, 3, 1072, 81, 434, 294, 2, 3
1758271271518, 4, 18, 1078, 82, 432, 293, 2, 3
1758271271518, 1, 7, 1079, 80, 429, 291, 2, 12
1758271271518, 1, 5, 1072, 80, 432, 295, 2, 3
1758271271518, 6, 5, 1072, 80, 431, 288, 3, 9
1758271271518, 3, 9, 1063, 82, 428, 296, 3, 2
1758271271518, 3, 20, 1076, 79, 439, 290, 2, 2
1758271271518, 4, 7, 1076, 81, 434, 289, 1, 3
1758271271518, 7, 5, 1076, 80, 439, 290, 2, 3
1758271271518, 6, 6, 1071, 83, 433, 292, 1, 3
1758271271518, 7, 6, 1079, 80, 433, 293, 2, 12
1758271271518, 9, 19, 1081, 79, 432, 291, 1, 2
1758271271518, 7, 9, 1079, 81, 432, 292, 1, 12
1758271271518, 9, 8, 1072, 82, 441, 289, 1, 3
1758271271518, 13, 7, 1077, 80, 436, 293, 2, 5
1758271271518, 8, 6, 1072, 79, 441, 291, 3, 2
1758271271518, 1, 12, 1072, 79, 436, 288, 2, 3
1758271271518, 4, 6, 1060, 78, 434, 293, 1, 2
1758271271518, 1, 5, 1079, 80, 430, 290, 2, 3
1758271271518, 2, 4, 1075, 82, 432, 291, 2, 7
