unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758271307477, N, 5, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758271307562, 4, 7, 914, 79, 480, 293, 2, 3
1758271307562, 2, 7, 915, 79, 483, 293, 1, 3
1758271307562, 3, 6, 915, 78, 483, 296, 2, 2
1758271307562, 8, 7, 911, 80, 483, 293, 1, 3
1758271307562, 3, 6, 903, 77, 484, 292, 2, 4
1758271307562, 3, 5, 908, 79, 484, 301, 1, 3
1758271307562, 9, 4, 903, 79, 484, 293, 9, 3
1758271307562, 8, 4, 911, 83, 482, 300, 2, 3
1758271307562, 3, 5, 908, 79, 487, 292, 1, 3
1758271307562, 4, 3, 911, 78, 491, 291, 2, 3
1758271307562, 2, 6, 920, 79, 483, 294, 1, 3
1758271307562, 6, 7, 911, 77, 486, 292, 4, 3
1758271307562, 1, 5, 898, 80, 487, 292, 2, 2
1758271307562, 1, 5, 904, 79, 486, 293, 2, 2
1758271307562, 3, 5, 908, 79, 480, 295, 1, 3
1758271307562, 6, 4, 904, 79, 487, 292, 4, 4
1758271307562, 4, 4, 904, 79, 487, 294, 1, 3
1758271307562, 1, 5, 903, 77, 480, 293, 1, 4
1758271307562, 4, 6, 908, 76, 481, 297, 2, 2
1758271307562, 4, 22, 904, 78, 483, 295, 2, 2
1758271307562, 10, 10, 899, 80, 486, 297, 2, 3
1758271307562, 7, 6, 907, 80, 482, 293, 2, 4
1758271307562, 1, 7, 915, 80, 482, 293, 2, 4
1758271307562, 3, 6, 908, 78, 485, 294, 2, 4
1758271307562, 4, 7, 907, 77, 483, 296, 3, 3
1758271307562, 3, 20, 907, 77, 483, 296, 2, 4
1758271307562, 1, 14, 912, 83, 483, 293, 2, 3
1758271307562, 2, 17, 897, 78, 479, 296, 2, 5
1758271307562, 12, 7, 906, 79, 486, 302, 1, 3
1758271307562, 3, 4, 899, 80, 481, 294, 1, 4
1758271307562, 2, 19, 907, 80, 486, 296, 2, 3
1758271307562, 3, 7, 911, 78, 483, 295, 1, 3
1758271307562, 0, 5, 904, 80, 495, 295, 2, 4
1758271307562, 1, 5, 907, 80, 487, 297, 2, 3
1758271307562, 0, 5, 904, 80, 483, 293, 2, 4
1758271307562, 7, 20, 897, 85, 483, 295, 3, 12
