unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758266918400, O, -2, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758266918500, 2, 4, 2535, 719, 715, 246, 795, 371
1758266918500, 5, 5, 2559, 718, 719, 245, 799, 372
1758266918500, 3, 18, 2527, 719, 707, 243, 794, 366
1758266918500, 1, 7, 2559, 716, 717, 243, 794, 369
1758266918500, 3, 6, 2559, 711, 715, 243, 795, 368
1758266918500, 8, 4, 2552, 715, 711, 244, 791, 371
1758266918500, 1, 6, 2543, 717, 712, 245, 795, 376
1758266918500, 4, 8, 2559, 720, 712, 253, 795, 374
1758266918500, 4, 14, 2559, 720, 711, 250, 791, 371
1758266918500, 1, 18, 2559, 719, 721, 253, 791, 371
1758266918500, 5, 17, 2544, 721, 719, 255, 791, 369
1758266918500, 2, 15, 2535, 719, 718, 252, 780, 374
1758266918500, 3, 22, 2554, 719, 713, 254, 784, 374
1758266918500, 2, 9, 2551, 729, 715, 249, 795, 378
1758266918500, 2, 1, 2527, 728, 719, 248, 802, 380
1758266918500, 4, 11, 2527, 727, 723, 250, 795, 374
1758266918500, 5, 0, 2544, 731, 722, 252, 783, 382
1758266918500, 6, 15, 2535, 719, 715, 254, 787, 375
1758266918500, 4, 0, 2559, 721, 720, 255, 796, 377
1758266918500, 13, 2, 2544, 723, 726, 251, 799, 372
1758266918500, 3, 4, 2552, 731, 721, 254, 795, 375
1758266918500, 1, 18, 2544, 731, 715, 251, 799, 373
1758266918500, 3, 6, 2552, 731, 723, 255, 791, 375
1758266918500, 4, 5, 2544, 728, 723, 255, 808, 377
1758266918500, 2, 5, 2535, 723, 719, 254, 799, 369
1758266918500, 4, 7, 2535, 728, 719, 253, 811, 375
1758266918500, 4, 6, 2544, 728, 719, 253, 807, 373
1758266918500, 8, 16, 2551, 732, 711, 255, 802, 373
1758266918500, 3, 14, 2559, 723, 716, 253, 808, 373
1758266918500, 0, 17, 2530, 728, 719, 255, 800, 376
1758266918500, 2, 17, 2551, 732, 719, 267, 802, 369
1758266918500, 12, 28, 2535, 727, 719, 253, 803, 375
1758266918500, 8, 10, 2554, 727, 719, 253, 799, 371
1758266918500, 9, 8, 2555, 728, 723, 258, 795, 378
1758266918500, 0, 3, 2531, 731, 708, 260, 801, 376
1758266918500, 5, 0, 2527, 725, 728, 255, 807, 377
1758266918500, 1, 0, 2551, 730, 727, 259, 803, 378
1758266918500, 5, 0, 2535, 723, 728, 262, 791, 376
1758266918500, 3, 0, 2551, 723, 723, 261, 798, 376
1758266918500, 3, 0, 2544, 722, 714, 265, 795, 372
1758266918500, 3, 3, 2548, 723, 723, 264, 808, 375
1758266918500, 5, 5, 2544, 736, 726, 265, 799, 372
1758266918500, 6, 18, 2552, 727, 727, 262, 803, 380
1758266918500, 4, 21, 2544, 735, 717, 260, 793, 373
1758266918500, 1, 7, 2552, 723, 725, 262, 791, 372
1758266918500, 10, 6, 2531, 735, 720, 259, 796, 373
1758266918500, 2, 6, 2528, 730, 727, 257, 795, 367
1758266918500, 3, 21, 2557, 729, 719, 252, 799, 370
1758266918500, 2, 15, 2531, 733, 727, 259, 795, 371
1758266918500, 2, 17, 2551, 732, 731, 250, 791, 366
1758266918500, 1, 18, 2524, 729, 720, 258, 792, 365
1758266918500, 5, 29, 2544, 728, 726, 257, 790, 363
1758266918500, 4, 12, 2551, 729, 731, 260, 800, 375
1758266918500, 4, 16, 2534, 729, 729, 261, 795, 367
1758266918500, 9, 2, 2551, 727, 719, 259, 785, 367
1758266918500, 6, 0, 2551, 731, 725, 260, 787, 366
1758266918500, 7, 0, 2544, 728, 732, 258, 788, 367
1758266918500, 3, 0, 2550, 739, 728, 257, 791, 369
1758266918500, 9, 0, 2556, 735, 727, 255, 788, 371
1758266918500, 2, 0, 2531, 731, 733, 260, 791, 367
1758266918500, 8, 4, 2551, 733, 727, 254, 779, 367
1758266918500, 5, 18, 2558, 727, 728, 263, 786, 372
1758266918500, 3, 7, 2536, 737, 723, 257, 773, 370
1758266918500, 7, 4, 2536, 732, 728, 263, 772, 368
1758266918500, 2, 5, 2529, 724, 726, 260, 773, 368
1758266918500, 6, 4, 2543, 732, 735, 257, 769, 371
1758266918500, 4, 5, 2551, 721, 732, 265, 776, 367
1758266918500, 6, 22, 2559, 717, 734, 271, 763, 368
1758266918500, 4, 30, 2540, 736, 735, 277, 761, 363
1758266918500, 4, 19, 2543, 721, 727, 271, 755, 371
1758266918500, 3, 17, 2527, 721, 733, 265, 755, 371
1758266918500, 9, 13, 2529, 720, 729, 277, 761, 371
1758266918500, 6, 20, 2542, 735, 727, 264, 762, 368
1758266918500, 7, 8, 2548, 723, 732, 266, 767, 365
1758266918500, 12, 2, 2551, 723, 735, 271, 759, 368
1758266918500, 13, 0, 2559, 736, 732, 275, 746, 366
1758266918500, 1, 0, 2528, 731, 740, 280, 759, 374
1758266918500, 4, 1, 2528, 727, 727, 272, 757, 370
1758266918500, 1, 0, 2527, 731, 731, 276, 749, 369
1758266918500, 2, 1, 2542, 722, 730, 279, 759, 369
1758266918500, 4, 4, 2528, 728, 733, 281, 753, 371
1758266918500, 10, 4, 2527, 724, 734, 278, 755, 377
1758266918500, 0, 12, 2523, 735, 731, 283, 757, 367
1758266918500, 2, 5, 2540, 724, 731, 283, 752, 381
1758266918500, 4, 6, 2543, 727, 738, 279, 759, 369
1758266918500, 2, 6, 2556, 731, 740, 281, 756, 371
1758266918500, 3, 5, 2542, 726, 734, 283, 759, 377
1758266918500, 2, 6, 2536, 736, 735, 286, 751, 371
1758266918500, 7, 14, 2542, 729, 744, 292, 759, 375
1758266918500, 3, 31, 2529, 740, 738, 286, 755, 371
1758266918500, 6, 19, 2543, 729, 736, 285, 752, 372
1758266918500, 7, 14, 2527, 727, 741, 288, 767, 373
1758266918500, 3, 23, 2529, 735, 731, 287, 751, 372
1758266918500, 4, 9, 2529, 734, 739, 287, 759, 386
1758266918500, 4, 0, 2542, 740, 744, 291, 756, 373
1758266918500, 2, 0, 2531, 744, 736, 291, 765, 375
1758266918500, 6, 10, 2555, 732, 734, 297, 753, 380
1758266918500, 4, 3, 2527, 731, 739, 292, 755, 376
1758266918500, 4, 0, 2550, 731, 736, 295, 767, 379
1758266918501, 6, 14, 2543, 731, 741, 291, 764, 380
1758266918501, 0, 6, 2527, 741, 743, 293, 764, 375
1758266918502, 3, 19, 2527, 738, 736, 297, 763, 381
