unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758267203817, O, 0, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758267204174, 6, 6, 865, 128, 351, 285, 1, 2
1758267204174, 3, 5, 864, 128, 348, 288, 3, 4
1758267204174, 2, 8, 864, 129, 349, 285, 1, 3
1758267204174, 7, 11, 864, 129, 348, 286, 4, 12
1758267204174, 1, 12, 864, 129, 348, 287, 1, 3
1758267204174, 5, 9, 867, 125, 346, 282, 3, 4
1758267204174, 1, 9, 864, 127, 347, 283, 1, 3
1758267204174, 9, 7, 867, 128, 350, 288, 1, 3
1758267204174, 3, 14, 874, 127, 354, 294, 3, 4
1758267204174, 4, 3, 867, 126, 347, 288, 3, 3
1758267204174, 0, 17, 867, 124, 351, 289, 2, 4
1758267204174, 2, 6, 871, 129, 347, 286, 3, 2
1758267204174, 1, 16, 864, 126, 348, 290, 1, 3
1758267204174, 5, 5, 868, 127, 350, 284, 4, 3
1758267204174, 5, 6, 859, 137, 345, 285, 1, 4
1758267204174, 5, 5, 871, 128, 345, 287, 0, 8
1758267204174, 3, 5, 864, 127, 349, 288, 0, 1
1758267204174, 4, 20, 864, 127, 351, 289, 1, 3
1758267204174, 5, 7, 871, 128, 351, 292, 2, 3
1758267204174, 8, 5, 871, 129, 350, 292, 3, 2
1758267204174, 0, 21, 871, 135, 348, 290, 1, 4
1758267204174, 4, 8, 866, 128, 351, 291, 2, 4
1758267204174, 3, 9, 868, 126, 352, 297, 1, 3
1758267204174, 5, 11, 864, 129, 351, 293, 2, 3
1758267204174, 4, 11, 865, 128, 348, 295, 1, 3
1758267204174, 11, 11, 870, 127, 351, 289, 1, 3
1758267204174, 0, 12, 864, 128, 346, 291, 3, 3
1758267204174, 7, 7, 864, 127, 350, 293, 8, 2
1758267204174, 7, 3, 864, 136, 351, 292, 3, 3
1758267204174, 5, 2, 864, 128, 352, 295, 2, 5
1758267204174, 7, 1, 863, 128, 352, 298, 4, 3
1758267204174, 1, 4, 868, 128, 345, 294, 2, 4
1758267204174, 4, 0, 876, 128, 347, 291, 2, 3
1758267204174, 1, 18, 870, 128, 348, 295, 2, 4
1758267204174, 5, 14, 870, 128, 357, 294, 3, 3
1758267204174, 4, 6, 865, 130, 354, 296, 4, 2
1758267204174, 1, 6, 864, 129, 350, 293, 2, 3
1758267204174, 0, 6, 872, 131, 351, 291, 3, 1
1758267204174, 4, 20, 867, 127, 351, 293, 3, 1
1758267204174, 3, 7, 871, 129, 348, 295, 1, 3
1758267204174, 0, 7, 869, 128, 356, 291, 3, 4
1758267204174, 0, 6, 864, 128, 348, 294, 0, 2
1758267204174, 2, 8, 864, 128, 351, 292, 2, 3
1758267204174, 5, 11, 876, 135, 349, 292, 2, 3
1758267204174, 2, 11, 859, 127, 350, 295, 2, 1
1758267204174, 4, 10, 872, 127, 354, 294, 1, 5
