unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758267263849, O, 5, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758267263984, 6, 22, 523, 115, 307, 505, 1, 2
1758267263984, 16, 6, 521, 113, 310, 509, 2, 3
1758267263984, 6, 5, 528, 115, 305, 507, 1, 3
1758267263984, 0, 6, 527, 115, 311, 513, 0, 3
1758267263984, 8, 6, 521, 115, 307, 512, 2, 3
1758267263984, 5, 6, 521, 115, 309, 514, 1, 3
1758267263984, 4, 6, 524, 115, 307, 511, 2, 3
1758267263984, 14, 6, 524, 116, 311, 514, 1, 3
1758267263984, 6, 25, 526, 121, 310, 511, 3, 8
1758267263984, 9, 13, 525, 114, 313, 513, 2, 3
1758267263984, 7, 12, 527, 117, 308, 511, 2, 3
1758267263984, 2, 8, 526, 113, 305, 512, 3, 2
1758267263984, 7, 7, 524, 114, 311, 515, 2, 3
1758267263984, 1, 6, 527, 115, 311, 511, 2, 4
1758267263984, 0, 4, 531, 115, 313, 510, 2, 5
1758267263984, 5, 11, 521, 118, 316, 511, 1, 3
1758267263984, 4, 4, 529, 116, 312, 512, 2, 3
1758267263984, 3, 2, 527, 113, 310, 515, 1, 3
1758267263984, 1, 5, 532, 114, 311, 511, 1, 4
1758267263984, 2, 5, 521, 117, 310, 511, 10, 3
1758267263984, 1, 16, 522, 115, 312, 511, 1, 3
1758267263984, 9, 12, 527, 115, 310, 509, 2, 3
1758267263984, 5, 6, 527, 115, 310, 512, 1, 4
1758267263984, 4, 6, 527, 115, 311, 509, 3, 1
1758267263984, 4, 5, 521, 116, 312, 507, 2, 3
1758267263984, 4, 7, 527, 115, 311, 510, 3, 2
1758267263984, 2, 6, 527, 113, 314, 526, 1, 3
1758267263984, 6, 7, 530, 115, 308, 509, 3, 3
1758267263984, 5, 11, 524, 117, 307, 514, 1, 2
1758267263984, 1, 25, 531, 114, 315, 511, 1, 4
1758267263984, 0, 13, 532, 115, 315, 512, 1, 4
1758267263984, 10, 9, 524, 117, 311, 514, 4, 3
1758267263984, 2, 7, 527, 115, 312, 512, 1, 2
1758267263984, 4, 6, 527, 114, 313, 517, 2, 11
1758267263984, 0, 18, 524, 116, 311, 515, 3, 3
1758267263984, 2, 15, 523, 114, 311, 512, 2, 11
1758267263984, 1, 5, 524, 115, 308, 512, 11, 3
1758267263984, 12, 16, 527, 120, 310, 511, 2, 3
1758267263984, 5, 4, 528, 115, 309, 516, 3, 2
1758267263984, 5, 4, 525, 113, 309, 512, 1, 3
1758267263984, 3, 4, 523, 113, 309, 509, 0, 3
1758267263984, 5, 5, 523, 115, 307, 516, 3, 2
1758267263984, 0, 19, 527, 116, 310, 509, 0, 3
1758267263984, 4, 8, 523, 120, 315, 511, 2, 3
1758267263984, 0, 5, 535, 116, 307, 515, 3, 3
1758267263984, 5, 18, 523, 115, 311, 509, 2, 3
1758267263984, 4, 7, 526, 115, 311, 522, 2, 3
1758267263984, 2, 22, 523, 116, 314, 507, 2, 2
1758267263984, 6, 12, 527, 115, 313, 507, 2, 3
1758267263984, 2, 11, 522, 117, 311, 511, 1, 4
1758267263984, 10, 10, 526, 115, 310, 515, 3, 3
1758267263984, 3, 19, 530, 114, 310, 512, 1, 3
1758267263984, 3, 8, 528, 125, 313, 508, 2, 3
1758267263984, 1, 13, 524, 114, 313, 515, 1, 3
1758267263984, 5, 4, 535, 114, 314, 512, 1, 4
1758267263984, 7, 15, 528, 116, 310, 515, 4, 4
1758267263984, 2, 5, 526, 114, 311, 512, 3, 9
1758267263984, 4, 3, 533, 115, 310, 509, 2, 4
1758267263984, 2, 1, 531, 116, 309, 512, 1, 3
1758267263984, 4, 4, 526, 114, 311, 512, 9, 3
1758267263984, 6, 5, 537, 116, 311, 510, 3, 4
1758267263984, 7, 4, 531, 115, 307, 512, 1, 4
1758267263984, 2, 20, 525, 115, 309, 509, 5, 3
1758267263984, 6, 7, 532, 115, 306, 513, 4, 5
1758267263984, 2, 6, 526, 115, 311, 513, 3, 3
1758267263984, 0, 5, 535, 115, 307, 511, 1, 4
1758267263984, 3, 6, 523, 118, 308, 515, 1, 4
1758267263984, 4, 7, 527, 117, 310, 518, 2, 3
1758267263984, 3, 10, 527, 114, 307, 512, 4, 2
1758267263984, 7, 25, 523, 118, 306, 511, 2, 2
1758267263984, 5, 13, 529, 114, 309, 513, 1, 4
1758267263984, 2, 9, 530, 114, 319, 511, 2, 4
1758267263984, 4, 9, 523, 124, 307, 518, 2, 4
1758267263984, 5, 7, 522, 115, 308, 515, 1, 3
1758267263984, 4, 4, 523, 114, 308, 509, 2, 4
1758267263984, 3, 16, 528, 117, 311, 509, 1, 4
1758267263984, 2, 5, 527, 115, 311, 511, 2, 3
1758267263984, 4, 3, 525, 114, 308, 514, 1, 10
1758267263984, 9, 1, 524, 115, 307, 512, 2, 3
1758267263984, 7, 19, 524, 116, 309, 514, 2, 3
1758267263984, 1, 7, 527, 114, 308, 509, 2, 3
1758267263984, 0, 20, 535, 116, 309, 514, 1, 2
1758267263984, 1, 7, 523, 115, 309, 512, 3, 3
1758267263984, 6, 5, 537, 114, 307, 515, 2, 4
1758267263984, 4, 5, 527, 118, 307, 515, 0, 10
1758267263984, 4, 12, 523, 114, 308, 515, 11, 2
1758267263984, 6, 6, 527, 117, 307, 519, 2, 4
1758267263984, 6, 6, 536, 114, 310, 515, 2, 2
1758267263984, 4, 11, 523, 114, 312, 512, 1, 3
1758267263984, 4, 11, 523, 116, 309, 509, 1, 3
1758267263984, 10, 10, 523, 114, 307, 515, 2, 9
1758267263984, 7, 9, 523, 116, 308, 510, 1, 3
1758267263984, 3, 7, 524, 116, 307, 515, 1, 4
1758267263984, 6, 7, 524, 116, 307, 515, 3, 12
1758267263984, 5, 4, 525, 116, 309, 510, 1, 2
1758267263984, 0, 17, 523, 116, 307, 517, 2, 3
