unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758267442873, O, 1, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758267442976, 7, 21, 535, 129, 251, 697, 3, 4
1758267442976, 5, 19, 540, 128, 257, 705, 1, 4
1758267442976, 7, 7, 541, 128, 253, 700, 9, 3
1758267442976, 7, 6, 535, 129, 253, 699, 2, 3
1758267442976, 6, 21, 536, 130, 255, 699, 2, 3
1758267442976, 5, 10, 544, 128, 262, 699, 2, 4
1758267442976, 4, 10, 547, 127, 251, 700, 1, 3
1758267442976, 0, 9, 543, 129, 251, 707, 2, 3
1758267442976, 5, 8, 541, 128, 251, 695, 2, 3
1758267442976, 8, 7, 538, 130, 249, 699, 1, 4
1758267442976, 8, 6, 541, 128, 251, 697, 7, 4
1758267442976, 4, 5, 537, 138, 253, 703, 2, 3
1758267442976, 4, 3, 540, 138, 255, 702, 2, 3
1758267442976, 2, 4, 536, 128, 252, 703, 1, 4
1758267442976, 3, 3, 542, 128, 251, 718, 2, 11
1758267442976, 5, 19, 534, 129, 253, 697, 1, 3
1758267442976, 0, 6, 537, 138, 255, 710, 2, 3
1758267442976, 3, 19, 540, 129, 252, 699, 2, 3
1758267442976, 1, 7, 537, 130, 254, 703, 5, 3
1758267442976, 10, 5, 535, 130, 252, 699, 1, 3
1758267442976, 0, 4, 543, 129, 262, 703, 2, 2
1758267442976, 11, 5, 543, 127, 258, 709, 2, 2
1758267442976, 5, 6, 537, 130, 254, 695, 2, 3
1758267442976, 4, 5, 537, 131, 254, 703, 1, 3
1758267442976, 3, 7, 547, 127, 253, 700, 2, 3
1758267442976, 0, 8, 536, 131, 253, 697, 2, 3
1758267442976, 8, 9, 541, 130, 254, 699, 2, 5
1758267442976, 2, 8, 541, 128, 253, 700, 5, 3
1758267442976, 0, 8, 541, 128, 253, 703, 2, 3
1758267442976, 12, 20, 534, 138, 253, 707, 6, 7
1758267442976, 1, 8, 535, 129, 251, 699, 1, 4
1758267442976, 1, 17, 547, 128, 255, 699, 2, 3
1758267442976, 1, 7, 541, 128, 253, 703, 1, 3
1758267442976, 1, 5, 535, 130, 251, 704, 2, 3
1758267442976, 1, 3, 536, 135, 254, 700, 2, 3
1758267442976, 1, 4, 540, 128, 254, 702, 4, 2
1758267442976, 4, 4, 544, 129, 254, 707, 2, 4
1758267442976, 0, 15, 535, 128, 251, 705, 2, 3
1758267442976, 3, 20, 534, 129, 255, 695, 2, 3
1758267442976, 11, 7, 536, 131, 255, 703, 1, 7
1758267442976, 6, 5, 543, 128, 254, 700, 10, 3
1758267442976, 0, 6, 544, 134, 260, 707, 2, 11
1758267442976, 8, 5, 544, 129, 255, 705, 1, 4
1758267442976, 1, 5, 546, 135, 255, 702, 2, 3
1758267442976, 4, 7, 535, 130, 251, 695, 2, 3
1758267442976, 1, 8, 536, 128, 252, 706, 2, 3
1758267442976, 6, 9, 534, 130, 254, 699, 2, 3
1758267442976, 14, 8, 536, 128, 250, 703, 2, 12
1758267442976, 13, 7, 541, 128, 255, 700, 1, 3
1758267442976, 4, 8, 535, 129, 253, 699, 1, 2
1758267442976, 0, 7, 539, 129, 253, 705, 10, 3
1758267442976, 0, 7, 536, 129, 258, 703, 2, 2
1758267442976, 7, 19, 536, 130, 264, 697, 2, 3
1758267442976, 4, 9, 533, 130, 256, 697, 1, 3
1758267442976, 1, 19, 538, 128, 253, 703, 1, 3
1758267442976, 1, 6, 535, 129, 258, 699, 1, 3
1758267442976, 14, 4, 539, 128, 253, 699, 2, 3
1758267442976, 6, 5, 535, 129, 256, 700, 2, 2
1758267442976, 2, 4, 536, 134, 251, 703, 3, 3
1758267442976, 0, 14, 536, 134, 251, 703, 7, 3
1758267442976, 0, 22, 540, 128, 253, 707, 1, 2
1758267442976, 1, 8, 541, 129, 260, 700, 1, 3
1758267442976, 8, 20, 537, 129, 262, 703, 2, 3
1758267442976, 1, 8, 534, 128, 255, 707, 2, 2
1758267442976, 12, 8, 535, 130, 252, 703, 2, 3
1758267442976, 4, 8, 534, 130, 258, 703, 2, 3
1758267442976, 2, 18, 534, 130, 251, 703, 2, 3
1758267442976, 3, 9, 541, 129, 255, 704, 1, 3
1758267442976, 7, 7, 539, 128, 257, 699, 8, 3
1758267442976, 2, 18, 533, 128, 262, 702, 3, 3
1758267442976, 4, 7, 541, 128, 250, 703, 1, 3
1758267442976, 3, 4, 535, 129, 254, 701, 2, 3
1758267442976, 7, 3, 543, 127, 254, 703, 3, 3
1758267442976, 7, 4, 535, 133, 256, 700, 1, 3
1758267442976, 9, 3, 539, 130, 252, 697, 5, 10
1758267442976, 17, 17, 542, 128, 251, 703, 1, 3
1758267442976, 6, 7, 541, 129, 255, 702, 2, 3
1758267442976, 8, 4, 541, 134, 254, 703, 1, 3
1758267442976, 8, 19, 536, 129, 254, 705, 1, 3
1758267442976, 3, 6, 541, 130, 263, 697, 11, 3
1758267442976, 4, 5, 536, 128, 252, 703, 2, 3
1758267442976, 3, 4, 543, 130, 253, 700, 1, 3
1758267442976, 6, 5, 541, 129, 252, 705, 1, 4
1758267442976, 2, 5, 543, 128, 253, 695, 2, 3
1758267442976, 3, 20, 540, 128, 251, 702, 5, 3
1758267442976, 4, 11, 537, 129, 253, 700, 6, 3
1758267442976, 0, 10, 531, 137, 254, 711, 2, 7
1758267442976, 6, 8, 531, 129, 251, 704, 1, 3
1758267442976, 7, 6, 536, 130, 255, 697, 9, 2
1758267442976, 9, 8, 532, 129, 253, 700, 11, 3
1758267442976, 8, 6, 532, 129, 251, 700, 2, 3
1758267442976, 1, 4, 536, 128, 255, 703, 2, 5
1758267442976, 3, 4, 532, 128, 263, 706, 1, 3
1758267442976, 2, 3, 537, 129, 252, 697, 2, 3
1758267442976, 6, 2, 535, 129, 256, 699, 2, 3
1758267442976, 8, 4, 539, 130, 253, 695, 6, 3
1758267442976, 4, 5, 531, 129, 256, 704, 1, 3
1758267442976, 5, 5, 531, 128, 253, 702, 1, 3
1758267442976, 4, 5, 535, 130, 262, 695, 1, 8
1758267442976, 5, 6, 538, 131, 253, 694, 2, 3
1758267442976, 0, 6, 536, 128, 256, 699, 1, 7
1758267442976, 4, 6, 529, 128, 253, 712, 7, 3
1758267442976, 2, 9, 535, 128, 257, 697, 4, 3
1758267442978, 4, 7, 531, 129, 260, 701, 3, 3
1758267442979, 1, 8, 535, 128, 257, 700, 2, 3
1758267442979, 3, 7, 541, 132, 263, 701, 6, 3
1758267442980, 2, 8, 539, 128, 267, 699, 2, 3
