unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758267762374, O, -1, 4, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758267762471, 6, 7, 564, 114, 221, 288, 4, 2
1758267762471, 6, 5, 564, 120, 212, 288, 2, 3
1758267762471, 8, 6, 564, 113, 213, 288, 4, 3
1758267762471, 4, 6, 563, 115, 212, 290, 2, 3
1758267762471, 4, 16, 562, 113, 211, 291, 2, 3
1758267762471, 0, 9, 555, 114, 212, 290, 9, 6
1758267762471, 3, 8, 556, 115, 209, 295, 2, 4
1758267762471, 4, 22, 563, 114, 204, 284, 2, 3
1758267762471, 4, 10, 561, 113, 207, 299, 9, 3
1758267762471, 1, 7, 553, 117, 208, 284, 2, 3
1758267762471, 3, 6, 559, 113, 208, 284, 2, 3
1758267762471, 2, 5, 550, 116, 210, 287, 2, 2
1758267762471, 5, 5, 547, 113, 208, 288, 2, 3
1758267762471, 4, 4, 552, 113, 213, 288, 2, 3
1758267762471, 3, 18, 555, 113, 211, 293, 2, 3
1758267762471, 6, 6, 555, 113, 208, 291, 2, 3
1758267762471, 5, 4, 555, 114, 209, 289, 1, 4
1758267762471, 10, 5, 550, 113, 207, 280, 2, 3
1758267762471, 0, 4, 551, 113, 203, 283, 2, 3
1758267762471, 1, 6, 549, 114, 211, 281, 1, 4
1758267762471, 8, 6, 544, 119, 206, 299, 3, 3
1758267762471, 5, 5, 542, 113, 208, 287, 2, 3
1758267762471, 4, 6, 541, 114, 206, 287, 1, 6
1758267762471, 5, 6, 539, 111, 206, 284, 2, 3
1758267762471, 3, 6, 543, 117, 203, 286, 2, 3
1758267762471, 7, 8, 541, 112, 207, 284, 3, 3
1758267762471, 13, 8, 535, 114, 208, 289, 3, 9
1758267762471, 6, 8, 534, 113, 203, 289, 1, 5
1758267762471, 4, 21, 535, 123, 202, 300, 3, 8
1758267762471, 1, 9, 536, 112, 203, 289, 1, 4
1758267762471, 8, 7, 534, 114, 206, 296, 2, 2
1758267762471, 8, 20, 527, 113, 209, 290, 2, 6
1758267762471, 7, 6, 527, 113, 205, 291, 2, 3
1758267762471, 3, 19, 526, 112, 213, 296, 2, 4
1758267762471, 1, 17, 525, 113, 205, 299, 2, 4
1758267762471, 2, 6, 521, 115, 203, 305, 2, 3
1758267762471, 2, 5, 521, 117, 201, 303, 2, 3
1758267762471, 4, 4, 519, 113, 203, 283, 1, 2
1758267762471, 4, 6, 518, 114, 204, 288, 3, 3
1758267762471, 3, 5, 520, 114, 204, 280, 1, 8
1758267762471, 9, 6, 518, 113, 203, 293, 3, 3
1758267762471, 5, 5, 512, 113, 201, 291, 3, 4
1758267762471, 4, 6, 515, 114, 203, 301, 1, 3
1758267762471, 2, 6, 520, 114, 203, 305, 1, 3
1758267762471, 3, 5, 511, 113, 206, 302, 8, 3
1758267762471, 2, 8, 504, 115, 206, 302, 2, 3
1758267762471, 3, 21, 498, 114, 205, 295, 2, 3
1758267762471, 4, 9, 500, 111, 204, 296, 2, 2
1758267762471, 1, 8, 492, 113, 202, 297, 2, 4
1758267762471, 9, 6, 493, 114, 193, 300, 2, 2
1758267762471, 8, 7, 491, 114, 191, 310, 2, 3
1758267762471, 1, 7, 483, 112, 191, 304, 2, 3
1758267762471, 3, 4, 487, 112, 193, 304, 1, 3
1758267762471, 5, 4, 489, 112, 193, 299, 2, 3
1758267762471, 5, 5, 483, 112, 198, 292, 2, 5
1758267762471, 1, 4, 485, 112, 188, 301, 2, 3
1758267762471, 4, 5, 477, 112, 188, 304, 2, 3
1758267762471, 0, 5, 477, 112, 191, 304, 3, 2
1758267762471, 0, 5, 487, 112, 187, 300, 1, 4
