unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758358102593, P, 0, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758358102679, 4, 8, 2087, 100, 457, 343, 10, 1203
1758358102679, 4, 21, 2081, 97, 452, 338, 5, 1195
1758358102679, 3, 6, 2080, 92, 428, 324, 1, 1175
1758358102679, 11, 3, 2096, 96, 422, 328, 1, 1152
1758358102679, 14, 2, 2079, 97, 413, 325, 3, 1136
1758358102679, 7, 2, 2063, 96, 410, 316, 3, 1112
1758358102679, 2, 3, 2031, 93, 408, 316, 2, 1103
1758358102679, 5, 18, 2047, 95, 398, 303, 1, 1084
1758358102679, 4, 6, 2023, 98, 399, 302, 2, 1070
1758358102679, 4, 5, 2028, 103, 387, 304, 2, 1048
1758358102679, 9, 5, 2015, 95, 391, 300, 2, 1038
1758358102679, 4, 10, 1987, 91, 382, 307, 3, 1016
1758358102679, 4, 7, 1983, 96, 378, 306, 10, 1014
1758358102679, 4, 8, 2008, 91, 384, 296, 2, 975
1758358102679, 4, 24, 1959, 87, 383, 291, 1, 975
1758358102679, 11, 26, 1958, 88, 384, 266, 0, 947
1758358102679, 4, 12, 1944, 87, 383, 265, 2, 936
1758358102679, 5, 27, 1928, 89, 379, 265, 3, 912
1758358102679, 4, 12, 1916, 91, 386, 255, 7, 888
1758358102679, 4, 9, 1915, 92, 375, 247, 3, 885
1758358102679, 11, 8, 1903, 90, 375, 223, 3, 855
1758358102679, 5, 5, 1895, 92, 369, 212, 0, 837
1758358102679, 11, 3, 1887, 88, 364, 214, 2, 811
1758358102679, 5, 3, 1887, 84, 368, 228, 3, 788
1758358102679, 4, 3, 1856, 86, 358, 254, 1, 783
1758358102679, 2, 3, 1841, 92, 356, 224, 2, 756
1758358102679, 4, 3, 1856, 79, 367, 222, 3, 726
1758358102679, 3, 3, 1823, 87, 349, 232, 1, 703
1758358102679, 4, 4, 1834, 79, 352, 225, 1, 696
1758358102679, 2, 19, 1807, 82, 348, 233, 1, 672
1758358102679, 5, 7, 1803, 76, 356, 235, 2, 663
1758358102679, 10, 6, 1807, 77, 351, 244, 3, 647
1758358102679, 9, 6, 1784, 81, 348, 231, 2, 639
1758358102679, 3, 23, 1783, 77, 351, 233, 2, 621
1758358102679, 4, 11, 1759, 82, 341, 235, 3, 616
1758358102679, 8, 10, 1760, 75, 340, 227, 1, 614
1758358102679, 4, 27, 1766, 72, 337, 225, 3, 595
1758358102679, 5, 12, 1750, 73, 338, 247, 3, 588
1758358102679, 3, 10, 1728, 71, 335, 243, 3, 575
1758358102679, 1, 8, 1711, 67, 338, 248, 0, 560
1758358102679, 8, 8, 1729, 67, 338, 239, 2, 551
1758358102679, 5, 21, 1694, 68, 326, 239, 5, 530
1758358102679, 3, 12, 1676, 67, 323, 218, 1, 510
1758358102679, 0, 4, 1648, 67, 321, 217, 1, 489
1758358102679, 9, 3, 1647, 64, 327, 224, 2, 467
1758358102679, 5, 18, 1624, 64, 318, 235, 3, 445
1758358102679, 5, 6, 1614, 62, 325, 231, 2, 430
1758358102679, 4, 3, 1607, 60, 324, 224, 1, 416
1758358102679, 4, 5, 1601, 57, 319, 224, 1, 384
1758358102679, 6, 17, 1574, 58, 320, 226, 5, 365
1758358102679, 5, 6, 1564, 59, 317, 225, 3, 347
1758358102679, 3, 14, 1551, 53, 305, 231, 2, 334
1758358102679, 4, 8, 1535, 55, 304, 225, 3, 316
1758358102679, 4, 8, 1528, 57, 307, 227, 2, 320
1758358102679, 3, 8, 1514, 54, 305, 216, 8, 311
1758358102679, 4, 9, 1519, 54, 307, 220, 2, 290
1758358102679, 3, 13, 1503, 53, 301, 220, 3, 271
1758358102679, 3, 27, 1487, 51, 307, 220, 2, 265
1758358102679, 0, 12, 1463, 51, 292, 216, 2, 248
1758358102679, 4, 11, 1464, 47, 296, 220, 2, 249
1758358102679, 4, 7, 1447, 46, 298, 219, 1, 237
1758358102679, 4, 21, 1439, 48, 296, 225, 1, 239
1758358102679, 2, 6, 1424, 47, 295, 224, 0, 225
1758358102679, 3, 3, 1415, 43, 293, 221, 3, 205
1758358102679, 8, 2, 1419, 41, 293, 224, 2, 210
1758358102679, 3, 3, 1392, 40, 294, 225, 2, 201
1758358102679, 4, 3, 1391, 42, 295, 220, 3, 184
1758358102679, 7, 4, 1376, 46, 288, 218, 3, 178
1758358102679, 5, 6, 1368, 42, 289, 218, 3, 165
1758358102679, 7, 19, 1355, 41, 294, 220, 1, 157
1758358102679, 6, 7, 1344, 41, 294, 216, 3, 152
1758358102679, 11, 6, 1341, 42, 284, 209, 3, 152
1758358102679, 7, 7, 1335, 41, 286, 212, 2, 142
1758358102679, 5, 19, 1320, 41, 288, 212, 2, 127
1758358102679, 4, 11, 1323, 40, 295, 213, 2, 116
1758358102679, 4, 11, 1323, 44, 295, 221, 2, 103
1758358102679, 3, 10, 1296, 40, 292, 206, 4, 92
1758358102679, 1, 13, 1308, 42, 287, 207, 3, 93
1758358102679, 1, 24, 1322, 43, 291, 218, 0, 84
